target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
13,"One is ethnicity: Asian women and foreign-born Hispanic men, for example, have the highest chance of the demographic groups studied that their marriages will last 20 years (70 percent), while black women have the lowest rate of reaching the two-decade mark (37 percent).","[['There shall be covered into the Treasury to the credit of the proper special fund all funds hereinafter specified .', 'There shall be covered into the Treasury to the credit of the proper special fund all funds hereinafter specified .', 'A glance revealed that the main topgallant mast had been carried away .', 'A glance revealed that the main topgallant mast had been carried away .'], ['Although the wood has been changed to coal , much of it still retains its original cell structure .', 'young chief stared at the wall of his lodge , , listening .', 'Mike felt disappointed that Mahmoud had left ; ;', 'After a flood of protests , they were reinstated at the beginning of 1953 .'], ['Others admitted he was absolutely correct -- he never slept .', 'Others admitted he was absolutely correct -- he never slept .', 'Others admitted he was absolutely correct -- he never slept .', 'The entrance to a church has been walled up , so that the congregation , most of which is in the western sector , cannot worship God there anymore .'], ['The Man from Mars had interrupted him with his work half finished -- and that stupid jackass Short was certain to louse it up .', ""That's out of a play ."", 'Then , as he doubled , gasping , vomiting the breakfast he had so lately eaten , Lord straightened him with an uppercut .', ""This is an issue which boils down to a matter of opinion , depending on whether you're an American or National fan and anti or pro-Yankee .""], ['By relaxing the throat muscles and expanding the oral cavity well into the frontal sinuses , she could direct the vowel sounds into the most felicitous position for proper reproduction through her throat microphone .', 'By now Harmony could see that most of the adults in the train were winded and resting , or else siphoned off from the games by the challenging lure of the great cliff towering above them .', ""It's inevitable in this case , for the couple will be separated for , at the least , forty years ."", ""It's inevitable in this case , for the couple will be separated for , at the least , forty years .""], [""and by deriving legitimate decision backward from whatever may conceivably or possibly or probably result , whether by anyone's doing or by accident , it finds itself driven to inaction , to non-political action in politics and non-military action in military affairs , and to the not very surprising discovery that there are now no distinctions on which the defense of justice can possibly be based ."", 'Men seem almost universally to want a sense of function , that is , a feeling that their existence makes a difference to someone , living or unborn , close and immediate or generalized .', ""Then there are a pair of old biddies played by Grace Carney and Sibly Bowan who may be right off the shelf of stock Irish characters , but they put such a combination of good will and malevolence into their parts that they're quite entertaining ."", ""Thus in it's incredible what that boy can eat dominant stress is likely to be on incredible , and eat will have strong stress also .""]]","[[-0.21436044573783875, -0.21436044573783875, -0.20446257293224335, -0.20446257293224335], [-0.10435176640748978, -0.10421867668628693, -0.10416372120380402, -0.10398626327514648], [-0.0007535852491855621, -0.0007535852491855621, -0.0007535852491855621, -0.0007386133074760437], [0.09861783683300018, 0.09862390905618668, 0.09862987697124481, 0.09868976473808289], [0.19446896016597748, 0.19449858367443085, 0.19460844993591309, 0.19460844993591309], [0.2850593030452728, 0.2854226231575012, 0.28671085834503174, 0.28677886724472046]]",67.20175170898438,61.04072189331055,"[64.74805450439453, 60.77752685546875, 61.329647064208984, 61.67361831665039, 61.596588134765625, 64.35431671142578]",58.832481384277344,"[60.507423400878906, 60.34082794189453, 59.57743453979492, 59.96052932739258, 60.5565185546875, 61.77547836303711]"
76,"But nice talk isn't enough, says Orbuch.","[[""But he is a West Point graduate and therefore must be born to command '' ."", ""She's been hangin' around me a lot here lately , and I figgered I might as well's try it ."", 'So much for the prototype .', 'The stockade was brilliantly lighted and the guerrillas sighted him .'], ['There shall be covered into the Treasury to the credit of the proper special fund all funds hereinafter specified .', 'Extensions are not granted as a matter of course , and the reasons for your request must be substantial .', ""' not flash in pan '"", ""Now Gavin Maxwell's Ring Of Bright Water has widened to enchant the world .""], ['She finally regained her balance and got up in the saddle .', 'Well , it has to happen .', 'Well , it has to happen .', 'Yet the press was powerless to put these charges in perspective in its news columns .'], ['True , our problems have lessened a bit as more and more of our neighbors have built their own pools , thereby diluting our spectacular attractions .', 'Right now he found Sophie De Witt , that magnificent young matron he had spotted at Kamieniec four years ago .', 'When , in my enthusiasm , I proposed the party , my city editor ( who disliked the club and many of its members ) tried to block my participation in the gala event .', 'Entries increasing -- requirements raised'], ['But what was a decent six months or so after the more than twenty years gone by ? ?', 'Many of them had once been members of a church or at least had been given instruction in Christianity but for one or another reason had allowed the connexion to lapse .', ""In 1920 , the Lambeth Conference repeated its 1908 condemnation of contraception and issued `` an emphatic warning against the use of unnatural means for the avoidance of conception , together with the grave dangers -- physical , moral , and religious -- thereby incurred , and against the evils which the extension of such use threaten the race '' ."", 'Yet we continue to be afflicted by nagging disorders .'], [""In a letter to Meynell , which was written in June , less than a month before Katie's wedding , he was highly melodramatic in his despair and once again announced his intention of returning to the life of the streets : ``"", 'They arise in situations in which one believes that what happens depends not only on the external world , but also on the precise pattern of behavior of the individual or group .', 'But , from our reading of the Western Talmud , we Urielites believe that the Forerunner , knowing this situation would arise , made reference to and provision for divorce .', 'of acquiring evidential knowledge of what happened in Athabascan , in Yokuts , in Uto-Aztecan in the last few thousand years as well as forecasting what more anciently may have happened between them .']]","[[-0.2047012746334076, -0.1973039209842682, -0.1953134834766388, -0.19435137510299683], [-0.10344292968511581, -0.10321938991546631, -0.10317188501358032, -0.1031152606010437], [-0.0009865444153547287, -0.0009743571281433105, -0.0009743571281433105, -0.0009438749402761459], [0.09869534522294998, 0.09870871901512146, 0.09871470928192139, 0.09872254729270935], [0.19215916097164154, 0.1921660304069519, 0.1922537386417389, 0.1925910860300064], [0.27503031492233276, 0.276713103055954, 0.27702802419662476, 0.27849772572517395]]",882.2310791015625,1053.594970703125,"[596.0702514648438, 664.3514404296875, 656.1942749023438, 1137.2608642578125, 749.2083740234375, 714.6326904296875]",864.5370483398438,"[584.4851684570312, 604.507568359375, 820.5957641601562, 831.3148803710938, 801.8527221679688, 699.9261474609375]"
102,The researchers explain that finding by comparing it to a fire alarm: Testing the alarm to find it works makes you happier and more satisfied than discovering it works because there is a fire.,"[['Three requirements go with a blockade : It must be proclaimed ; ;', 'Presently his water brother said breathlessly .', 'It had never been stained with blood .', 'If that was the skiff , it was making unprecedented speed .'], ['The action is a drop-block , handling all the standard', 'The action is a drop-block , handling all the standard', 'The era , however , is Janus-faced .', ""Ma had found one of Pa's hiding places .""], [""`` Oh '' , said Mr. Partlow , `` that's fine , Tom ."", 'They would feel what Mary was undergoing .', 'Assistant Prosecutor Fred Lewis , who tried both the Hengesbach and Pohl cases , said he did not know what would be done about two arson charges pending against Pohl .', ""His election , on the other hand , would unquestionably strengthen the `` regulars '' .""], ['By preying on the sick , by playing callously on the hopes of the desperate , by causing the sufferer to delay proper medical care , these medical ghouls create pain and misery by their very activity .', 'On Sundays , with the permission of Captain Heard , who usually attended with two of his officers , services were held in the double cabin .', 'When he had closed the suitcase he found a rag and moved about the room , wiping carefully everything he might have touched .', ""`` The pair whom Petey is officially commending for slapping me around and pulling me in '' .""], ['Living in San Francisco I saw them seldom enough to see them with a perspective which was not distorted by exasperation or fatigue .', 'In the following year , 1803 , Oersted , simultaneously with Davy , discovered that acids increased the strength of a voltaic battery more than did salts .', 'In the following year , 1803 , Oersted , simultaneously with Davy , discovered that acids increased the strength of a voltaic battery more than did salts .', ""Last week Chicago happily found its top scholar in Caltech's acting dean of the faculty : dynamic Geneticist George Wells Beadle , 57 , who shared the 1958 Nobel Prize in medicine and physiology for discovering how genes affect heredity by controlling cell chemistry ( Time , Cover , July 14 , 1958 ) .""], ['More typical is the case of a suburban Long Island housewife described by a marriage counselor .', ""Apparently at the insistence of the U. S. , the simultaneous announcements issued in Washington and Moscow last Friday emphasized the `` informal '' nature of the meeting ."", ""At one university , the president cites the faculty review committee as `` a valued partner of the administration in guarding and promoting the quality of the faculty '' ."", ""Each of the organization's ninety-nine members would get two professional posts , such as political affairs officer , a department head or an economist , to start .""]]","[[-0.2209748923778534, -0.21770024299621582, -0.2176472395658493, -0.2175624966621399], [-0.10233872383832932, -0.10233872383832932, -0.10232649743556976, -0.10230177640914917], [-0.0007473006844520569, -0.0007299799472093582, -0.00069475919008255, -0.0006643561646342278], [0.09871834516525269, 0.09871894866228104, 0.09874249249696732, 0.09879155457019806], [0.19229793548583984, 0.19242747128009796, 0.19242747128009796, 0.1924380362033844], [0.25109395384788513, 0.2513160705566406, 0.2522469162940979, 0.2546197175979614]]",278.2998962402344,286.05828857421875,"[280.3665466308594, 280.7817077636719, 313.3257751464844, 303.58148193359375, 337.1019592285156, 306.251953125]",296.5513000488281,"[266.6165771484375, 276.2715148925781, 277.8103942871094, 273.50360107421875, 335.9376220703125, 296.9689025878906]"
87,Know that love's not enough.,"[['From the curio cabinet on its south wall and the bureaus beneath , you abstracted seventeen ivory , metal , wood , and stone sculptures of Oriental and African origin , two snuffboxes , and a jade-handled magnifying glass .', 'Its clarity and good optical properties are other important factors .', 'This is what we mean when we say this demand must be accepted without condition .', ""Their locations in all parts of the United States , and their locations in the several kinds of educational and research institutions that are the principal homes of our intellectual and artistic strengths also are factors in the Trustees' minds .""], ['He sized up the situation and shook his head .', 'Locate the position from Fig. 7 .', ""Seven hundred miles south of York Factory , at `` the Forks '' of the Red and the Assiniboine , twenty-three men located a settlement in August 1812 ."", 'His interpretation was a model of refinement and accuracy .'], [""He : `` Come with me to the Casbah '' ."", 'He forgot the order .', 'But what came in was piling up .', 'All 28 carbons of metabolite 1 ( ( a product of mild acid hydrolysis of 2 ) arise from Aj .'], ['Neither growth nor a development program can be imposed on a country ; ;', 'Vastly relieved , Summers nodded and started toward the door .', 'To this day the Atomic Energy Commission shies away from discussing the health aspects of fallout .', 'The current regime of President Mohammad Ayub Khan is determinedly secular .'], ['He at once cancels the celebrations and , buckling on his scimitar , stumbles blindly from the house , where he is hit and killed by a passing oxcart .', 'He at once cancels the celebrations and , buckling on his scimitar , stumbles blindly from the house , where he is hit and killed by a passing oxcart .', 'Eating while angry had given her a slight indigestion .', 'But that scarcely means that he was the aloof , forbidding type of student who shared few if any activities with his fellows , the banter of the surviving prolusions providing enough evidence to deny this .'], ['a man in whose entourage none was ever safe ; ;', 'No one was ever educated through bull-sessions in anything other than , to quote him again , `` perfumed bullshit .', 'Somehow we old-timers never figured we would ever retire .', 'A man with insomnia had better avoid bad dreams of that kind if he knew what was good for him .']]","[[-0.20217806100845337, -0.19637751579284668, -0.19326366484165192, -0.19272756576538086], [-0.1051807701587677, -0.10500285029411316, -0.10495610535144806, -0.10473968088626862], [-0.0012790784239768982, -0.0012778472155332565, -0.0012752041220664978, -0.0011885773856192827], [0.09903261065483093, 0.09909195452928543, 0.09911683201789856, 0.0991361066699028], [0.1960231512784958, 0.1960231512784958, 0.19606609642505646, 0.19615885615348816], [0.27380114793777466, 0.27413734793663025, 0.2747783660888672, 0.2756975591182709]]",332.8218078613281,278.1611328125,"[417.6208801269531, 313.1350402832031, 318.2590026855469, 369.1654357910156, 266.3469543457031, 253.37596130371094]",434.3404541015625,"[472.8470458984375, 295.92413330078125, 355.985107421875, 430.7727966308594, 292.99462890625, 370.96942138671875]"
109,"And the earlier you acquire the tools to maintain a relationship, the better, adds Gottman, who estimates that newlyweds who engage in his programs are three times more likely to succeed than those who wait until they need an intervention.","[['Forty-six of the 53 Juniors who mailed in entries were present .', 'The decrees proposed by the amici curiae were filed in August of 1958 .', 'They are not susceptible to wholesale destruction by ballistic missile .', 'We are not given to lamentations , neither personally nor in these Reports .'], ['-- About 30% of the expenditures for the Department of Defense in 1961 are for military personnel costs , including pay for active , reserve , and retired military personnel .', '-- About 30% of the expenditures for the Department of Defense in 1961 are for military personnel costs , including pay for active , reserve , and retired military personnel .', '-- About 30% of the expenditures for the Department of Defense in 1961 are for military personnel costs , including pay for active , reserve , and retired military personnel .', 'Spectra were obtained over the temperature range of 77 - 294-degrees-K .'], ['The flowers will be huge .', 'The flowers will be huge .', ""The Warren Telegraph stated that many of Rev. Trafton's remarks were inappropriate and savored strongly of radicalism and fanaticism ."", 'She looked mighty interested , though .'], ['It is , moreover , a perfectly integrated ensemble effort .', 'But I am here concerned more with policy than with men .', 'While they were away Blanche came into the office every morning , running things as she had always run them for Stanley , going through the week in a dazed stupor , getting things done automatically , out of habit .', ""Sprinkel strongly refuted the current neo-stagnationist thesis that we are facing a future of limited and slow growth , declaring that this pessimism `` is based on very limited and questionable evidence '' .""], ['he was simply to listen and report back what he heard .', ') The sorry fact about this young man , who was barely of age when he broke into major-league baseball , was that he really was a better ball player than he was given credit for being -- never so good as he claimed , and always an irritant to his associates , but a good steady performer when he could fight down the temptation to orate on his skills or cut up in public .', ""I've given willful hurt to no man ."", ""Sir Ed. Gre. is gonne to Brestowe and from thence to Lond. as I heare , who verie well knoweth our estates and wil be willinge to do us ani good '' .""], ['The impression was unmistakable that , whatever one may choose to call it , natural law is a functioning generality with a certain objective existence .', ""`` I'll get my references in order '' , Needham said , and though he spoke with a smile , Casey somehow got the idea that he was not particularly amused ."", ""Now look , there's work to be done and lots of it ."", ""Now look , there's work to be done and lots of it .""]]","[[-0.2051008641719818, -0.19246065616607666, -0.19003289937973022, -0.18663868308067322], [-0.10437467694282532, -0.10437467694282532, -0.10437467694282532, -0.10431712865829468], [-0.0007180711254477501, -0.0007180711254477501, -0.000715780071914196, -0.0007150843739509583], [0.09875079244375229, 0.09875877946615219, 0.0988076850771904, 0.09881116449832916], [0.19658929109573364, 0.19665847718715668, 0.1966642141342163, 0.1967233419418335], [0.3113616108894348, 0.3113890290260315, 0.31176185607910156, 0.31176185607910156]]",102.76642608642578,99.17691040039062,"[105.83375549316406, 95.15967559814453, 109.31986999511719, 96.15177917480469, 103.42234802246094, 104.06123352050781]",96.6466064453125,"[93.83457946777344, 97.6133804321289, 102.55685424804688, 97.36068725585938, 97.01904296875, 95.2064208984375]"
