target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins,local_PPL_all_bins
139,"She does work on Mondays, right?”","[['On Thursday , the first day of the Masters , the contest between Palmer and Player developed instantly .', ""Inside , as soon as Mr. Skopas had disclosed -- in a hoarse whisper -- the detective's errand , his family gathered in a huddle , forming a mass of dark flesh on and around a brocaded sofa which stood at one side of a baroque fireplace .""], ['Hudson now proposed to sail all the way through and test the seas beyond for the long-sought waterway .', 'It was pitiful to see the thin ranks of warriors , old and young , wheeling and twisting their ponies frantically from side to side only to be tumbled bleeding from their saddles by the relentless slam , slam of the cruelly efficient Hawkinses .'], ['No one ever learned what happened to the Greek .', 'Other pairs of phonologic subsystems also interact or overlap in this way ; ;'], [""And then there was Linda's engagement to Bobbie Evans ."", 'The daughter , Lilly , was a very good friend of mine and I always had hopes that someday she and Meltzer would find each other .'], ['She had a funny little scar on her stomach , on the left side .', 'It snowed continuously , but quietly , evenly .'], ['He regarded her with rising hope .', 'She had lost the extra torsos .']]","[[-0.15410244464874268, -0.1536085605621338], [-0.10088515281677246, -0.10086555778980255], [-0.00034736935049295425, -0.00034556537866592407], [0.0996088832616806, 0.0996551513671875], [0.19691482186317444, 0.19712044298648834], [0.4340275526046753, 0.43992355465888977]]",877.225341796875,114.30912017822266,"[354.0856628417969, 372.4463806152344, 133.31814575195312, 170.14378356933594, 131.2613067626953, 130.7744598388672]","[1362.1280517578125, 969.417724609375, 816.0856323242188, 429.3011169433594, 424.74981689453125, 619.0296020507812]"
104,"If he has plans on firing me, I’m not going to make it easy for him, she thought, dreading her Monday morning battle.","[['This is followed by a boom in conferences .', 'We have considered several of your professionals because they were lamechians and above suspicion .'], ['A copy was released to the press .', 'According to one major producer , materials for a typical plastic sign are approximately 25% less costly than for a comparable neon unit .'], ['Of course we have before us the example of the great races at the galactic center ; ;', 'Of course we have before us the example of the great races at the galactic center ; ;'], ['`` Oh , I forgot to say that if one is taken to the funny house in the funny wagon , he is removed to a mental institution in an ambulance .', 'After all , if you were going to set up a workshop you had to have the proper equipment and that was that .'], ['and she would snatch the finger-held half of the radish out to where she could inspect it .', 'and she would snatch the finger-held half of the radish out to where she could inspect it .'], [""If he snatches a toy , she says , `` Caroline wants her own truck just as you do '' ."", ""On the morning of Stanley's return , however , her strength left her .""]]","[[-0.15771035850048065, -0.15714982151985168], [-0.10207225382328033, -0.10201411694288254], [-0.0004183640703558922, -0.0004183640703558922], [0.09967892616987228, 0.09970171749591827], [0.19861850142478943, 0.19861850142478943], [0.33859550952911377, 0.3391546607017517]]",77.30913543701172,81.09109497070312,"[67.05789184570312, 83.59696960449219, 57.85492706298828, 68.8018569946289, 70.24886322021484, 78.61409759521484]","[82.02565002441406, 101.30998992919922, 68.70333862304688, 70.70584106445312, 76.48478698730469, 72.77899932861328]"
167,He is an excellent project manager.,"[['Then Jennie closed her eyes , stretched forth her arms , and said : `` Take my hand , Louise ; ;', 'Why , then , with these voluntary barricades and some state laws barring liquor ads , is it necessary to seek congressional action ? ?'], ['One morning , we discovered not only that the pennies were missing from the idol but that a cigarette had been stubbed out in its lap .', 'One morning , we discovered not only that the pennies were missing from the idol but that a cigarette had been stubbed out in its lap .'], [""Don't think you have to start with the most expensive equipment in the world ."", 'If women replaced people , it would normally have dominant stress .'], [""In Senator Joseph McCarthy's phrase , it was the most unheard-of thing ever heard of ."", ""In addition , it is an important link in the plot , giving us a revealing glimpse of the people's attitude toward Boris and the false Dimitri .""], ['Joe Purvis was thinking back many years .', 'All this is standard equipment for a man of your day ; ;'], ['He enlisted a staff of loyal experts and of many zealous volunteers .', 'It was an excellent concert .']]","[[-0.18353866040706635, -0.18346093595027924], [-0.10030518472194672, -0.10030518472194672], [-0.0002748258411884308, -0.00024187564849853516], [0.09937801957130432, 0.09938330948352814], [0.19712750613689423, 0.19714407622814178], [0.3228060007095337, 0.3244754672050476]]",87.19298553466797,95.08855438232422,"[148.53231811523438, 247.19761657714844, 104.85509490966797, 67.1247329711914, 51.304412841796875, 74.4322509765625]","[116.30288696289062, 395.2181091308594, 98.04736328125, 94.93994903564453, 63.06653594970703, 174.97979736328125]"
256,"Seeing this as her possible exit, Tess took it.","[['But now that all production builders build with drywall and all smart builders build with panels , green lumber is an anachronism you cannot afford .', 'The Communist countries allocated more than $1,000,000,000 in economic aid alone last year , according to Western estimates .'], ['During the year 1960 , this office supplied 954 visitors with information related to foreign and domestic commerce , and made 73 field visits .', 'They arise in situations in which one believes that what happens depends not only on the external world , but also on the precise pattern of behavior of the individual or group .'], ['He made many tasteless , irreverent and unfunny remarks , not only about me in the title role , but about religion in general .', ""The `` Taras Bulba '' excerpt is a rousing version of Gogol's Ukrainian folk-tale choreographed by Bo Fenster to music of Soloviev-Sedoi .""], [""ExPe doesn't like anybody mucking up primary evidence '' ."", 'It had been a mistake , but anything would have been a mistake , as it turned out .'], ['Curt moved in and picked up his gun .', ""So Enright's courting of the mettlesome Ellen is impeded considerably , thereby providing the tale which is told .""], ['The suicide attempt looked to him like an opportunity to put his theory to the test .', 'It was obviously the sound of this argument that caused Lizzie to close her door .']]","[[-0.16403868794441223, -0.1621401160955429], [-0.10098108649253845, -0.1009175032377243], [-0.00027153268456459045, -0.00026773102581501007], [0.09941990673542023, 0.09949550777673721], [0.19911456108093262, 0.19926494359970093], [0.35074731707572937, 0.3573693335056305]]",126.21405029296875,77.58089447021484,"[103.34219360351562, 102.4239273071289, 143.94309997558594, 84.46356964111328, 83.5140151977539, 59.631324768066406]","[156.55706787109375, 161.74298095703125, 140.04898071289062, 98.7425537109375, 86.88714599609375, 58.18131637573242]"
306,I don’t date married men.”,"[['and it was filled then as now by quarreling tribes with no political or historical unity .', 'In other cases , in view of present-day knowledge of head growth , orthodontists will recommend waiting four or five years before treatment .'], ['The benefits electronics can bring to bio-medicine may be greater by far than any previous medical discovery .', 'Because of the means of publication -- science-fiction magazines and cheap paperbacks -- and because dystopian science fiction is still appearing in quantity the full range and extent of this phenomenon can hardly be known , though one fact is evident : the science-fiction imagination has been immensely fertile in its extrapolations .'], ['Would agriculture progress as rapidly as industry ? ?', 'Feelers were put out last year to the City of Warwick , as reported in your newspapers , suggesting investigation of a common rubbish disposal area to service the Potowomut and Cowessett areas of Warwick along with East Greenwich .'], ['As only a member of the family can share in the innermost joys of the family , likewise one must belong to the family of God in order to receive the benefits that are promised to those who are His own .', 'He seemed to have picked up a virus that day , because the next morning he had a small cough and felt a bit hot .'], ['A verse familiar to all grammarians is the quatrain : `` I saw a man once beat his wife When on a drunken spree .', '`` Well , Mrs. Charles -- Sally -- has phoned too .'], [""`` You are bound to get involved with people when you have children '' , Fran had told me at our first meeting , `` so it is good to know that those with whom you get involved are not just dreary little housewives and dull husbands , but People Who Do Things '' ."", ""`` You are bound to get involved with people when you have children '' , Fran had told me at our first meeting , `` so it is good to know that those with whom you get involved are not just dreary little housewives and dull husbands , but People Who Do Things '' .""]]","[[-0.15551218390464783, -0.15518537163734436], [-0.10115428268909454, -0.10114375501871109], [-0.0003207400441169739, -0.00025409553200006485], [0.09942322224378586, 0.09943023324012756], [0.19603978097438812, 0.19669513404369354], [0.31594350934028625, 0.31594350934028625]]",669.9100952148438,169.099365234375,"[202.3414306640625, 285.1881408691406, 200.1610565185547, 277.2554931640625, 160.25296020507812, 163.79905700683594]","[937.3172607421875, 798.7155151367188, 863.3896484375, 1220.1114501953125, 308.5500183105469, 313.9801025390625]"
