target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins,local_PPL_all_bins
346,"If he has plans on firing me, I’m not going to make it easy for him, she thought, dreading her Monday morning battle.","[['By 1907 the number of undergraduates had risen to 1,107 .', 'By 1907 the number of undergraduates had risen to 1,107 .'], ['Hal saw in his mind the rest of Earth : Iceland , Greenland , the Caribbean Islands , and the eastern half of South America .', 'Still others sprang up late in the century to meet conditions which arose from fresh stages of the revolutionary age .'], ['So the plot creaks , the sets are decaying , the costumes are pre-historic , the orchestra was sloppy and not very well connected with what the singers were doing .', 'The marine was sprawled some thirty yards away , one arm extended .'], ['Use deductable insurance wherever feasible .', 'Because neither of them really wanted their marriage to break up , Mr. and Mrs. Black agreed to a series of interviews at Family Service of Northern Virginia , the agency nearest them .'], [""Just wait till she saw the Mare's foal ."", ""Just wait till she saw the Mare's foal .""], [""As I say , I wouldn't want to begin a day like this , but I often wonder what the dead would have done ."", ""As I say , I wouldn't want to begin a day like this , but I often wonder what the dead would have done .""]]","[[-0.1921091377735138, -0.1921091377735138], [-0.10484183579683304, -0.10415972024202347], [-0.0010565854609012604, -0.0010458249598741531], [0.09918446838855743, 0.09919587522745132], [0.19571462273597717, 0.19571462273597717], [0.3021385073661804, 0.3021385073661804]]",77.30913543701172,81.09109497070312,"[89.43444061279297, 74.4046401977539, 79.5618667602539, 98.12870025634766, 68.06617736816406, 62.387123107910156]","[112.16378784179688, 90.75460052490234, 91.15496063232422, 104.50393676757812, 72.50341796875, 67.65816497802734]"
367,"Arriving at Carla’s that afternoon, David and Kohana joined Sam and Ted in bringing Carla’s  apartment in order.","[['Its clarity and good optical properties are other important factors .', 'The guiding principle indeed should not be anything like compensation for individual services .'], ['Nothing , however , could be farther from the truth .', 'Undoubtedly far more can be done in the lower grades in this regard in the Negro schools .'], ['Probably his horse would be close to where he was hiding .', ""`` Did you think there were two '' ? ?""], ['This situation resulted in both towns claiming the tax , and probably justifiably .', 'But grow in grace and knowledge of our Lord and Savior , Jesus Christ .'], [""He had already become used to Hesperus' snapping back answers to questions almost before Jack could get them asked ."", 'Hank had gathered wood for a cookfire , and his wife was busy at it now .'], ['It is notably significant that so many Members from both sides of the aisle express their respect and admiration for our beloved Speaker , the Honorable Sam Rayburn .', 'Above , in the tiled prosceniums of the alcoves , boys sing the ghazals of Hafiz and Saadi , while at the very bottom , in the vaults , the toughs and blades of the city hoot and bang their drums , drink arak , play dice , and dance .']]","[[-0.20865541696548462, -0.1984868049621582], [-0.10253116488456726, -0.10242575407028198], [-0.000742840114980936, -0.0007415264844894409], [0.09886269271373749, 0.09886476397514343], [0.19617624580860138, 0.19619959592819214], [0.26657766103744507, 0.268772691488266]]",44.53018569946289,33.03602600097656,"[30.156126022338867, 25.453405380249023, 35.02100372314453, 26.4394588470459, 28.226882934570312, 29.869102478027344]","[52.299476623535156, 38.64181900024414, 47.339515686035156, 45.866275787353516, 34.86135482788086, 44.56446075439453]"
139,“We met in the hallway and this morning in my apartment.,"[['The measure allows such companies in those years to apply their mineral depletion allowances to 50% of the value of the finished products rather than the lower value of raw clay alone .', 'But this argument cannot be pushed very far because the Communist system makes up for any shortcomings of its leaders in respect to corrosion .'], ['His body processes only slowed down enough for him to dispell fatigue poisons .', 'His body processes only slowed down enough for him to dispell fatigue poisons .'], ['State aid to schools , the continuance of railroad passenger service , the proper uses of surplus funds of the Port of New York Authority , and making New Jersey attractive to new industry .', ""`` Oh , Mr. Davis , are you there '' ? ?""], [""Mr. Hawksley , the state's general treasurer , has been a part-time CD director in the city for the last nine years ."", 'The Hetman told me to take the story over the phone and to write it .'], [""`` We go to the park with this nice lady '' , one of them said ."", 'What is its incidence among the various classes and subgroups of the population ? ?'], ['During the next weeks he looked over the situation .', 'We got a bunch of sippers out there tonight .']]","[[-0.19274190068244934, -0.19139686226844788], [-0.10215294361114502, -0.10215294361114502], [-0.0006678234785795212, -0.0006432738155126572], [0.09843103587627411, 0.0985015258193016], [0.19274093210697174, 0.1927894502878189], [0.29631802439689636, 0.2966012954711914]]",115.29056549072266,37.951141357421875,"[39.897499084472656, 43.712921142578125, 43.90834045410156, 39.569942474365234, 35.017704010009766, 35.79775619506836]","[100.22388458251953, 102.8747787475586, 90.9161605834961, 85.84416961669922, 77.85865783691406, 76.8866958618164]"
142,He is the man that I was telling you about.,"[['Again , a force too strong for unfrozen bodies to endure would be applied .', 'Only a limited effort has been devoted to this problem .'], ['The obscurity of politicians may not always be as innocent as it looks .', 'Nice , even if a trifle gaudy .'], [""It's a rich village but not much for action -- too many solid residents , not enough tourists or working stiffs ."", "") She has since turned to Bellini , whose opera `` Beatrice Di Tenda '' in a concert version with the American Opera Society introduced her to New York last season .""], [""This changes the formula to an `` equation '' ."", ""`` Sigmen love you , too , my guardian '' , said Hal , choking .""], ['Jones followed him into the front room , closing the door behind him .', 'He turned around , saw nothing , and decided it must be a mouse .'], [""He told me he vowed right then that if he ever got to be a star , this never would be said of him '' ."", 'That was where he met Penny .']]","[[-0.20917901396751404, -0.20859931409358978], [-0.10215815156698227, -0.10204342007637024], [-0.0009743683040142059, -0.000962110236287117], [0.0984238013625145, 0.09843020141124725], [0.19330483675003052, 0.19338387250900269], [0.3545922636985779, 0.3562888503074646]]",55.72121810913086,21.609804153442383,"[23.137317657470703, 21.915266036987305, 27.70892906188965, 17.679908752441406, 21.589523315429688, 19.649738311767578]","[61.636661529541016, 29.035398483276367, 60.90837478637695, 24.782880783081055, 46.64311218261719, 32.88370895385742]"
345,"When Kohana walked into David’s office, Tess received the next shock.","[['Improve food and cover on 1.5 million acres of key wildlife areas .', 'Major to this effort is to get all world powers to withdraw to their own territories , say by 1970 .'], [""`` You're going to be a regular ."", 'Try to find these Feds .'], ['once again they clustered like children .', ""Better `` hand '' , a more luxurious feel , and better insulating properties were claimed to be the result .""], [""The important result , however , was that Juet and Francis Clemens , the deposed boatswain , became Hudson's sworn enemies ."", 'The combination proved quite irresistible last night .'], ['In my mind , I began to review : his use of hate to gain support ; ;', 'But it was even funnier after they had been told .'], ['The first incident occurred before the trial got under way when Judge H. Hobart Grooms told the jury panel he had heard reports of jury-tampering efforts .', 'The first incident occurred before the trial got under way when Judge H. Hobart Grooms told the jury panel he had heard reports of jury-tampering efforts .']]","[[-0.21373647451400757, -0.2058972865343094], [-0.10161818563938141, -0.10155786573886871], [-0.0008800923824310303, -0.0008705612272024155], [0.09866586327552795, 0.09872883558273315], [0.19451814889907837, 0.19453449547290802], [0.2702186107635498, 0.2702186107635498]]",43.154266357421875,29.84511947631836,"[48.96432876586914, 31.455034255981445, 27.538864135742188, 25.175458908081055, 31.761959075927734, 32.83621597290039]","[69.5067367553711, 43.38499450683594, 48.012474060058594, 36.83037185668945, 36.1147575378418, 41.21660232543945]"
