target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
207,"“I would like to use your telephone, if you don’t mind,” David replied, with a hardness in his voice while checking out the woman that was standing before him again.","[['Six cities and towns are presently on a July 1 to June 30 fiscal year and have coordinated their tax collection year with it .', 'for example , the Crusades , mission efforts , just wars .'], ['And the school newspaper sells space to jubilant fraternities , sororities , and houses ( in the House Plan Association ) that have good news to impart .', 'With the diversity of religious viewpoints , there are differences of opinion as to the essential features of religion ; ;'], [""He hadn't even pretended to be farming his spread ."", 'Neither Mantle nor Maris , understandably , will predict 60 home runs for himself .'], ['Riverboat ( Dalzell-Cousin Rachel ) has gone in 2:38 .', ""The newspaper boys cracked jokes and again Barco's pride was aroused .""], [""After a moment of thought , her mind cleared and , in the interest of clarity , she typed into the record : `` Shot in the woods '' ."", 'His voice had sharp edges , as though he knew very well Lucy and he were not friends at the moment .'], ['`` All you have to do , Ilka dear , is to phone on your arrival .', ""`` About nine this morning Mrs. Buck phones me she's having trouble with one of her farm hands -- money trouble .""]]","[[-0.15106482803821564, -0.14937855303287506], [-0.10158330947160721, -0.10141734778881073], [-0.0004965458065271378, -0.00047545693814754486], [0.09957441687583923, 0.09965814650058746], [0.19887444376945496, 0.19891268014907837], [0.34523382782936096, 0.3460840582847595]]",63.944664001464844,40.6373291015625,"[54.411476135253906, 59.88704299926758, 44.24535369873047, 44.54893112182617, 44.65802764892578, 44.24140548706055]"
277,"“Oh, you do, these are pretty big apartments.”","[['Matsuo repeatedly choked down his own nausea .', 'The outcome of such an experiment has been in due time the acceptance of the Bible as the Word of God inspired in a sense utterly different from any merely human book , and with it the acceptance of our Lord Jesus Christ as the only begotten Son of God , Son of Man by the Virgin Mary , the Saviour of the world .'], [""Perhaps Khrushchev is in a more difficult position than any since 1957 , when the `` anti-party group '' nearly liquidated him ."", ""As a youth he became one of Finney's band of evangelists and gave himself to winning young men .""], [""the distant ship isn't there until you get the focus ."", 'Occasionally there are examples of pre-vision which cannot be pushed aside without confessing an unscientific attitude .'], [""If it is love , you don't ."", 'He checked into a motel and drove downtown .'], [""`` Aren't you sure '' ? ?"", ""Do you have anything to read while you're shut up ? ?""], [""`` Did you see the car parked across the street '' ? ?"", ""The cops didn't suspect a thing , and I thought it was a coincidence .""]]","[[-0.184112548828125, -0.18400222063064575], [-0.10098715126514435, -0.10076302289962769], [-0.0002548401243984699, -0.00023230165243148804], [0.09944440424442291, 0.09949091076850891], [0.19702701270580292, 0.19722388684749603], [0.2820259630680084, 0.28325194120407104]]",188.87547302246094,88.93553161621094,"[212.471435546875, 122.62490844726562, 116.65274810791016, 86.41384887695312, 85.94517517089844, 118.98709869384766]"
39,"I told him not to do it, but since he doesn’t seem to understand English very well, there was a miscommunication,” and everyone in the room laughed, including David.","[['By 1965 , several or all of these systems will have been fully tested and their reliability established .', 'The ultimate trail system will be of value primarily for recreation and wildlife utilization and fire protection .'], ['The Mississippi Sound leads into a protected waterway running about 200 miles from Pascagoula to Apalachicola .', 'for , in either event , the first possibility is excluded .'], ['Lipowa 7 , Sobibor , Chelmno , Poltawa , Belzec , Krzywy-Rog , Budzyn , Krasnik .', 'Lipowa 7 , Sobibor , Chelmno , Poltawa , Belzec , Krzywy-Rog , Budzyn , Krasnik .'], ['They did not have the wit to follow the stars in their courses , to exchange names with each other , to harvest the experience of each for the wisdom of all .', ""Curly hair , high cheekbones , wide gnomelike mouth , a pair of drummer's blocky hands , and a body that said well , maybe I can wrestle you for ten minutes -- but then I'm finished .""], [""Henry Ford spoke of me as `` utterly astounding '' ."", ""Henry Ford spoke of me as `` utterly astounding '' .""], [""He'd mentioned it , himself , at church and everybody seemed to have the idea that Tolley had left because Jenny had jilted him for Roy Robards ."", 'He had never heard so many bells , and as he lay there listening , he thought of her scolding him for his remarks when he had looked up at the obelisk and the church at the top of the Spanish Steps .']]","[[-0.15944260358810425, -0.1593753695487976], [-0.10148128867149353, -0.10113368928432465], [-0.00038705766201019287, -0.00038705766201019287], [0.09966259449720383, 0.0997094213962555], [0.19919118285179138, 0.19919118285179138], [0.3479800820350647, 0.3484010696411133]]",28.734424591064453,19.783010482788086,"[28.935001373291016, 21.780765533447266, 21.023746490478516, 21.367034912109375, 20.210546493530273, 18.866897583007812]"
255,"Ko introduced the three to her, pointing out who was married to whom.","[['This is what we mean when we say this demand must be accepted without condition .', 'The basic mapping phase of the program has been completed and the inventory phase is scheduled for completion July 1 , 1961 .'], ['in fact , a freezing autumn dulls the blaze .', 'in fact , a freezing autumn dulls the blaze .'], ['The big man seldom gave out with such thoughts .', 'The big man seldom gave out with such thoughts .'], ['The battle of the Naktong River is just one example of how the battle cry and the spirit of The Fighting Seventh have paid off .', 'The battle of the Naktong River is just one example of how the battle cry and the spirit of The Fighting Seventh have paid off .'], ['The Flock added a pair of tallies in the third on three straight hits after two were out .', 'On the anniversary of her sixteenth year in her shell , Helva was unconditionally graduated and installed in her ship , the Aj .'], ['the prime minister knew who his enemy was here ; ;', 'The girl kneeled by her husband with one arm at his back .']]","[[-0.16135312616825104, -0.16104911267757416], [-0.10141009837388992, -0.10141009837388992], [-0.0003278590738773346, -0.0003278590738773346], [0.09959688782691956, 0.09959688782691956], [0.1966964602470398, 0.19681641459465027], [0.31232213973999023, 0.31350183486938477]]",186.0342254638672,111.98631286621094,"[174.5579376220703, 135.68325805664062, 118.2087173461914, 172.05410766601562, 153.65794372558594, 104.81694793701172]"
238,"Well, well.","[['His voice had not commanded her to stop .', 'The next time we saw him , he was a changed person ; ;'], ['It was not until the last year of his life that he had his first moneymaking show .', 'He turned his attention to the workbench .'], ['Everybody returned after intermission for the miscellaneous sweepings of the Fantasy For Piano , Chorus , And Orchestra In C Minor , made up by its composer to fill out one of his programs .', 'Everybody returned after intermission for the miscellaneous sweepings of the Fantasy For Piano , Chorus , And Orchestra In C Minor , made up by its composer to fill out one of his programs .'], ['The Chancellor had as much business there as Ulbricht had in East Berlin -- and was certainly less provocative than the juvenile sound-truck taunts of Gerhard Eisler .', 'More than 300 teenagers last Sunday proved there is and as many more are expected to prove it again for Jim Kern and his wife Lynn from 4 to 8 p.m. Sunday at First Presbyterian Church .'], ['You and I do the same thing .', 'Personally , it meant a great deal ; ;'], [""It is but so-so '' ."", 'That helped a lot .']]","[[-0.15248432755470276, -0.1522860825061798], [-0.10244672000408173, -0.10208555310964584], [-0.00022648554295301437, -0.00022648554295301437], [0.09968803822994232, 0.0997002050280571], [0.19387388229370117, 0.19459374248981476], [0.37081122398376465, 0.37672680616378784]]",199.68011474609375,257.9925842285156,"[58.80794143676758, 370.4931640625, 545.0245361328125, 362.0069885253906, 49.75808334350586, 91.01254272460938]"
