target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
315,"“What do you mean, David?","[['She played with style and a touch of the grand manner , and every piece she performed was especially effective in its closing measures .', 'Sometimes , you have a choice of exposure for sites where the topography or trees of the area will provide afternoon shade , morning sun , or whatever may be most desirable for the use intended .'], ['Eight or ten years ago , a couple of French hoods stole a priceless Khmer head from the Musee Guimet , in Paris , and a week later crawled into the Salpetriere with unmistakable symptoms of leprosy .', 'One reel -- from eight to twelve minutes -- became the standard length from the year of Robbery , 1903 , until Griffith shattered that limit forever with Birth Of A Nation in 1915 .'], [""Apparently , Jouvet and Ledoux attempted just these dissimilar approaches in the role of Arnolphe in `` The School For Wives '' ."", 'There was no money for tuition , for clothes , for all the things you apparently take for granted .'], ['It is but justice to Mr. Steele for us to add that , in the above remarks , nothing is intended to his disparagement , either as a lawyer or as a printer .', ""Drug's chemical name :""], ['And then Castro himself did come , bearded , smiling ; ;', 'I knew it as surely as everybody in Westfield -- that Lucille was a husband stealer .'], [""`` I mean , do you feel like seeing Kate '' ? ?"", 'But Keith looked down more than up .']]","[[-0.16323615610599518, -0.1616469919681549], [-0.10165718197822571, -0.10163675248622894], [-0.00042617321014404297, -0.0004064952954649925], [0.0994730144739151, 0.09949697554111481], [0.19487261772155762, 0.19529446959495544], [0.24591349065303802, 0.24790824949741364]]",198.9566650390625,161.99436950683594,"[143.08993530273438, 200.0979766845703, 143.7890167236328, 152.70941162109375, 141.48521423339844, 133.3492431640625]"
324,“I love working for Luigi.”,"[['It will be painful , but interesting , to see what kind of a god these people will create or what strong convictions they will develop .', 'or again because the Athabascan languages spread over a very much larger territory ( including three wholly separated areas ) ; ;'], [""Through the efforts of SAAMI's shooting development program these shooting activities , and many others , including assists in the development of public and privately financed shooting parks , trap and skeet leagues , rifle and pistol marksmanship programs have been promoted , to mention only a few ."", ""It is a characteristic of thoughts that in re-thinking them we come , ipso facto , to understand why they were thought '' .""], ['Almost surely he did ; ;', 'Almost surely he did ; ;'], ['( But that is another story .', ""`` How come you're riding the rods , kids like you '' ? ?""], [""I won't be guilty of trying to run his life '' ."", 'Mike do you ever get homesick ? ?'], ['I used a Homemaster Routo-Jig made by Porter Cable for this job .', 'I used a Homemaster Routo-Jig made by Porter Cable for this job .']]","[[-0.18037858605384827, -0.17993883788585663], [-0.10133858025074005, -0.10133270174264908], [-0.000521097332239151, -0.000521097332239151], [0.09925703704357147, 0.0992581844329834], [0.19478434324264526, 0.19485515356063843], [0.24204489588737488, 0.24204489588737488]]",364.7804870605469,382.0740051269531,"[403.3299255371094, 245.9876708984375, 351.5645751953125, 290.2856750488281, 225.06698608398438, 329.1455993652344]"
268,"It had started raining again, which was usually a good omen for her.","[['The visceral brain as well as the neocortex is known to contribute to memory , but this topic is beyond the scope of this paper .', ""Religious who derive their own sense of purpose through identification with the religious community rather than the academic community are prone to underestimate both the layman's reservoir of idealism and his need for this identification .""], ['Mr. and Mrs. Phil G. Abell are chairmen for the Saledo trip .', 'Insulate , weatherstrip , double-glaze to the maximum .'], ['We have considered several of your professionals because they were lamechians and above suspicion .', 'For the prevention of acetonemia ( ketosis ) feed 1/4 pound per day beginning at calving and continuing for 6 weeks .'], ['He considered opening a can of beer but vetoed that idea too .', ""Sposato couldn't wait to get me hired .""], [""One woman -- she could have been either English or American -- went up to him and said , ' But you are the foreigners ' '' ."", ""One woman -- she could have been either English or American -- went up to him and said , ' But you are the foreigners ' '' .""], ['He said , turning on what was meant to be charm .', 'He had a feeling that the girl meant trouble .']]","[[-0.1709660440683365, -0.1681104600429535], [-0.10260676592588425, -0.10229481756687164], [-0.0006414800882339478, -0.0006408123299479485], [0.09909181296825409, 0.09924694895744324], [0.1986166536808014, 0.1986166536808014], [0.3476853370666504, 0.3493342995643616]]",159.41604614257812,122.96575164794922,"[164.63401794433594, 141.27964782714844, 125.94165802001953, 125.86727142333984, 116.6897964477539, 119.11186981201172]"
108,"If I had known that you were Luigi’s PA and the woman that Myra has been trying to introduce me to for the past three years, our meeting Saturday morning would have ended differently, but you and I were too busy butting heads about the phone call.”","[[""`` But in such a slovenly condition '' ."", 'The keynotes of this style are activism and emphasis on achievements in gaining self-esteem .'], ['What they are after is the beatific vision .', 'His charges would be added to the cost of materials .'], ['Fury has made a few mistakes but looks like a wonderful prospect , with his impressive gait and stride which certainly make him cover the ground .', 'By distinguishing superlunary ( celestial ) and sublunary ( terrestrial ) existence , and reinforcing this with the four-element physics of Empedocles , Aristotle came to speak of the stars as perfect bodies , which moved in only a perfect way , viz. in a perfect circle .'], ['This habit had become so fixed over the years that it seemed futile to do anything for which no one was waiting .', 'Even though the registers may have an incomplete record of persons present in a particular area or include persons no longer living there , they contain precise information on ages , by date of birth , for some of the persons present ( especially children in relatively stable communities ) and supplementary information ( such as records of marital status ) for many others .'], ['If we were asked why we thought so , we should say that these things involve great evil and are wrong , and that to take delight in what is evil or wrong is plainly unfitting .', 'But if you keep a calendar of events , as we do , you noticed a conflict .'], ['Lizzie stated during the inquest that while her father and uncle were in the sitting room the afternoon before the murders , she had been disturbed by their voices and had closed her door , even though it was a very hot day .', 'Lizzie stated during the inquest that while her father and uncle were in the sitting room the afternoon before the murders , she had been disturbed by their voices and had closed her door , even though it was a very hot day .']]","[[-0.158792644739151, -0.15785996615886688], [-0.10374189913272858, -0.10370628535747528], [-0.0004221731796860695, -0.0004180995747447014], [0.09935157746076584, 0.09935260564088821], [0.19827452301979065, 0.19830051064491272], [0.3315108120441437, 0.3315108120441437]]",125.62635040283203,103.23295593261719,"[105.80448913574219, 99.70066833496094, 102.88787841796875, 105.85955047607422, 102.00019073486328, 129.87802124023438]"
217,"“I’m serious, Tess.","[['She was no schoolgirl , refusing to bear tales .', 'Yet he remains the fiercest of competitors .'], ['The years , if they were years , went by .', 'she relaxed a little , and some of the tension went out of her .'], [""This is not only a compliment to Mijbil , of whom there are a fine series of photographs and drawings in the book , but to the author who has catalogued the saga of a frightened otter cub's journey by plane from Iraq to London , then by train ( where he lay curled in the wash basin playing with the water tap ) to Camusfearna , with affectionate detail ."", 'It will occur to anyone that the teacher must have adequate education , a depth and breadth of knowledge far beyond the immediate necessities of his course plus complete dedication to his subject and to his students .'], ['Codification was followed in all countries by a growing amount of legislation , some changing and adjusting the older law , much dealing with entirely new situations .', 'Via was in the parking lot when I went outside .'], [""`` But that was war '' , I said ."", '346 U.S. , at 5-6 .'], ['`` I tell people what I think .', ""`` There's something here '' ! !""]]","[[-0.16138675808906555, -0.16026920080184937], [-0.10194309055805206, -0.10191965103149414], [-0.00036889128386974335, -0.00036214012652635574], [0.09898141026496887, 0.09905503690242767], [0.191217839717865, 0.19215288758277893], [0.33233869075775146, 0.33633607625961304]]",229.99102783203125,245.72694396972656,"[276.240966796875, 280.6811828613281, 279.6937255859375, 196.8202667236328, 238.55226135253906, 155.9136199951172]"
