target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
5,"Although the rate of divorce has declined slowly and steadily since the early 1980s, the rate of marriage has diminished rapidly, with more people choosing to marry later in life (see ).","[['A press with an 11 inch capacity lets you drill to the center of a 22 inch board or circle .'], ['Beckworth handed the pass to the colonel .'], ['It was her work to go among her neighbors and collect their checks .'], [""Later in the century the dream again found expression in the lines of Katherine Lee Bates ( 1859-1929 ) , daughter and granddaughter of New England Congregational ministers , in her widely sung hymn , written in 1893 , `` America The Beautiful '' , with the words `` O beautiful for pilgrim feet whose stern impassioned stress a thoroughfare for freedom beat across the wilderness .""], ['Charlotte Fairchild was excellent as the loyal Marie , who became the second Mrs. LaGuardia , singing and acting with remarkable conviction .'], ['Then Miriam varied the senseless psychological warfare by suddenly withdrawing a suit for separate maintenance that had been pending , and asking for divorce on the grounds of cruelty , with the understanding that Wright would not contest it .']]","[[-0.1602707803249359], [-0.10238786786794662], [-0.0004399064928293228], [0.09937459230422974], [0.19653883576393127], [0.32538747787475586]]",49.00690841674805,49.00690841674805,"[52.85557174682617, 53.618106842041016, 49.162559509277344, 55.270294189453125, 50.743743896484375, 45.849021911621094]",35.19775390625,"[40.8718147277832, 41.058746337890625, 38.243980407714844, 44.86458206176758, 40.75230407714844, 37.727230072021484]"
16,"Women with at least a bachelor's degree have a 78 percent shot that their marriages will last 20 years, compared with a 41 percent chance among women with only a high school diploma, according to the NCHS data.","[['The funds would be used for equipment , not for land , buildings , or operation .'], ['Then he suffered him .'], ['I left her , a limp bundle of self-pity , shivering with terror because her bubble had burst around her .'], ['The other four states end on varying dates : Alabama ( Sept. 30 ) , New York ( March 31 ) , Pennsylvania ( May 31 ) , and Texas ( August 31 ) .'], [') In 1610 , Hudson was probably in his early forties , a good navigator , a stubborn voyager , but otherwise fatally unsuited to his chosen profession .'], [""It's inevitable in this case , for the couple will be separated for , at the least , forty years .""]]","[[-0.15108808875083923], [-0.10309387743473053], [-0.0003323480486869812], [0.09947484731674194], [0.1961464285850525], [0.26636141538619995]]",35.723636627197266,35.723636627197266,"[34.82426452636719, 33.5347785949707, 39.015228271484375, 33.71730422973633, 36.63814926147461, 33.99541473388672]",28.430681228637695,"[29.244056701660156, 28.789743423461914, 31.43845558166504, 29.279443740844727, 30.78245735168457, 28.103466033935547]"
62,"""Men don't get it from other people in their lives so they especially need it from their female partners or wives,"" she says.","[[""we moved decisively to effect an Anti-Communist coup d'etat .""], ['Here they would lie in suspended animation for many years .'], ['Otherwise , UN will march blindly on to certain defeat .'], ['She would try to see over the bulge of her cheeks and somewhat under her teeth to the place where she was biting .'], [""`` Is that a compliment '' ? ?""], [""For Helva was destined to be the `` brain '' half of a scout ship , partnered with a man or a woman , whichever she chose , as the mobile half .""]]","[[-0.1677323579788208], [-0.10234558582305908], [-0.00043714791536331177], [0.09914030134677887], [0.19576242566108704], [0.35214853286743164]]",193.71527099609375,193.71527099609375,"[227.0035858154297, 216.2039337158203, 212.84002685546875, 210.38294982910156, 162.95932006835938, 184.3685302734375]",150.53346252441406,"[141.99270629882812, 137.16571044921875, 147.76992797851562, 150.49700927734375, 143.5037384033203, 147.54820251464844]"
63,Fight nice.,"[['This baffling lack of distinct details recalls the secretary whose employer was leaving the office and told her what to answer if anyone called in his absence .'], ['This function is staffed by engineers chosen for their technical competence and who have the title , member of the technical staff .'], ['He was holding the piece of lead pipe out to me .'], [""Remember , when the little hand is straight up that's negative .""], ['Move from the line or I will settle the whip on you .'], [""`` Join me in another '' ? ?""]]","[[-0.1656017154455185], [-0.10113410651683807], [-0.0004328405484557152], [0.09895489364862442], [0.19361180067062378], [0.31973502039909363]]",6653.88134765625,6653.88134765625,"[136087.390625, 416418.28125, 18363.669921875, 14587.0810546875, 13764.1982421875, 3041.068603515625]",47046.2890625,"[144019.453125, 117996.984375, 11280.5615234375, 9272.900390625, 9590.685546875, 4261.54296875]"
91,"In the Early Years of Marriage Project, she and her colleagues, including Aron, found that couples reporting boredom in the seventh year of marriage were significantly less likely to be satisfied with the relationship by their 16th anniversary (, 2009).","[['The dimensions of these waves dwarf all our usual standards of measurement .'], ['This stain often disrupts the normal cell activity or else colors only the outside .'], ['A systematic approach to development budgeting and programing is one important kind of self-help .'], ['The flood is not as great -- only 700 a week according to one apparently conservative account -- but it is symptomatic .'], [""But the firm has recognized the tight dollar and the tourist's desire to visit the `` smaller , less-traveled and relatively inexpensive countries '' , and is now prepared to teach modern Greek and Portuguese through recordings .""], [""A world in which wives have taken a more active role is likely to produce sexual relationships in which wives are more self-assertive , too '' .""]]","[[-0.17403414845466614], [-0.1016356498003006], [-0.00041972286999225616], [0.09922856092453003], [0.19483621418476105], [0.32114744186401367]]",74.61945343017578,74.61945343017578,"[83.60206604003906, 83.7804183959961, 78.02326202392578, 83.9114761352539, 86.4898681640625, 67.45348358154297]",81.12361907958984,"[76.48439025878906, 83.63277435302734, 78.7122573852539, 78.41242218017578, 78.44794464111328, 69.21924591064453]"
