target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
38,"What do you want, may I ask?”","[['Sometimes , as at this juncture , he did not .', 'Sometimes , as at this juncture , he did not .', 'The phone had been disconnected but telegrams came for him and notes by special messenger .', 'Sprouting is a naturally occurring phenomenon in stored potatoes , onions , carrots , beets , and similar root vegetables .'], ['She noted that no student had been withdrawn through loss of confidence ; ;', 'The result had nothing of the polish , pace or cohesion of the previous night .', ""For instance , so-called `` conservative '' organizations , some of them secret , are sprouting in the garden of joining where `` liberal '' organizations once took root ."", ""For instance , so-called `` conservative '' organizations , some of them secret , are sprouting in the garden of joining where `` liberal '' organizations once took root .""], ['It had the features of a man bewhiskered by clumps of loose feathers .', 'so that the rest of the house stayed open , though there was a question as to whether it was hotter or cooler that way .', 'A midwestern builder cut his labor costs per thousand bricks from $81 to $43.50 by adopting this same process , cut them another $7.50 to $36 by buying his bricks in convenient , easy-to-spot 100-brick packages .', 'A midwestern builder cut his labor costs per thousand bricks from $81 to $43.50 by adopting this same process , cut them another $7.50 to $36 by buying his bricks in convenient , easy-to-spot 100-brick packages .'], [""I just hope it doesn't work on Earthmen too ."", 'This was something on which K. himself seemed to have some doubts ; ;', 'I thought : Who is older now ? ?', 'Have you examined this problem of increasing consumer sophistication from the standpoint of your own company ? ?'], ['You see what I mean ? ?', 'You see what I mean ? ?', ""She cast about as though looking for a policeman : this really shouldn't be allowed ! !"", ""`` You don't step on the flowers , do you ? ?""], ['`` I have a thousand things for you to do .', ""And , Here , I'll take this , I was before her , you wait on me now or I don't bother with it , see ! !"", ""Do you have anything to read while you're shut up ? ?"", ""Do you have anything to read while you're shut up ? ?""]]","[[-0.1889847069978714, -0.1889847069978714, -0.18119420111179352, -0.1799764484167099], [-0.10211444646120071, -0.1021028533577919, -0.10203992575407028, -0.10203992575407028], [-0.0006895959377288818, -0.0006854655221104622, -0.0006311610341072083, -0.0006311610341072083], [0.09705612063407898, 0.09720708429813385, 0.09720822423696518, 0.09729913622140884], [0.18184398114681244, 0.18184398114681244, 0.18274229764938354, 0.18276038765907288], [0.28506410121917725, 0.28672119975090027, 0.290630042552948, 0.290630042552948]]",378.8408508300781,378.8408508300781,"[516.9710083007812, 561.1637573242188, 379.51812744140625, 138.50669860839844, 134.38375854492188, 123.9719009399414]",107.96674346923828,"[177.32864379882812, 240.00357055664062, 168.53981018066406, 79.95771026611328, 78.94215393066406, 71.61531066894531]"
73,"Going to the phone, she looked at the €20, and shuttered as she thought of how timid his wife must be.","[['This result is preliminary , and work is continuing .', 'Roles of various types , within the larger system and within the subgroups 3 .', 'We have 2,500 such projects , and they add up to a lot more than just roads and wells and schools .', ""And a pane of glass isn't hard to '' --""], ['Sizzling temperatures and hot summer pavements are anything but kind to the feet .', ""Have a `` Question Box '' ."", 'Why , then , with these voluntary barricades and some state laws barring liquor ads , is it necessary to seek congressional action ? ?', 'Works by J. C. Bach , Anton Craft , Joseph Haydn , Giuseppe Sammartini , Comenico Dragonetti and J. G. Janitsch were performed by seven instrumentalists including Anabel Brieff , flutist , Josef Marx , oboist , and Robert Conant , pianist and harpsichordist .'], ['In the second place , though , even if Birmingham is worse , no doubt Johannesburg , South Africa , beats it by several miles , and Buchenwald was one of the worst things that ever happened in the entire history of the world .', 'Sections of sweet clover stem and root tumors were treated with 1 : 10 solution of Af for 30 minutes , washed in buffered saline for 15 minutes , stained with Af for 30 minutes , and washed for 15 minutes in Aj .', 'Leila ( Malia Phillips ) , 25 , is a Greenwich Village painter of Persianesque miniatures who has red hair that cascades almost to her ankles .', 'Thus events occurred , and victims changed in appearance , and new ones arrived .'], ['One of my virtues or vices is a sort of three-dimensional imagination complete with sound effects and glorious living color .', ""That po'k , it was so full of skippers it would jump and run and not come when you say , hoo-pig ."", 'He smiled to himself , and decided not to mention them till Dolores did .', 'Dr. Hilprecht was uncertain as to the language used by the ancient priest in his dream .'], ['And watch for a headline from this pair any time now .', 'They were staring at him in the same blank and menacing way that the men outside the gate had stared .', 'They would feel what Mary was undergoing .', 'They called her Mollie the Mutton , and laughed .'], [""He might not have gone that far if Pa hadn't been locked in laughing fit to shake the house ."", 'The shelves looked emptier than when Miss Celie had shown her the storeroom , and since the men from the Commissary had called ; ;', 'She looked up and saw that , without knowing it , Mrs. Coolidge was holding it aloft .', 'I suppose I should have paid attention to that half-murmured remark , but it seemed one of those extreme statements women under stress indulge in .']]","[[-0.1775236874818802, -0.17735978960990906, -0.17715439200401306, -0.1758405864238739], [-0.10641550272703171, -0.10625492036342621, -0.10550979524850845, -0.10548718273639679], [-0.0010269638150930405, -0.0010038972832262516, -0.0009641768410801888, -0.0009610205888748169], [0.09898993372917175, 0.09899431467056274, 0.09901367127895355, 0.09916406869888306], [0.19655533134937286, 0.19664254784584045, 0.19691872596740723, 0.19695919752120972], [0.33753764629364014, 0.33756405115127563, 0.33777913451194763, 0.33880096673965454]]",108.1857681274414,108.1857681274414,"[165.9540557861328, 129.31185913085938, 105.99921417236328, 97.24353790283203, 83.1388168334961, 90.36772155761719]",80.65509796142578,"[120.36729431152344, 105.40249633789062, 92.72991943359375, 89.88485717773438, 84.57052612304688, 86.65399932861328]"
236,"“Well, here is something for the baby.","[['Only in Europe have our lines remained firm -- and there only on the surface .', 'Only in Europe have our lines remained firm -- and there only on the surface .', 'It was this basic trait that separated Adams from the ranks of professional historians and led him to commit time and time again what was his most serious offense against the historical method -- namely , the tendency to assume the truth of an hypothesis before submitting it to the test of facts .', 'Even in the very area where the shooting had been done , cattle were still disappearing .'], ['With this situation , it is difficult to sight in on the platform with surveying equipment .', ""Others carried pemmican from `` the Forks '' to St. Paul and goods from St. Paul to Red River , as in the summer of 1847 when one trader , Wells , transported twenty barrels of whisky to the British settlement ."", ""Others carried pemmican from `` the Forks '' to St. Paul and goods from St. Paul to Red River , as in the summer of 1847 when one trader , Wells , transported twenty barrels of whisky to the British settlement ."", 'It was a difficult and ambiguous kind of negotiation , even though the rancher was said to be expert in his knowledge of the aborigines and their language .'], ['the prime minister knew who his enemy was here ; ;', 'He was awarded a fellowship to continue his studies in Tokyo and he packed up his clothes , the biwa upon which he had been practicing and his image of Acala , and left to spend a week at home before leaving the country .', 'So , walking in awe , he became familiar with God , who resided chiefly in Drew Centennial Church with its high steeple and clock .', 'BAM is the unlikely name of a French recording company whose full label is Editions De La boite A Musique .'], [""If someone were to drop a match in here , this place would go up like a haystack '' ."", ""His `` articulate Jewish friends '' convinced him that education ( read `` reading '' ) was `` a must '' ."", ""His `` articulate Jewish friends '' convinced him that education ( read `` reading '' ) was `` a must '' ."", 'She was taller than most Japanese girls , and had the exquisitely willowy form of the Japanese girl who is lucky enough to be tall .'], [""Tell her to come here to the hotel '' ."", ""Tell her to come here to the hotel '' ."", ""`` She's probably getting old -- crotchety , I mean -- and we figured uh-uh , better not ."", 'She was rollickingly happy .'], [""Once again B'dikkat moved among them like a father ; ;"", ""That's out of a play ."", 'Somebody brought a light .', 'turn just a little .']]","[[-0.2072056084871292, -0.2072056084871292, -0.20647990703582764, -0.20407257974147797], [-0.10336509346961975, -0.10336388647556305, -0.10336388647556305, -0.10328952968120575], [-0.0007215039804577827, -0.0006647226400673389, -0.0006599128246307373, -0.000635119155049324], [0.09774556010961533, 0.09775888174772263, 0.09775888174772263, 0.09775909781455994], [0.19096505641937256, 0.19096505641937256, 0.1910218894481659, 0.19121971726417542], [0.2758772373199463, 0.28032663464546204, 0.2815987765789032, 0.28306612372398376]]",178.92323303222656,178.92323303222656,"[143.8336639404297, 113.89447784423828, 140.84439086914062, 113.49124145507812, 106.79242706298828, 103.95976257324219]",60.9375114440918,"[104.06524658203125, 95.56547546386719, 117.11830139160156, 79.75037384033203, 74.92369079589844, 70.97087097167969]"
256,"Seeing this as her possible exit, Tess took it.","[[""I mean we know the order in which things happen , but we have no clocks and nobody cares enough to count days or to make calendars and there's not much climate here , so none of us know how long anything takes ."", 'These roads are largely of less than highway standards , and usually carry traffic which is related to use of the National Forests .', 'Business loans generally are repayable in regular installments -- usually monthly , including interest at the rate of 5-1/2 percent per annum on the unpaid balance -- and have a maximum maturity of 10 years ; ;', ""Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces .""], ['Tonal morphophonemics is much more confusing to the beginning analyst than consonantal morphophonemics , even when the total number of rules is no greater .', 'Further , there is no mileage charge or mileage limitations when you lease a car , and you pay only the flat monthly rate plus a nominal charge for documents and insurance since the car is registered and insured individually for your trip .', 'On Thursday , the first day of the Masters , the contest between Palmer and Player developed instantly .', '-- How much will wind , rain , sun , and temperature affect the use ? ?'], ['Read your daily newspaper ! !', 'Maple syrup is made by the children in the woods on the school grounds .', 'It is obvious that the historian who seeks to recapture the ideas that have motivated human behavior throughout a given period will find the art and literature of that age one of his central and major concerns , by no means a mere supplement or adjunct of significant historical research .', 'and August 15 , November 15 , February 17 , and May 15 , ( Cranston ) .'], ['As the pace of the quadrennial American political festival accelerated , Mr. White took more notes .', 'Russ ran through the bills and named an amount it was highly unlikely any cowpuncher would come by honestly .', 'for , in either event , the first possibility is excluded .', 'She said to him , her father , `` How was I begotten , in pain or joy ? ?'], ['The conclusion upon this record is inescapable that such likelihood was proved as to this acquisition .', '`` Well , Mrs. Charles -- Sally -- has phoned too .', '`` Well , Mrs. Charles -- Sally -- has phoned too .', ""`` I've solved the mystery of the little bag .""], ['Turning to the reporters , she asked , `` Did you hear her ? ?', 'This had worried her .', 'The little Ito girl had had to go home .', 'Winston watched her fumbling to untie her apron .']]","[[-0.1963076889514923, -0.19506989419460297, -0.19303369522094727, -0.19205397367477417], [-0.1036781594157219, -0.1036493107676506, -0.1034960150718689, -0.10291063040494919], [-0.0011211391538381577, -0.0011058952659368515, -0.0010804729536175728, -0.0009963605552911758], [0.09869316220283508, 0.09877576678991318, 0.09878526628017426, 0.09883417934179306], [0.19695501029491425, 0.1969767063856125, 0.1969767063856125, 0.19709429144859314], [0.3159486651420593, 0.31602367758750916, 0.316684365272522, 0.31701308488845825]]",126.21405029296875,126.21405029296875,"[150.6067657470703, 183.32907104492188, 131.66934204101562, 106.27711486816406, 132.5151824951172, 52.44383239746094]",77.58089447021484,"[118.09339141845703, 140.59793090820312, 110.46424865722656, 112.52259826660156, 105.89872741699219, 58.56635284423828]"
397,“The why about what?” David asked curiously.,"[['At present all offenses must be taken to Sixth District Court for disposition .', 'With these maps completed , the inventory phase of the plan has been started .', ""They'll be in range in a short while '' ."", 'Upon the expiration of a period deemed adequate for demonstration purposes for each plant , but not to exceed such twelve-year period , the Secretary shall proceed as promptly as practicable to dispose of any plants so constructed by sale to the highest bidder , or as may otherwise be directed by Act of Congress .'], ['In the last eight years , all Presidential appointments , including those of cabinet rank , have been denied immediate action because of a Senate rule requiring at least a 24 hour delay after they are reported to the floor .', 'In the last eight years , all Presidential appointments , including those of cabinet rank , have been denied immediate action because of a Senate rule requiring at least a 24 hour delay after they are reported to the floor .', 'At least 60 stations devote all of their time to reaching this audience in about half of the 50 states .', 'But they do not strip .'], ['She helped with teaching as well as office work for a few years -- the catalogues show that she had classes in geography , rhetoric and bookkeeping .', 'Here , on a desk , is a stack of pamphlets representing the efforts of some of the best men of the day to penetrate these questions .', 'Spread article on flat surface to required width before measuring length at center .', 'Spread article on flat surface to required width before measuring length at center .'], ['Enthusiastically , Americans have swept subliterary and bogus materials like Paul Bunyan tales , Abe Lincoln anecdotes and labor union songs up as true products of our American oral tradition .', ""Mr. Remarque's conception of this novel was sound and perhaps even noble ."", ""Mr. Remarque's conception of this novel was sound and perhaps even noble ."", 'The company was impressed with some ideas of the danger from Carolina , and when Perier came over as governor in 1727 , he was given special instructions regarding the trade of the Mobile district .'], ['The strange creature , housed in wire , made him shudder .', ""This news , announced by Jerome Toobin , the orchestra's administrative director , brought applause from the 2,800 persons who filled the hall ."", ""Gorton sometimes signed himself `` a professor of the mysteries of Christ '' ."", ""The menace of Manas gradually faded as Meredith asked himself should he translate it , ' How the dark fates laughed ' ? ?""], ['Signora Ferraro , bobbing her head encouragingly , asked Sam about Canada , having a special interest .', 'And so , still wondering and a little perplexed , he grinned at the girl and spoke lightly to make sure that she would know he was kidding .', ""The short answer to those questions is `` yes '' ."", ""`` That isn't like you , Janice '' , Chris said uncomfortably .""]]","[[-0.20306755602359772, -0.19922110438346863, -0.1946633756160736, -0.19217795133590698], [-0.104829803109169, -0.104829803109169, -0.10480940341949463, -0.10478625446557999], [-0.0009678304195404053, -0.000934092327952385, -0.0009032990783452988, -0.0009032990783452988], [0.0987079069018364, 0.09871040284633636, 0.09871040284633636, 0.09873902797698975], [0.19583410024642944, 0.19598175585269928, 0.1961386352777481, 0.19616331160068512], [0.2895365059375763, 0.2896070182323456, 0.29095458984375, 0.2928147315979004]]",4805.2880859375,4805.2880859375,"[10945.4404296875, 7172.7822265625, 3862.343505859375, 6304.3779296875, 3156.516357421875, 3725.355224609375]",2287.9033203125,"[5397.60693359375, 3453.4169921875, 2373.590576171875, 3963.68798828125, 2523.649169921875, 2355.193359375]"
