target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins,base_entropy,local_unintrp_entropy,local_intrp_entropy_all_bins,global_unintrp_entropy,global_intrp_entropy_all_bins
13,"One is ethnicity: Asian women and foreign-born Hispanic men, for example, have the highest chance of the demographic groups studied that their marriages will last 20 years (70 percent), while black women have the lowest rate of reaching the two-decade mark (37 percent).","[['If you plan to add cooling later to your heating system , there are things to watch for .', 'In privacy he could walk around , leave the light on , read .', ""`` -- second building on the right '' ."", '`` A stake-out , I suppose .'], ['It was the marine : head lifted , he strained and called .', 'Proceeds realized from these pageants are used by the Jaycees to help support their various youth , health , welfare and community betterment activities throughout the state .', ""If one asks about this play , what it is that comes upon this community and works within it with such terrible power , there is no better answer to give than `` spirit '' ."", ""To Spahn will go the Sid Mercer Memorial Award as the chapter's player of the year .""], [""Some sort of nemesis was haunting his footsteps , he told us in a quavering voice -- either an ape specter or Abe Spector , a process-server , we couldn't determine which ."", 'Those who walk on it may encounter at any turn ministers of grace or damnation .', 'The two had been hunting in the Simmonsville area of town and Mr. Parrillo dropped the gun which fired as it struck the ground .', ""Georgia's mental health program received a badly needed boost from the General Assembly in the form of a $1,750,000 budget increase for the Milledgeville State Hospital .""], ['But even if we cannot see the repulsive characteristics in this new image of America , foreigners can ; ;', 'These are beginnings , but correctly learned they prepare for satisfying and exciting stunts that can be performed by a strong , flexible body ( we are not talking of eccentric extremes ) .', 'The number of people acting as one body by this scheme gives a surprisingly large army of 55,987 men .', 'It was this basic trait that separated Adams from the ranks of professional historians and led him to commit time and time again what was his most serious offense against the historical method -- namely , the tendency to assume the truth of an hypothesis before submitting it to the test of facts .'], ['I could see the ancient cynicism reinforce itself in her eyes , and I wondered how many men she had picked up with this same gambit .', 'He had known women like that , one woman in particular .', 'His red face , his coarse gestures , and his lustful stares bespeak his sensuality .', ""For it seems that Barco , fancying himself a ladies' man ( and why not , after seven marriages ? ?""], [""It's inevitable in this case , for the couple will be separated for , at the least , forty years ."", 'In repetitions of the experiment from couple to couple , the votes of the two persons in a couple probably agree more often than independence would imply , because couples who visit the museum together are more likely to have similar tastes than are a random pair of people drawn from the entire population of visitors .', 'it has sought new sympathy for the human aspirations of racial minority groups in this country .', 'Assuming the lower figure for the big blast and one shot estimated by the Japanese at 10 megatons , a conservative computation is that the 24 announced tests produced a total yield of at least 60 megatons .']]","[[-0.15335997939109802, -0.15335474908351898, -0.15296387672424316, -0.15292084217071533], [-0.10058100521564484, -0.10057352483272552, -0.10052851587533951, -0.10051173716783524], [-0.00012779328972101212, -0.00010934099555015564, -7.719546556472778e-05, -6.432458758354187e-05], [0.09927546977996826, 0.09930214285850525, 0.09941338747739792, 0.09942753612995148], [0.19327755272388458, 0.19417133927345276, 0.19450201094150543, 0.1957223117351532], [0.263996958732605, 0.2686731815338135, 0.276849627494812, 0.27957308292388916]]",67.20175170898438,67.20175170898438,"[80.3678207397461, 70.19271850585938, 75.10325622558594, 73.94572448730469, 85.45613861083984, 60.88369369506836]",58.832481384277344,"[70.5125503540039, 63.2092399597168, 68.48210906982422, 67.16935729980469, 70.57807922363281, 63.167633056640625]",3.5286080837249756,3.5286080837249756,"[3.817850112915039, 3.579063892364502, 3.4371700286865234, 3.650029182434082, 3.614640951156616, 3.4790780544281006]",3.561168909072876,"[3.745464563369751, 3.6483819484710693, 3.469994306564331, 3.6544783115386963, 3.6111299991607666, 3.465407371520996]"
24,"1 source of conflict or tension,"" she says.","[['It was doing very well , too , having reached the center , and was pursuing its way with commendable singleness of purpose when Mr. Podger saw hazard approaching in the shape of a flashy little sports car .', 'So much for the prototype .', ""Still , he couldn't help thinking , we're all getting old , getting small ; ;"", 'The number of people acting as one body by this scheme gives a surprisingly large army of 55,987 men .'], ['That we are experiencing an upsurge of interest in the many formulations and preventive adaptations of brief treatment in social casework is evident from even a small sampling of current literature .', 'Boniface was later to explain to the English that Robert of Burgundy and Guy De St.-Pol were easy enough to do business with ; ;', 'He did receive a resume of it -- the same that was furnished the appeal board -- and he made no claim of its inaccuracy .', 'There will be a stag dinner Friday evening at the Denver Country Club which will precede the opening of the 1961 golf season .'], [""Now Gavin Maxwell's Ring Of Bright Water has widened to enchant the world ."", 'Enthusiastically , Americans have swept subliterary and bogus materials like Paul Bunyan tales , Abe Lincoln anecdotes and labor union songs up as true products of our American oral tradition .', 'When the mast was raised , Alexander gave the order for Small and Cromwell to be placed under arrest , and now three figures in irons sprawled upon the open deck and terror stalked the Somers .', ""Prince Souvanna Phouma , leader of the nation's neutralists and recognized as Premier by the Communist bloc , and Prince Souphanouvong , head of the pro-Communist Pathet Lao forces .""], ['This must be stressed because it is absolutely essential to the argument of this concluding chapter .', 'His hubris , deficiency of taste , and sadism carried him straightaway to the top .', 'Virgilia Peterson , a critic by trade , has turned her critical eye pitilessly and honestly on herself in an autobiography more of the mind and heart than of specific events .', ""This opinion is supported by one of the nation's leading psychiatrists , Dr. Maurice E. Linden , director of the Mental Health Division of the Philadelphia Department of Public Health .""], [""It may be fostered by frustration , depression , insecurity -- or , in children , simply by the desire to stop an anxious mother's nagging ."", 'She thought she was going to die .', 'turmoil in the House', ""Thank you for the illustrated editorial `` Confrontation '' .""], ['For continuous control , feed 1 part phenothiazine to 9 parts minerals or salts .', 'The battle of the Naktong River is just one example of how the battle cry and the spirit of The Fighting Seventh have paid off .', 'One thing should be clear to both husband and wife -- neither pain nor profuse bleeding has to occur when the hymen is ruptured during the first sex act .', 'Her pride is as much at stake as her virtue ; ;']]","[[-0.16636058688163757, -0.16627493500709534, -0.1652745008468628, -0.16356179118156433], [-0.10044366121292114, -0.10041869431734085, -0.10035901516675949, -0.10030266642570496], [-0.000196071807295084, -0.00013883784413337708, -0.00013322290033102036, -9.387265890836716e-05], [0.0996348112821579, 0.09964711964130402, 0.0996762365102768, 0.09967628866434097], [0.19523578882217407, 0.1952562928199768, 0.1953369677066803, 0.1961168348789215], [0.2565937340259552, 0.2566876709461212, 0.2585967779159546, 0.26044344902038574]]",153.14773559570312,153.14773559570312,"[307.51641845703125, 273.3164978027344, 310.3515625, 292.7333679199219, 162.84707641601562, 185.3900909423828]",104.72777557373047,"[206.5537567138672, 215.2739715576172, 196.08734130859375, 255.29054260253906, 132.5990753173828, 157.02964782714844]",4.673138618469238,4.673138618469238,"[4.756693363189697, 4.6414361000061035, 4.374608039855957, 4.498669624328613, 4.577629089355469, 4.583578586578369]",4.446310043334961,"[4.662445068359375, 4.589942932128906, 4.377438545227051, 4.448379993438721, 4.665962219238281, 4.595600128173828]"
45,Another study by the same team showed that marital trouble is also often evident soon after the vows.,"[['Layout and equipment were modernized and improved to obtain increased production on an efficient basis .', '346 U.S. , at 5-6 .', 'I had watched Castro handling his enemies before the paredon .', 'Soil type , drainage , or degree of slope can make the difference between good crops and poor ones .'], ['Lighting my pipe , I took a walk .', 'The table on page 10 shows costs of canning and freezing meat , and estimated costs for irradiation under certain assumed conditions .', 'I was all set for what came next .', 'Cereal grains , oilseeds , and dry beans and peas account for about 57 percent of the farm value of all crops raised .'], ['He would have to do something on his own .', 'This has got to be some kind of local phenomenon .', 'Glendora put down a dish of lukewarm rice .', ""Here are a few facts and figures I've assembled .""], ['With a short-lived sigh of relief , Jack plugged the fuses back in and threw the switch .', 'The world has never lacked for horrifying examples ; ;', 'A couple named Harris and Geely .', 'An excited woman was making an emergency call over the phone : `` Doctor , please come over right away .'], ['This was not a particularly shocking or unexpected thing -- it was previously known to her that it might happen .', ""`` Yes , we have quite a few years of voice training , madam '' , remarked Helva calmly ."", ""`` Everyone knew it , but he sort of acted like he didn't care who knew it -- even after them notes came , even after he'd heard about Lewis , even after he'd been shot at a couple o' times hisself '' ! !"", 'Soon he was in trouble there , for defending a woman who was accused of smiling in church .'], [""`` A marriage can survive almost any kind of stress except an open and direct challenge to the husband's maleness '' , declares Dr. Calderone ."", 'More typical is the case of a suburban Long Island housewife described by a marriage counselor .', ""It's inevitable in this case , for the couple will be separated for , at the least , forty years ."", 'that aside from due notification of certain major events in their lives ( two marriages , two births , one divorce ) , Christmas and Easter cards of the traditional sort had been the only thin link she had with them through the widowed years .']]","[[-0.14607733488082886, -0.1456356644630432, -0.1449068933725357, -0.1434393674135208], [-0.10133376717567444, -0.10131369531154633, -0.10107359290122986, -0.10079505294561386], [-0.00024011638015508652, -0.0002315230667591095, -0.00021927431225776672, -0.00021450966596603394], [0.09963304549455643, 0.099708691239357, 0.09979251027107239, 0.09981223940849304], [0.1987375020980835, 0.19878476858139038, 0.1989031732082367, 0.1990610957145691], [0.3716658353805542, 0.37857377529144287, 0.38058340549468994, 0.38217294216156006]]",159.47018432617188,159.47018432617188,"[203.71343994140625, 187.0465545654297, 180.02052307128906, 166.9424285888672, 168.87535095214844, 169.1746063232422]",147.08030700683594,"[158.9287872314453, 166.65101623535156, 151.51609802246094, 163.09910583496094, 138.76319885253906, 160.96726989746094]",3.8582682609558105,3.8582682609558105,"[4.006270408630371, 4.033303737640381, 4.111724853515625, 3.9411163330078125, 3.8732447624206543, 3.8649661540985107]",3.629808187484741,"[4.027357578277588, 3.953961133956909, 4.0025458335876465, 3.851897716522217, 3.961768627166748, 3.7557976245880127]"
68,"More recently, UCLA's Lavner led another study reevaluating how a couple's fighting style affected their marriages.","[['In this system , no man is exempt from obligations .', 'If you are a party thrower , you may need added capacity .', 'I crossed the beautifully furnished living room to the pale yellow phone .', 'Eugene offered Harold his car , to use at any time he cared to , and when this offer was not accepted , the armchair creaked .'], ['Today the cancer is gone .', 'For vector spaces over non-algebraically closed fields , we still need to find some substitute for characteristic values and vectors .', 'Glendora put down a dish of lukewarm rice .', ""You won't be needing this '' .""], ['yet he did not stop being human as a result .', 'The comprehensive or master processes activate all or some of the elements within the social system and subsystems .', 'The acceptance of collective bargaining as a national policy in 1934 , implicit in the writing of Section 7A of the National Industrial Recovery Act , has made it impolitic to oppose collective bargaining in principle .', 'Billy Tilghman did just that .'], [""And , when the slat finally shatters , we see him count the fragments , all the while muttering , `` He loves me , he loves me not '' ."", 'We believe that autism , like so many other conditions of defect and deviation , is to a large extent inborn .', 'Perhaps one of the reasons these Sonatas are not programmed more often is their great length .', ""Sitting quietly on an equally big pork barrel was another Judge Smith ally , Georgia's Carl Vinson , chairman of the Armed Services Committee .""], [""`` Everyone knew it , but he sort of acted like he didn't care who knew it -- even after them notes came , even after he'd heard about Lewis , even after he'd been shot at a couple o' times hisself '' ! !"", ""I asked Quasimodo recently how he accomplished this , and he replied that he had painted his model `` a beautiful shade of red and then had her breathe on the canvas '' , which was his typical tongue-in-cheek way of chiding me for my lack of sensitivity ."", 'All the officials on the case seem to have been afflicted with a similar myopia as far as Bridget was concerned , although records in police files contain many reports of servants who have murdered their employers .', 'Not so obvious to her , but of more importance to her teachers , Helva ingested the precepts of her conditioning as easily as she absorbed her nutrient fluid .'], ['Anthony Steel , as the husband , is a jealous type who argues against her course and sues for divorce , labeling her action adulterous .', 'His bold eyes raked the woman , and a perceptive spectator might sense that there was more to their relationship than that of slave to owner .', ""A weekly newspaper reported a local romance : `` and the couple were married last Saturday , thus ending a friendship which began in their schooldays '' ."", 'More time was spent in trying to marry these incompatibles than over any subject discussed at Yalta .']]","[[-0.1463378667831421, -0.14585046470165253, -0.14515170454978943, -0.14478416740894318], [-0.10148326307535172, -0.10148066282272339, -0.1014300286769867, -0.10121786594390869], [-0.00017564743757247925, -0.00017501413822174072, -0.00016544200479984283, -0.00014871731400489807], [0.09986882656812668, 0.09987393021583557, 0.09987427294254303, 0.09989184141159058], [0.19750121235847473, 0.1975012719631195, 0.19779488444328308, 0.19800254702568054], [0.33213406801223755, 0.33569344878196716, 0.3379911780357361, 0.34111106395721436]]",148.7038116455078,148.7038116455078,"[178.05035400390625, 175.84616088867188, 187.0650177001953, 129.47215270996094, 138.8225555419922, 110.58545684814453]",98.41229248046875,"[133.04837036132812, 136.65773010253906, 126.90400695800781, 98.45218658447266, 120.48410034179688, 89.87538146972656]",4.521467208862305,4.521467208862305,"[4.443824291229248, 4.593120098114014, 4.359396457672119, 4.3250813484191895, 4.2993950843811035, 4.143917083740234]",4.349396705627441,"[4.475925445556641, 4.445827007293701, 4.232691287994385, 4.283650875091553, 4.3125319480896, 4.178389072418213]"
74,"Partners who reported patterns of destructive behavior when dealing with conflict in the first year of marriage, for example, were more likely to divorce years later (, 2010).","[['His hand was large and square and heavily tanned .', 'It is , I insist , hard to define the Rayburn contribution to our political civilization because it is so massive and so widespread and so complicated , and because it goes so deep .', 'Powers was covering the remaining guard .', 'Blockade runners can be stopped -- by gunfire , if necessary -- searched and held , at least temporarily .'], ['The rest of the deficit is also easily understood .', 'Anyhow , it was high time the boy was salted .', 'then they turned to the right , climbed the embankment , and walked into the valley again .', 'Thus a number of operations of the order of Af are required .'], ['Even eggs and other cholesterol-rich foods , eaten in normal amounts , says Dr. Keys , do not materially affect the amount of cholesterol in the blood .', 'It was her work to go among her neighbors and collect their checks .', 'It had been a very long time that had no form and no end .', ""The Istiqlal-sponsored U.M.C.I.A. ( L'Union Marocaine Des Commercants , Industrialistes et Artisans ) was opposed by candidates of the new U.N.F.P. ( L'Union National Des Forces Populaires ) in nearly all urban centers .""], [""`` No '' , Susan said , grappling with her outsized armload of dolls with a Scrooge-like effect ."", ""But then , Mario Lanza was no common singer , and his whole career , public and non-public , was studded with the kind of unconventional happenings that terminate with the appearance of his first `` recital '' only when he has ceased to be a living voice ."", 'after all , he had had the same set of facts as Jack had had to work from , and he was an almost frighteningly observant man .', ""Indeed , if pressed , we would say what the late Robert Henri , American painter , said to a pupil , `` Anything will do for a subject : it's what you do with it that counts '' .""], ['She suspected that Cathy had been competing with Susan for attention that she had never had .', 'The state had elected Republican candidates in the past two years .', ""Instead -- and not just to prove my objectivity -- I hasten to report that it's a highly amusing film which probably does a fairly accurate job of reporting on the Easter vacation shenanigans of collegians down in Fort Lauderdale , and that it seems to come to grips quite honestly with the moral problem that most commonly vexes youngsters in this age group -- that is to say , sex ."", ""He'd been in an angry mood : Conchita had thought his face almost ugly with the anger in him .""], ['Then Miriam varied the senseless psychological warfare by suddenly withdrawing a suit for separate maintenance that had been pending , and asking for divorce on the grounds of cruelty , with the understanding that Wright would not contest it .', ""Thus , the writer decided to hold one experimental section of the functional preparation for marriage course in the spring semester of 1960 exclusively for persons already married -- that is , prerequisite : `` marriage '' ."", ""A weekly newspaper reported a local romance : `` and the couple were married last Saturday , thus ending a friendship which began in their schooldays '' ."", 'More typical is the case of a suburban Long Island housewife described by a marriage counselor .']]","[[-0.16264021396636963, -0.1617065668106079, -0.16163837909698486, -0.16103121638298035], [-0.10082497447729111, -0.10058435797691345, -0.10056377947330475, -0.10051055997610092], [-0.00020601879805326462, -0.0001897597685456276, -0.00016809627413749695, -0.00012623518705368042], [0.09965509176254272, 0.0996798649430275, 0.0996890515089035, 0.0997171700000763], [0.1973699927330017, 0.19797171652317047, 0.19803567230701447, 0.1982899010181427], [0.3524854779243469, 0.3645585775375366, 0.3753299415111542, 0.3848002254962921]]",85.91535186767578,85.91535186767578,"[111.57913208007812, 96.50196838378906, 87.96107482910156, 110.19666290283203, 108.55891418457031, 69.49589538574219]",69.38239288330078,"[74.74359893798828, 72.3006591796875, 69.62286376953125, 99.31637573242188, 84.80648040771484, 62.98560333251953]",3.9354729652404785,3.9354729652404785,"[4.103572845458984, 4.031749725341797, 3.750168800354004, 3.9966492652893066, 3.8056132793426514, 3.8208470344543457]",3.741241455078125,"[3.900679349899292, 3.7593228816986084, 3.7425098419189453, 3.9467663764953613, 3.820258378982544, 3.7563257217407227]"
