target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins,base_entropy,local_unintrp_entropy,local_intrp_entropy_all_bins,global_unintrp_entropy,global_intrp_entropy_all_bins
20,"A 2009 report from the University of Virginia's National Marriage Project, for example, showed that couples with no assets are 70 percent more likely to divorce within three years than couples with $10,000 in assets.","[['The fisherman was right in the middle of the Deep .', 'The Riegger , with its Latin hesitation bounce , is just this side of the pale ; ;', 'The Earthmen made camp outside the spaceship .', 'Cady put the well-worn chip back on his shoulder .'], ['to the editor of the New York Times :', 'the courage to meet every challenge ; ;', 'I must say , however , that I preferred the acting that had something of a biting edge to it .', 'Worst of all , Wally had no training for any kind of work .'], ['They feel that the United States is engaged in a life-and-death struggle with communism for survival and world supremacy .', 'Time stands still as you climb the narrow , stone stairways in tiny villages clinging to steep mountain slopes or wander through story-book towns , perched atop lofty crags , their faces turned to the sea .', 'The newspaper too is the favorite habitat of the anatomical .', 'They would be coming for him next , bearing down on him from both directions .'], ['The behavior of a biological aerosol , on a much smaller scale , is illustrated by a specific field trial conducted with a non-pathogenic organism .', 'Bill Jr. , 20 , Kathy , 15 , and Patricia , 9 , round out the Shea family .', ""`` I might point out that your inability to report to my office this morning when you were instructed to do so has not ah limited my knowledge of your activities as you may have hoped '' ."", ""As John T. Westbrook says in his article , `` Twilight Of Southern Regionalism '' ( Southwest Review , Winter 1957 ) : `` The miasmal mausoleum where an Old South , already too minutely autopsied in prose and poetry , should be left to rest in peace , forever dead and ( let us fervently hope ) forever done with '' .""], ['Certainly all can applaud passage of an auto title law , the school bills , the increase in teacher pensions , the ban on drag racing , acceptance by the state of responsibility for maintenance of state roads in municipalities at the same rate as outside city limits , repeal of the college age limit law and the road maintenance bond issue .', 'There are eight states in which the largest urban vote can be the balance of power in any close election .', ""But the greater part of semester time was actually centered around the attitudes : `` So we are married -- now how do we make the best of it '' ? ?"", 'To illustrate , the first blessing in the King James Bible reads : `` Blessed are the poor in spirit ; ;'], ['And the school newspaper sells space to jubilant fraternities , sororities , and houses ( in the House Plan Association ) that have good news to impart .', 'The two in the bed knew each other as old people know the partners with whom they have shared the same bed for many years , and they needed to say no more .', 'Even though the registers may have an incomplete record of persons present in a particular area or include persons no longer living there , they contain precise information on ages , by date of birth , for some of the persons present ( especially children in relatively stable communities ) and supplementary information ( such as records of marital status ) for many others .', ""An amazing article in the Manchester Guardian of last November , entitled `` Fate Of Redundant Churches '' , states than an Archbishops' Commission `` reported last month that in the Church of England alone there are 790 churches which are redundant now , or will be in 20 years' time .""]]","[[-0.18052464723587036, -0.17650634050369263, -0.1742478311061859, -0.17188380658626556], [-0.10296560823917389, -0.1028975248336792, -0.10288119316101074, -0.102870874106884], [-0.0004968149587512016, -0.0004765195772051811, -0.00046518445014953613, -0.00046278350055217743], [0.09842678904533386, 0.0984891876578331, 0.09850003570318222, 0.09852032363414764], [0.19225969910621643, 0.1923666000366211, 0.19255007803440094, 0.19257201254367828], [0.2633083462715149, 0.2636353373527527, 0.2641716003417969, 0.2646077871322632]]",110.26679229736328,110.26679229736328,"[138.1189727783203, 116.4996566772461, 126.12548828125, 107.91475677490234, 144.21859741210938, 107.42583465576172]",82.0260009765625,"[91.16816711425781, 89.56068420410156, 117.65245056152344, 98.02468872070312, 123.7540283203125, 97.45330047607422]",3.5500829219818115,3.5500829219818115,"[3.5394275188446045, 3.635333299636841, 3.649095296859741, 3.621476411819458, 3.7278640270233154, 3.319028615951538]",3.321218252182007,"[3.4460575580596924, 3.5709731578826904, 3.559832811355591, 3.577336072921753, 3.7127609252929688, 3.274139165878296]"
52,What does work?,"[['Reaching across the side of the stall , he slapped the buckskin on the rump .', 'On the other hand , you may seek His favor , humble yourself before Him and beg His mercy , implore His forgiveness , forsake your sins , and abandon your whole life to Him .', 'The obscurity of politicians may not always be as innocent as it looks .', 'Her debut over , perhaps the earlier scenes will emerge equally fine .'], ['To his amazement he reached him .', 'One can assume that some of the brightest boys are out of town .', 'For each State ( except the Virgin Islands , Guam , Puerto Rico , and , prior to 1962 , Alaska and Hawaii ) , determine the average per capita income for the last three years .', 'Two sharply contrasting places designed for public enjoyment are now on display .'], ['This beach campground with no trees or hills presents a constant camping show with all manner of equipment in actual use .', ""The part of the mind that preserves dates and events may remonstrate , `` It could have been like that for only a little while '' ; ;"", 'Of straight dramas , there are All The Way Home , which owes much of its poetic power to the James Agee novel , A Death In The Family ; ;', ""Thus `` America '' , the most widely sung of the patriotic songs , was written by a New England Baptist clergyman , Samuel Francis Smith ( 1808-1895 ) , while a student in Andover Theological Seminary .""], ['But she decided to stay at Spelman .', 'Walter was giving me checks for my pay , the household bills .', 'Nor is she a wet boat .', 'The double-step type'], ['The drill press consists of a vertical shaft ( spindle ) which is tapered or threaded on one end to hold a drill chuck , a tubular housing ( quill ) in which the spindle is mounted , a head in which the quill is mounted , a feed lever which moves the quill up or down , a power source , and a movable table upon which the work is placed .', ""`` There's something here '' ! !"", ""`` But well , it just don't seem sportin' somehow '' ! !"", ""Why , that's what gave me the feeling , gave me as-it-were the spirit , the demoniac , evil spirit of this whole affair .""], [""What did you do with them '' ? ?"", ""`` Hesperus , don't use this t-tau vector trick of yours , please ."", 'How can the United States act ? ?', 'Why do you have to jump me the first time something goes wrong ? ?']]","[[-0.17034384608268738, -0.1697787493467331, -0.16964492201805115, -0.16701781749725342], [-0.10324549674987793, -0.10312788188457489, -0.1030566394329071, -0.1030515730381012], [-0.0006165411323308945, -0.0006056129932403564, -0.0005835350602865219, -0.0005655959248542786], [0.09782242774963379, 0.09785811603069305, 0.0979280024766922, 0.09796050190925598], [0.18117567896842957, 0.18137091398239136, 0.1817515790462494, 0.18191200494766235], [0.24164369702339172, 0.24202564358711243, 0.24564583599567413, 0.2470444142818451]]",585.595703125,585.595703125,"[156.7459716796875, 420.2604064941406, 873.9228515625, 408.4284362792969, 145.9828338623047, 63.377464294433594]",124.12676239013672,"[167.0005645751953, 249.03330993652344, 746.4515380859375, 225.1046600341797, 125.71515655517578, 40.99330139160156]",4.040797710418701,4.040797710418701,"[4.357236862182617, 3.8377485275268555, 3.7478108406066895, 3.778836250305176, 4.100192070007324, 3.954474925994873]",4.5748138427734375,"[4.447726249694824, 4.588129043579102, 3.991143226623535, 4.018732070922852, 4.034872055053711, 3.7937798500061035]"
78,"""Most couples think they're communicating with one another, but what they're really talking about is what I call ‘maintaining the household,'"" she says, or detailing to-do lists and divvying up chores.","[['Beneath the dome I saw the spot where the Byzantine Emperors were crowned , a bit of floor protected now by a wooden fence .', 'In 1936 he accepted the leadership of the Berlin Kulturbund .', 'For thirty minutes , Stanley Gilborn stood there .', 'Hence , the condition of freedom is a necessary condition for choice .'], ['The conscience is non-existent in the 2-year-old .', 'The voice issued from the cavern of the hall below .', 'Premium Freight ( Titan Hanover-Pebble Hanover ) , 2:30.3-35.3 ; ;', 'for , in either event , the first possibility is excluded .'], [""`` I'm Mark Gordon Peters the Fifth ."", 'They could not guess that from their concepts of liberty and freedom would some day be born a new nation that for years would be the symbol of hope to the oppressed countries of the world .', 'But we have lots of other New Orleans specialties .', 'Once again life went its serene way -- soirees , fox hunts , balls and dinners .'], ['The miserable people of China , the largest cast ever conscripted to enact an ideological passion play , cannot themselves resist overtly .', 'Gradually watercolor claimed his greater affection until today it has become his major , if not exclusive , technique .', 'Here was what was called the American dream , namely , the effort to build a structure which would be something new in history and to do so in such fashion that God could bless it .', ""Let me pass over the trip to Sante Fe with something of the same speed which made Mrs. Roebuck `` wonduh if the wahtahm speed limit '' ( 35 m.p.h. ) `` is still in ee-faket '' .""], ['Enthusiastically , Americans have swept subliterary and bogus materials like Paul Bunyan tales , Abe Lincoln anecdotes and labor union songs up as true products of our American oral tradition .', ""They don't , Mrs. Constable ."", 'Each might find a useful place in a varied musical program , but taken together they grew quite tiresome .', ""But of course the paterollers won't be of any help , not with everything so upset and that Yankee cavalry outfit they say is running around , God knows where '' .""], ['It seems to me the time has come for the American press to start experimenting with ways of reporting the news that will do a better job of communicating and will be less subject to abuse by those who have learned how to manipulate the present stereotype to serve their own ends .', ""`` Most often '' , she says , `` it's the monogamous relationship that is dishonest '' ."", ""Said you wore yourself out , cleaning all these empty rooms '' ."", 'An eyewitness recalled how awkward the red-turbaned colored women appeared as they curtseyed in the church doorway , and the diffidence the former slaves displayed while they listened to the few words that declared them free .']]","[[-0.17453545331954956, -0.1737581193447113, -0.1733597218990326, -0.16915889084339142], [-0.10329641401767731, -0.10320703685283661, -0.10310936719179153, -0.10307614505290985], [-0.000645127147436142, -0.0006268676370382309, -0.0006145937368273735, -0.0006024893373250961], [0.09876158088445663, 0.0988207459449768, 0.09883331507444382, 0.098848357796669], [0.1935986876487732, 0.19366630911827087, 0.1939111053943634, 0.1939249187707901], [0.25772711634635925, 0.25849390029907227, 0.2598484456539154, 0.2610713243484497]]",150.32386779785156,150.32386779785156,"[167.94447326660156, 137.9847412109375, 125.36143493652344, 152.07894897460938, 129.8083038330078, 149.12831115722656]",153.5606689453125,"[147.25131225585938, 144.5096435546875, 117.08161163330078, 146.80557250976562, 120.9854736328125, 150.76995849609375]",3.9798154830932617,3.9798154830932617,"[4.002026081085205, 4.076145648956299, 4.055606365203857, 4.1151580810546875, 4.035983562469482, 4.06342077255249]",4.165683746337891,"[4.046664714813232, 4.111019611358643, 4.108123779296875, 4.15883731842041, 4.0699028968811035, 4.074260234832764]"
86,But feeling supported during negative events was inconsistently — and sometimes even negatively — linked to similar good feelings.,"[[""`` Why can't I leave her locked up in the tool crib '' ? ?"", ""He has said , `` Behold , I stand at the door , and knock : if any man hear my voice , and open the door , I will come in to him , and will sup with him , and he with me '' ( Revelation 3:20 : :"", ""Back in college , today's handsome Gander was the only male member of a Texas Tech class on food ."", 'this number will be of the order of Af .'], ['Finally Luis Hernandez said , `` What must be , must be .', ""During the pension year ended December 31 , 1960 , 23 employees retired , making a total of 171 currently retired under the Company's pension plan ."", ""Evidently Bill was another of those men who simply don't understand women ."", '1 large onion , chopped fine 2 tablespoons salad oil 1 8-oz. can crushed pineapple and 1/2 cup of the juice 1/4 cup brown sugar 2 tablespoons vinegar 1 tablespoon prepared mustard 1 tablespoon Worcestershire sauce pineapple chunks'], [""`` We're out just a little too far ."", 'The nation would be utterly devastated .', 'The really remarkable thing to me is that most California natives unhesitatingly elect to slow down and permit the invading car free access .', ""Is there anything a frustrated individual can do about Communism's growing threat on our doorstep and around the world ? ?""], ['Thus one line in five from The Iliad and The Odyssey is to be found somewhere else in the two poems .', 'In the silence that followed , Miriam walked close to Mrs. Cupply , who drew back a step on her side of the gate .', 'Even eggs and other cholesterol-rich foods , eaten in normal amounts , says Dr. Keys , do not materially affect the amount of cholesterol in the blood .', ""Muller's would have to be one of the half dozen almost directly opposite .""], ['It is always a temptation for a religious organization , especially a powerful or dominant one , to impose through the clenched fist of the law its creedal viewpoint upon others .', 'Sections of tumors incited by WTV were not similarly stained with conjugated normal serum or conjugated antiserum to potato yellow-dwarf virus .', 'Moreover , for those few there was almost no ecclesiastical representation in the city to care for their religious needs .', 'The discrepancy between what we commonly profess and what we practice or tolerate is great , and it does not escape the notice of others .'], ['This could be told chiefly from a sort of head-tossing and prancing , a horselike balkiness of demeanor .', 'Conversely , if he gives a heavy rating to his own reading , and finds more accurate facts in it than in the others , a point is chalked up for the intrinsic , objective meaningfulness of this type of mediumistic material .', 'The result had nothing of the polish , pace or cohesion of the previous night .', 'and though this process by no means represents an unambiguous gain and is , in fact , marked by the estrangement from the depths that seems to be the cost of human maturation , it is still a positive step forward ; ;']]","[[-0.18168503046035767, -0.1810724139213562, -0.1779077649116516, -0.1772102564573288], [-0.10256419330835342, -0.1025560200214386, -0.10246209800243378, -0.10239824652671814], [-0.0008504688739776611, -0.0008225990459322929, -0.0008223513141274452, -0.0008137868717312813], [0.09890054166316986, 0.09894725680351257, 0.09901081025600433, 0.09901562333106995], [0.19338536262512207, 0.193392813205719, 0.1936180740594864, 0.1941160261631012], [0.28420791029930115, 0.28453880548477173, 0.284973680973053, 0.2858254015445709]]",501.0337219238281,501.0337219238281,"[554.6611938476562, 492.6746826171875, 527.5623779296875, 584.7418823242188, 401.9161682128906, 467.97711181640625]",363.9578552246094,"[447.02197265625, 457.0941467285156, 407.2299499511719, 366.8846130371094, 391.0274353027344, 364.8751525878906]",4.157018661499023,4.157018661499023,"[4.351474761962891, 4.350795745849609, 4.283466339111328, 4.013366222381592, 4.268932342529297, 4.367710113525391]",4.412327289581299,"[4.475278377532959, 4.490832328796387, 4.43972635269165, 4.320065975189209, 4.3323235511779785, 4.578949928283691]"
106,If you're an artist you take workshops.,"[['West Virginia toll bonds have defaulted in interest for months , and , despite recent improvement in revenues , holders of the bonds are faced with more of the same .', ""And after all this , Shann went over all that Bang-Jensen had brought up '' ."", ""The failure at that time of the Puerto Rican bishops to control the votes of their people added a ring of good sense to Father Weigel's theological argument ."", 'And his performances attracted much attention , as the frequency of his surviving pieces in any calendar that may be set up for his undergraduate activities testifies .'], ['One shawl was so tremendous that she could not wear it , so she draped it over the banister on the second floor , and it hung over the stairway .', 'Shadow looked surprised , wailed , and trotted after her .', 'he had no use any longer for exact time , even had the watch been running .', 'The illustration ( fig. 11 ) shows this shelter with the roof at ground level and mounded over .'], ['Bernard Parrillo , 20 , of 19 Fletcher Ave. , Cranston , was admitted to Roger Williams Hospital shortly before 11:30 a.m. yesterday after a hunting accident in which a shotgun he was carrying discharged against his heel .', 'At a ceremony in the reception room of Mayor Richardson Dilworth , the Eagles were honored for winning the championship .', ""In reference to Brown's raid she wrote , `` though we are non-resistants and religiously believe it better to reform by moral and not by carnal weapons , we know thee was anemated by the most generous and philanthropic motives '' ."", 'of acquiring evidential knowledge of what happened in Athabascan , in Yokuts , in Uto-Aztecan in the last few thousand years as well as forecasting what more anciently may have happened between them .'], ['The way is to rent a chauffeur-driven car .', 'These oils develop hard , smooth films when they dry and form resinlike substances .', ""She began to explain , `` There was this poet , in Italy '' He interrupted , `` Please don't judge all poets '' ."", 'Preparations are being made for similar experiments on CH and SH radicals .'], [""you can't very well sidle up to people on the street and ask if they want to buy a hot Bodhisattva ."", 'He only rarely tells a personal anecdote and hardly ever sketches an individual or quotes his opinions .', ""I've got a day's work to do ."", 'Getz is a difficult musician to categorize .'], ['If you use company transportation to meet trains or to haul visitors , would taxis be cheaper ? ?', 'Sandburg is in constant demand as an entertainer .', 'We have developed an ingenious method of interlocking these so that you can make the major part of your house in your own workshop , panel by panel , according to plan .', 'They were not diplomats or jazz musicians , or even organizers of reading-rooms and photo-montage displays , but rugged capitalist entrepreneurs like Henry Ford , Hugh Cooper , Thomas Campbell , the International Harvester Co. , and David W. Griffith .']]","[[-0.19059762358665466, -0.18796953558921814, -0.1856215000152588, -0.18434643745422363], [-0.10255297273397446, -0.10248599201440811, -0.10242514312267303, -0.1023634821176529], [-0.0008329674601554871, -0.0008312072604894638, -0.0007669217884540558, -0.0007524378597736359], [0.09766410291194916, 0.09769606590270996, 0.0977441668510437, 0.09775229543447495], [0.17874500155448914, 0.1798005998134613, 0.17989051342010498, 0.1803734451532364], [0.22147910296916962, 0.2219899594783783, 0.22594371438026428, 0.22824224829673767]]",197.6966094970703,197.6966094970703,"[318.4238586425781, 263.6998291015625, 256.9446105957031, 187.23207092285156, 84.58049011230469, 150.13131713867188]",69.97632598876953,"[170.75611877441406, 177.25755310058594, 213.1167755126953, 165.73524475097656, 76.57379150390625, 126.55448150634766]",4.201407432556152,4.201407432556152,"[4.1250901222229, 4.08634090423584, 4.210326194763184, 4.0480475425720215, 3.8112080097198486, 4.24783992767334]",3.716923952102661,"[4.111828804016113, 4.1723785400390625, 4.164112567901611, 4.027958393096924, 3.708750009536743, 4.263027191162109]"
