target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins,base_entropy,local_unintrp_entropy,local_intrp_entropy_all_bins,global_unintrp_entropy,global_intrp_entropy_all_bins
16,"Women with at least a bachelor's degree have a 78 percent shot that their marriages will last 20 years, compared with a 41 percent chance among women with only a high school diploma, according to the NCHS data.","[['He knew that in this mood he could not be stopped .', 'Thus , there has come into being a situation in which the state must raise all of its own revenues and , in addition , must give assistance to its local governments .'], [""Finally he asked , `` Do you object to petting '' ? ?"", ""and concentrate its constructive efforts on eliminating in other parts of Latin America the social conditions on which totalitarian nationalism feeds '' .""], [""If the content of faith is to be presented today in a form that can be `` understanded of the people '' -- and this , it must not be forgotten , is one of the goals of the perennial theological task -- there is no other choice but to abandon completely a mythological manner of representation ."", 'Powerful hands had killed her .'], ['The copy itself , including any text or illustrations , is reproduced in full color directly on a thin Mylar polyester film by a photo screen process .', 'Everyone knows that private detectives in real life are not like Sam Spade and Pat Novak , but the real and the imaginary musician are closely linked .'], ['She finds married life stifling and every prolonged sex relationship unbearably monotonous .', ""`` What is the point '' , Charles Adams reports the Pakistanis as asking , `` in demanding an Islamic state and society if no one , not even the doctors of the sacred law themselves , can say clearly and succinctly what the nature of such a state and society is '' ? ?""], ['The 34 arrows , denoting onset age plus completion age deviations , have been arrayed in an Onset sequence which begins with girl 18 who had the earliest Onset of the 34 girls .', 'That mother hen of the weight-height tables , the Metropolitan Life Insurance Co. , clucks that 48 million Americans are overweight .']]","[[-0.16029958426952362, -0.159886434674263], [-0.10458613187074661, -0.10457764565944672], [-0.0006199795752763748, -0.0006194692105054855], [0.09909085929393768, 0.09911169111728668], [0.19306576251983643, 0.1930883228778839], [0.24892668426036835, 0.25033533573150635]]",35.723636627197266,35.723636627197266,"[33.303401947021484, 34.7147102355957, 36.79934310913086, 41.59113693237305, 34.432281494140625, 30.51112937927246]",28.430681228637695,"[30.577878952026367, 31.788558959960938, 30.697010040283203, 32.00772476196289, 33.40700912475586, 28.083250045776367]",3.289923667907715,3.289923667907715,"[3.385861396789551, 3.574230432510376, 3.7227797508239746, 3.5565948486328125, 3.4752328395843506, 3.391221523284912]",3.1458585262298584,"[3.349578857421875, 3.4565329551696777, 3.4361050128936768, 3.3362157344818115, 3.449965715408325, 3.17900013923645]"
26,"Stress, for example, can cause even the strongest relationships to crumble, psychologists' research finds.","[['Strongheart ( Adios-Direct Gal ) , a fair-looking sorrel colt , knows nothing but pace and has been right there in the best miles .', 'He was passing through town and phoned to say hello .'], ['And shivering with shame , he crawled to the narrow end of the rock and spat into the water .', 'Cady put the well-worn chip back on his shoulder .'], ['There were gigantic blisters and rope burns on our hands ; ;', 'The man made no reply .'], ['`` A fat hell on Big Hans .', ""But like all despots , as he builds his following from among the gullible , he grows more threatening toward those who won't follow -- such solid citizens as Doc Raccoon ; ;""], ['Yes , and as tension mounts in this world , fear is increasing .', 'Conversely , if he gives a heavy rating to his own reading , and finds more accurate facts in it than in the others , a point is chalked up for the intrinsic , objective meaningfulness of this type of mediumistic material .'], ['( 3 ) in a state of depression , the positive conditioned stimulus may fail to elicit a conditioned reaction but cause an increased synchrony instead of the excitatory desynchronizing ( alerting ) effect on the Aj .', 'This the therapist may pursue in later questioning .']]","[[-0.1939491629600525, -0.19369658827781677], [-0.10203863680362701, -0.10192593932151794], [-0.0006918422877788544, -0.0006702030077576637], [0.09850737452507019, 0.09859047085046768], [0.19125011563301086, 0.19160713255405426], [0.24786388874053955, 0.25105714797973633]]",446.5456237792969,446.5456237792969,"[379.16162109375, 406.9389343261719, 366.148681640625, 310.091796875, 216.4424285888672, 234.45741271972656]",220.72674560546875,"[270.6778259277344, 234.3894500732422, 247.8310546875, 244.92247009277344, 191.79092407226562, 199.62005615234375]",4.3901472091674805,4.3901472091674805,"[4.363923072814941, 4.232169151306152, 4.325911045074463, 4.533923625946045, 4.092050075531006, 4.138910293579102]",4.070825099945068,"[4.273787498474121, 4.228143215179443, 4.352104187011719, 4.4258623123168945, 4.03745698928833, 4.04063081741333]"
75,Talk about more than the dishes.,"[[""tulips with `` petals wide and shaggy as a spaniel's ears '' ; ;"", ""Palfrey returned to Massachusetts greatly relieved to have made an arrangement `` so satisfactory to my judgment & my conscience '' .""], ['A simplified version of the instrumentation for this procedure is shown in Fig. 2 .', 'His addle-brained knight-errant , self-appointed to the ridiculous position in an age when armor had already been relegated to museums and the chivalrous code of knight-errantry had become a joke , is , as Cervantes no doubt intended , a gaunt but gracious symbol of good , moving soberly and sincerely in a world of cynics , hypocrites and rogues .'], ['after all , he had had the same set of facts as Jack had had to work from , and he was an almost frighteningly observant man .', 'The Dartmouth student does not live in monastic seclusion , as he once did .'], ['Jokes , cartoons and cynics to the contrary , mothers-in-law make good friends .', ""Nothing could make it necessary to proclaim it to the whole world '' .""], ['Look for them , will you ? ?', 'there were two or three colored maids employed there .'], ['Cleaning or detergent action is entirely a matter of surfaces .', 'More time was spent in trying to marry these incompatibles than over any subject discussed at Yalta .']]","[[-0.1802997887134552, -0.1797390580177307], [-0.10213926434516907, -0.10213645547628403], [-0.000665104016661644, -0.0006472524255514145], [0.0983726903796196, 0.09841185808181763], [0.19058264791965485, 0.19084540009498596], [0.244380921125412, 0.24448475241661072]]",442.59796142578125,442.59796142578125,"[361.21746826171875, 472.9690246582031, 565.3997192382812, 449.1753234863281, 340.3466491699219, 477.87591552734375]",1402.3970947265625,"[619.7396240234375, 851.1498413085938, 820.0093994140625, 733.4191284179688, 743.751708984375, 1088.168212890625]",4.3986124992370605,4.3986124992370605,"[4.497109413146973, 4.433290004730225, 4.390917778015137, 4.512087821960449, 4.672635078430176, 4.569478511810303]",4.601545333862305,"[4.703134059906006, 4.678892135620117, 4.625675201416016, 4.704631805419922, 4.686903476715088, 4.55425500869751]"
92,"Growing used to your partner is natural, but it's a process that can be slowed down, says Sonja Lyubomirsky, PhD, a social psychologist at the University of California, Riverside, and author of the 2013 book ""The Myths of Happiness.""","[[""To be sure , the capital investments in ( or , alternatively , the estimated `` fair values '' of ) the plant and equipment are apportioned among the different classes , as are also the gross revenues received from the sales of the different services ."", ""Carmer's ingenious cache for his loot had been found .""], ['A more official representative is the Secretary of the Interior .', 'Figures seemed to crouch in the surrounding dark ; ;'], ['The other women had come close now , their voices murmuring together until they stood buzzing in an angry knot , their threats mingling , rising , nagging at each other , each trying to make her indignation and anger felt .', 'They accuse their enemies of precisely the crimes of which they themselves are most guilty .'], ['As artists we feel the same obligation , as do other individuals , in considering ourselves responsible citizens of a great nation .', 'Joan Sheldon had earned the larger bequest .'], ['Some of the classic indicators , as described by Drs. Pittenger , Hockett , and Danehy in The First Five Minutes , are these : ambiguity of pronouns :', ""There is reason to suppose that Lucy would have made a record as publicly distinguished as her brother had it not been that her mother's death occurred just as she was about to enter college .""], [""Ekstrohm picked up a lightweight no-back from the ship's library , a book by Bloch , the famous twentieth century expert on sex ."", 'From the beginning of his career , Patchen has adopted an anti-intellectual approach to poetry .']]","[[-0.17540067434310913, -0.17495393753051758], [-0.10370160639286041, -0.10354137420654297], [-0.0005935207009315491, -0.0005525406450033188], [0.0987822487950325, 0.09879592061042786], [0.19249048829078674, 0.1926351934671402], [0.23160569369792938, 0.2326042652130127]]",85.72366333007812,85.72366333007812,"[101.25029754638672, 85.72894287109375, 93.50540161132812, 83.26338958740234, 87.4994888305664, 79.47181701660156]",88.14115142822266,"[84.7691650390625, 82.20545196533203, 84.54505157470703, 78.13491821289062, 80.43004608154297, 75.27951049804688]",3.993377923965454,3.993377923965454,"[3.9882655143737793, 4.014336109161377, 3.9706268310546875, 3.992696762084961, 3.8414595127105713, 3.9385318756103516]",3.982982635498047,"[4.030853748321533, 4.082098007202148, 3.9853646755218506, 4.012220859527588, 3.8851964473724365, 3.941296339035034]"
106,If you're an artist you take workshops.,"[[""And after all this , Shann went over all that Bang-Jensen had brought up '' ."", ""The failure at that time of the Puerto Rican bishops to control the votes of their people added a ring of good sense to Father Weigel's theological argument .""], ['Shadow looked surprised , wailed , and trotted after her .', 'he had no use any longer for exact time , even had the watch been running .'], ['At a ceremony in the reception room of Mayor Richardson Dilworth , the Eagles were honored for winning the championship .', ""In reference to Brown's raid she wrote , `` though we are non-resistants and religiously believe it better to reform by moral and not by carnal weapons , we know thee was anemated by the most generous and philanthropic motives '' .""], ['These oils develop hard , smooth films when they dry and form resinlike substances .', ""She began to explain , `` There was this poet , in Italy '' He interrupted , `` Please don't judge all poets '' .""], ['He only rarely tells a personal anecdote and hardly ever sketches an individual or quotes his opinions .', ""I've got a day's work to do .""], ['Sandburg is in constant demand as an entertainer .', 'We have developed an ingenious method of interlocking these so that you can make the major part of your house in your own workshop , panel by panel , according to plan .']]","[[-0.18796953558921814, -0.1856215000152588], [-0.10248599201440811, -0.10242514312267303], [-0.0008312072604894638, -0.0007669217884540558], [0.09769606590270996, 0.0977441668510437], [0.1798005998134613, 0.17989051342010498], [0.2219899594783783, 0.22594371438026428]]",197.6966094970703,197.6966094970703,"[516.371337890625, 273.93560791015625, 169.31002807617188, 146.32131958007812, 73.8232650756836, 92.82614135742188]",69.97632598876953,"[194.44349670410156, 130.85523986816406, 132.63662719726562, 114.3702392578125, 68.56964874267578, 94.88256072998047]",4.201407432556152,4.201407432556152,"[4.0388360023498535, 4.11150598526001, 4.093369483947754, 4.107283115386963, 3.807471752166748, 3.9377849102020264]",3.716923952102661,"[4.126596927642822, 4.102575778961182, 4.0148491859436035, 4.0434746742248535, 3.6684374809265137, 3.844666004180908]"
