target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
88,"In her work with the Early Years of Marriage Project, a longitudinal study of 373 couples who married in 1986 (funded by the National Institutes of Health), Orbuch has found that seven out of 10 pairs name finances a cause of relationship trouble.","['The dimensions of these waves dwarf all our usual standards of measurement .', 'I remembered it was the Peeping Tom place .', 'How soon you may go outdoors ; ;', 'Susan stared at him with hurt blue eyes that gushed an instant grief ; ;', ""Alvin Ailey and Carmen De Lavallade appeared in the first New York performance of Mr. Ailey's `` Roots Of The Blues '' , a work given its premiere three weeks ago at the Boston Arts Festival ."", 'Thomas the elder married twice , had seventeen children , and died in 1615 .']","[-0.1820664405822754, -0.10076256096363068, -0.0002873651683330536, 0.09897205233573914, 0.1967155933380127, 0.31446903944015503]",180.2293243408203,159.02960205078125,"[167.39559936523438, 167.03863525390625, 173.156005859375, 177.94113159179688, 165.57687377929688, 156.68910217285156]"
93,"Not surprisingly, the researchers found that on the most stressful days, spouses reported more negative behaviors toward their partners and less satisfaction with their relationships.","['there is also hydrogen in wood and hydrogen in our bodies .', 'Hydrogen is just as plentiful as uranium is scarce .', 'He carried the tub from the back of the house where it hung from a nail in the wall .', '`` It never seemed to widen .', ""nor was she moved by a letter from Wright pointing out that if he was not `` compelled to spend money on useless lawyer's bills , useless hotel bills , and useless doctor's bills '' , he could more quickly provide Miriam with a suitable home either in Los Angeles or Paris , as she preferred ."", ""A weekly newspaper reported a local romance : `` and the couple were married last Saturday , thus ending a friendship which began in their schooldays '' .""]","[-0.16218283772468567, -0.1013876423239708, -0.00048660580068826675, 0.09948302805423737, 0.19744613766670227, 0.3245435953140259]",351.35137939453125,224.71246337890625,"[238.2819061279297, 236.01904296875, 265.9407043457031, 236.41372680664062, 267.76361083984375, 255.41705322265625]"
22,"At that point, the distress of the fire distracts from the appreciation of the alarm.","['Let us focus on an atom of calcium from the tip of the bone of my finger and let us suppose that I swallow a magic Alice In Wonderland growing pill .', ""That's why I -- why I do a free job now and then ."", ""After I would finish playing the songs , he'd just go away without a comment ."", 'Ekstrohm cleared his throat .', 'The figure was close enough now for him to see the nose twitching to dislodge the drop clinging there .', 'One shawl was so tremendous that she could not wear it , so she draped it over the banister on the second floor , and it hung over the stairway .']","[-0.16846194863319397, -0.10106991976499557, -0.0005471501499414444, 0.09947991371154785, 0.19698631763458252, 0.2773943543434143]",70.4803466796875,62.626434326171875,"[62.13302993774414, 74.19469451904297, 69.00938415527344, 60.03677749633789, 62.36812210083008, 61.30435562133789]"
104,"Her theory of hedonic adaptation holds that people are wired to become accustomed to positive changes in their lives, whether that change is a fresh outfit, a new job or a wedding band.","['Subject to the limitations hereinafter provided , the Secretary of the Treasury is authorized and directed to pay , as prescribed by Section 8 of this Title , an amount not exceeding the principal of each award , plus accrued interests on such awards as bear interest , certified pursuant to Section 5 of this Title , in accordance with the award .', ""He said , `` Right around the corner '' ."", ""`` Arm your guns , Sweeneys '' ."", 'A second later she came behind the wheel and backed off the anchor line until it was set in the ocean floor .', 'It is a question which New Englanders long ago put out of their minds .', ""To be Katharine Ross , and work in a nicer shop somewhere , at a little more money so she could have prettier clothes , and learn ladies' manners and all like that , and get to know different people than up to now , not just the ones like her here , with foreign-sounding names , the ones went to the same church and -- Different place , different job , different people , she'd be all different too .""]","[-0.1688954085111618, -0.10097229480743408, -0.0004261210560798645, 0.09948297590017319, 0.1961766481399536, 0.2908916771411896]",237.09378051757812,216.4683380126953,"[238.00527954101562, 215.33444213867188, 213.106201171875, 225.48580932617188, 215.2587890625, 205.9675750732422]"
29,"""So many people do lifelong training in so many things — if you're a golf enthusiast you go to the driving range a couple times a week.","['Customary Senate rules were ignored in order to speed approval of the Negro leader as administrator of the housing and home finance agency .', ""I've drawn his fangs '' , he snapped ."", ""The `` Lo Shu '' square as an expression of centrality"", ""I am with you , of course , Tomas '' ."", 'In a sense almost all high school and college courses could be considered as vocational to the extent that later in life the student in his vocation ( which may be a profession ) will be called upon to use some of the skills developed and the competence obtained .', 'There will be a stag dinner Friday evening at the Denver Country Club which will precede the opening of the 1961 golf season .']","[-0.16542977094650269, -0.10134702920913696, -0.00048436224460601807, 0.09945262968540192, 0.19727443158626556, 0.29092320799827576]",371.199951171875,292.1130065917969,"[312.23358154296875, 279.0248718261719, 320.5123596191406, 279.0, 327.3637390136719, 286.63983154296875]"
