target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
221,I don’t have time to stand in this hallway and give you reasons for my not having a cellphone.”,"[""She described herself as having the same kind of `` irresponsible '' feeling as she had once experienced under hypnosis ."", 'They know the value of being just that -- an ordinary , happy family .', 'These men are considered managers of engineers .', 'Moreland went over to stare at his peacocks again , and then came back and sat down , restively .', ""`` But you want to ask me when B'dikkat is going to come back with the needle '' ."", 'the halls were empty and they passed down the stairs to number nine and listened at the door .']","[-0.15376833081245422, -0.10150069743394852, -0.0003085518255829811, 0.09953383356332779, 0.19670608639717102, 0.2847362756729126]",212.6809539794922,131.0493621826172,"[142.66392517089844, 122.40449523925781, 123.407470703125, 124.46073913574219, 119.50321960449219, 117.2403335571289]"
49,"Luigi is my adopted brother, and I have known his wife, Myra, since they both were at the university.","['The good ones are not motivated to seek vainly , nor are they disposed to covet comfort , or they would have been led to fields that offer comfort and feed vanity .', 'Forces will survive a surprise attack , and these forces will give depth , or considerable duration , to the conflict .', ""`` Now don't shut this door ."", 'The white girl with the penetrating green eyes sipped the lemonade handed to her by a handsome man of about 30 , who had coppery skin and beetling eyebrows .', 'Their reason : Holmes once paid a $20 speeding fine , had his license suspended .', 'Madden explained that he was thinking of an application sent directly to Mrs. Meeker .']","[-0.14712880551815033, -0.102292999625206, -0.0003928551450371742, 0.09934768080711365, 0.19843265414237976, 0.3262456953525543]",81.09774780273438,86.49246215820312,"[92.61971282958984, 88.95822143554688, 86.45403289794922, 85.28297424316406, 84.41988372802734, 91.98070526123047]"
395,"“So, what do you want from me … to look after your daughter?”","['Even in the very area where the shooting had been done , cattle were still disappearing .', 'His bridgework or his plates feel loose and monstrous .', 'The story opens on the eve of his fifty-third birthday , as he prepares for the two weeks of festivities that are to follow .', 'If you are a life tenant , you deduct allowable depreciation and depletion .', 'No , I forget Mrs. Mathias , who had been away visiting a married daughter when it happened .', ""Why , it's all right , isn't it , Mother '' ? ?""]","[-0.1953279972076416, -0.10058057308197021, -0.00021635834127664566, 0.09890715777873993, 0.19555196166038513, 0.2861441671848297]",343.03448486328125,228.7340545654297,"[271.6771240234375, 238.83316040039062, 256.8723449707031, 218.32887268066406, 223.03955078125, 204.6991424560547]"
316,"“Congratulations, Tess,“ Kohana said, and he departed the office to talk with Luigi about bringing his family back on Tuesday and to inform Carla and the other couples.","['Nothing is easier to grow from seed than pansies .', ""`` if it didn't prevail mankind would still be given the opportunity of prevailing '' ; ;"", 'By the end of the third act , the artist is dead but the body lingers on , a shell among other shells .', ""But beginning , for all practical purposes , with Frederick Seebohm's English Village Community scholars have had to reckon with a theory involving institutional and agrarian continuity between Roman and Anglo-Saxon times which is completely at odds with the reigning concept of the Anglo-Saxon invasions ."", 'Mr. Keo , once a diplomat in Paris and Washington , was Commissioner of Rural Affairs .', ""There are the full-bodied , resourceful voices of Robert Weede , Mimi Benzell and Tommy Rall to make the most of Mr. Herman's lilting melodies and , for an occasional change of pace , the bright humor of Molly Picon .""]","[-0.1744382679462433, -0.101250059902668, -0.00037070829421281815, 0.09940172731876373, 0.19711607694625854, 0.3024356961250305]",123.99632263183594,107.26322174072266,"[122.80419921875, 115.39566802978516, 124.340087890625, 124.28105163574219, 118.90423583984375, 126.66171264648438]"
386,"Congratulations, Tess.","['Tonight Atlantic Monthly editor Edward Weeks moderates a round table of four Russian writers in a discussion of Soviet literature .', 'Sometimes , as at this juncture , he did not .', ""And don't come back ."", ""`` I guess so '' , she said ."", ""You were careful about that '' ."", '`` Well , Mrs. Charles -- Sally -- has phoned too .']","[-0.14877434074878693, -0.1022542417049408, -0.00021079182624816895, 0.09939299523830414, 0.19008076190948486, 0.25178253650665283]",299.7489318847656,361.5860595703125,"[341.70330810546875, 485.914306640625, 389.8701171875, 528.3710327148438, 498.8526611328125, 468.42718505859375]"
