target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
379,She had had to promise Luigi that she would do anything Mr. Donatelli asked her to do to keep her job except do something unethical and immoral.,"['In the f-plane the coordinates of the corresponding point are Af .', '`` Your name will never appear .', ""Student Prince Lounge on Atlantic Blvd. plotting a month-long `` festival '' throughout October , with special features ."", 'Mike felt disappointed that Mahmoud had left ; ;', 'Mary Jane Lerner knew none of this .', ""Mrs. Williams had a list which she said contained about nine or ten discrepancies between her memory of Dr. Jenkins's conversation and how they were written up for the board's approval .""]","[-0.16075679659843445, -0.10289153456687927, -0.0005172938108444214, 0.0994591936469078, 0.19846636056900024, 0.3138374388217926]",197.79043579101562,133.41360473632812,"[149.0894012451172, 142.78302001953125, 150.99024963378906, 132.18109130859375, 129.49517822265625, 140.40383911132812]"
138,I don’t date married men.”,"['Here you begin to appreciate the scope of the challenges and possibilities facing the industry .', 'The series of ballets is sponsored by the Milenoff Ballet Foundation , Inc. , a non-profit foundation with headquarters in Coral Gables .', ""Against such a termination of human life on earth by human action , he then proposes as an alternative that we `` negotiate at once with the Russians and get the best terms which are available '' , that we deliberately `` negotiate from comparative weakness '' ."", 'The men of our company had a dozen fights defending your name .', 'there is none who seeks after God .', 'some women with father fixations do .']","[-0.1636246144771576, -0.10199037194252014, -0.000586237758398056, 0.09885503351688385, 0.19405266642570496, 0.28655287623405457]",678.4693603515625,256.7899169921875,"[266.48834228515625, 315.7625732421875, 284.95025634765625, 253.8764190673828, 257.3403015136719, 250.23867797851562]"
306,"“You are a lucky man, David.","['The only factors that are personally set by the choreographer are the movements themselves , the number of the dancers , and the approximate total duration of the dance .', ""After a moment of thought , her mind cleared and , in the interest of clarity , she typed into the record : `` Shot in the woods '' ."", 'She had been watching Maggie go from the washing machine to the baby to the stove and back again .', 'Mr. Viall possessed remarkable talents for the leadership and development of men .', ""`` Where'd you say you was born '' ? ?"", 'But Mr. Bragg is a remarkably gifted conductor , and the results he has produced with his boys are generally superior .']","[-0.16687467694282532, -0.10311789810657501, -0.0005879849195480347, 0.09939226508140564, 0.1924096643924713, 0.2721227705478668]",107.54325866699219,89.15155792236328,"[91.96118927001953, 98.87772369384766, 104.9071044921875, 87.37357330322266, 62.06229019165039, 93.39302062988281]"
362,"“May I sit down, please?” she whispered, overwhelmed at the events taking place.","['Small antelope were generally grassed with one shot , and the Magnum carbine also bagged reedbuck , kob and wart hog with deadly efficiency ; ;', ""`` Which you are programed to compute '' ? ?"", 'The tiny hamlet of Chesterton to the north , with the fens and marshes lying on down the Ouse River , may have attracted him often , as it did many other youths of the time .', ""`` She's been talking about a picture '' , Winston had told him ."", ""`` Nothing's free in the whole goddam world '' , was all I could think of to say ."", 'She pursed her lips , then clamped them together so tightly that I thought she was angry with me .']","[-0.15904158353805542, -0.10328324139118195, -0.0004998864606022835, 0.09889987111091614, 0.19616085290908813, 0.3320051431655884]",1099.1470947265625,808.9698486328125,"[875.4827880859375, 791.6844482421875, 887.1405639648438, 829.6326904296875, 785.4025268554688, 720.322509765625]"
364,When will they arrive?”,"['We are preventing or averting pathogenic phenomena such as undue regression , unhealthy suppression and repression , excessive use of denial , and crippling guilt turned against the self .', ""`` I may possibly be a greater risk than is the normal person of my age '' , the President had said on February 29th of the election year , ignoring the fact that no one of his age had ever lived out another term ."", 'His face was dark as the sky above it as he stood on the wing and waited for his pilot .', ""I'm still not convinced , though , I'll have to see more of him before predicting that big year for him ."", 'After a while , we became aware that the money was disappearing as fast as we replenished it .', ""The troopers knew an attack was coming , but they didn't know when , and they didn't know where .""]","[-0.17189118266105652, -0.1017778068780899, -0.0007242695428431034, 0.09869267046451569, 0.18933282792568207, 0.3212878704071045]",4155.57373046875,1140.294677734375,"[689.7828979492188, 1154.3436279296875, 965.953369140625, 1042.9356689453125, 889.172119140625, 779.94921875]"
