target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
105,"That comes as no surprise to Terri Orbuch, PhD, of the University of Michigan and Oakland University, who says arguments over money — how to spend, save and split it — plague even well-off couples.","['His speed was dropping rapidly .', 'The eyes were clear and black and the slender body was arched slightly .', ""But he told Wilson to `` go ahead and try '' ."", ""Honest , kitten , that's all it is -- I don't even like Lucille much '' ."", 'Officials estimated the annual tax boost for the medical plan would amount to 1.5 billion dollars and that medical benefits paid out would run 1 billion or more in the first year , 1963 .', 'F. Morris Cochran , university vice president and business manager , said the house has been bought to provide rental housing for faculty families , particularly for those here for a limited time .']","[-0.16869692504405975, -0.10290644317865372, -0.00043573975563049316, 0.09945105761289597, 0.19709640741348267, 0.2749637961387634]",253.0886993408203,220.19302368164062,"[222.1686248779297, 228.95458984375, 216.3033447265625, 210.5062713623047, 241.13037109375, 226.14361572265625]"
96,"Lower-income groups, however, experienced more problems related to economic and social issues such as drinking or drug abuse (, 2012).","['Meanwhile spring had passed well into summer .', 'He stood watching the girl , wondering what was coming next .', ""It's only his opinion ."", 'It seemed to be only a riot of color , light and meaningless activity .', 'In Washington City everyone lived in a bubble of plots , and one death might attract another .', ""These men -- for the most part educated in our `` best '' New England colleges , well established financially and socially in the community -- under kindly but insistent probing , reveal little or no objective or explicit criteria or data for their generalizations about the interests and attitudes of the people they claim to serve , or about the public responses that actually follow their occasional breach of a `` client-service relationship '' .""]","[-0.18957741558551788, -0.10118073970079422, -0.000797908753156662, 0.09867531806230545, 0.18496546149253845, 0.2161756455898285]",89.48419189453125,61.90065383911133,"[62.179443359375, 66.25491333007812, 65.65525817871094, 63.04224395751953, 63.736385345458984, 67.94943237304688]"
21,"How do you reduce it?""","['In the jakes , after Robbie and his crutches were properly stowed , Mr. Herford went to the adjoining facility .', 'Some pastors write a letter the same night the decision is reported by the visitors .', 'All the officials on the case seem to have been afflicted with a similar myopia as far as Bridget was concerned , although records in police files contain many reports of servants who have murdered their employers .', 'Nevertheless , for most of the population of heterogeneous advanced societies , though less for the less religious portion , religion does perform certain modal individual and social functions .', 'It has been endlessly rephrased , but I may here put it thus : at what point do the tolerant find themselves obliged to become intolerant ? ?', 'pass word when there was word to pass .']","[-0.1593436300754547, -0.10131783038377762, -0.0005313260480761528, 0.09848546981811523, 0.182132750749588, 0.23143541812896729]",1154.04150390625,456.7982482910156,"[1385.357666015625, 831.80419921875, 925.0235595703125, 970.6985473632812, 478.52349853515625, 503.026611328125]"
101,"""If you open yourself up to new opportunities and potential surprises with your partner, then that can slow down adaptation,"" says Lyubomirsky.","['But none of these has been implemented .', 'He looked at the luminous dial of his wrist watch .', 'The simple treaty principle that Gabriel was asking him to ratify , in short , was nothing less than total trust .', 'The congregation perishes when it is no longer possible to replenish that core from the neighborhood ; ;', 'The strong negative field his suit set up would help to repel bacteria and insects .', 'It is probable that his recommendations will be informed and workable , and that they will not lead to involving the United States in an Asian morass .']","[-0.1896790713071823, -0.1019812673330307, -0.0006614755839109421, 0.09932933747768402, 0.19396817684173584, 0.2603600025177002]",420.1018981933594,321.5033264160156,"[334.3131103515625, 325.9693298339844, 353.58453369140625, 344.975341796875, 341.6174621582031, 351.3361511230469]"
34,"If you're a lawyer, you take continuing education.","['We found no obvious effects due to preferred orientation of the crystallites in this sample nor would we expect to on the basis of the shape found from electron microscopic examination .', 'and again , that `` the object of non-violent resistance is partly analogous to this object of war -- namely , to demoralize the opponent , to break his will , to destroy his confidence , enthusiasm , and hope .', 'In addition to the regular schedule , advertisements were run for maximum impact in special editions of the New York Times , Boston Herald , American Banker , Electronic News and , for local promotion , the Providence Sunday Journal .', ""The instruments don't show them '' ."", 'So , if anybody solicits by phone , make sure you mail the dough to the above .', 'Start on the knees in a large circle .']","[-0.16782401502132416, -0.10198405385017395, -0.0006160587072372437, 0.09914235770702362, 0.18901044130325317, 0.2394379824399948]",290.4007263183594,141.26315307617188,"[183.72926330566406, 142.05319213867188, 191.15528869628906, 153.3568878173828, 139.50645446777344, 150.97109985351562]"
