target index,target sentence,low sim interruption sentene,mid sim interruption sentene,high sim interruption sentene,low sim score,mid sim score,high sim score,base PPL,uninterrupted PPL,interrupted PPL low sim,interrupted PPL mid sim,interrupted PPL high sim
43,"After I get Carla settled, you’re mine, Lady.","He went into the Jewish quarter , wanting to draw Hebraic faces so that he could reach a visual understanding of how Christ might have looked .","Alec's face was dark , blunt , and sulky .",My name's Carla Caneli .,-0.25076621770858765,0.009912907145917416,0.5999965667724609,418.63671875,312.729736328125,344.32257080078125,322.64532470703125,289.8843994140625
241,Another man had joined him because she heard two voices.,"These affairs temporarily relieved the monotony of school or work activities containing no anticipation of achievement and joy of craftsmanship , no sense of dignity derived from a job well done .",It's just like that book your Northern friend wrote -- except there aren't any ice floes to cross and no bloodhounds '' .,"The voice came from behind him , and Wilson turned .",-0.22337843477725983,0.04852434992790222,0.4626542031764984,272.6132507324219,141.85411071777344,194.7733917236328,161.92417907714844,138.7478485107422
402,"“Thank you, but it was a long night.",Without comparing the relative merits of the two courses -- architecture versus interior design -- let us examine the educational needs of the interior designer .,Maybe that was why they were cordial and loyal towards the unpredictability of Arlene .,It was quite an evening ! !,-0.21139085292816162,0.030444107949733734,0.5291049480438232,123.33476257324219,103.85798645019531,113.37322235107422,108.05970764160156,78.87911987304688
78,Arrogant Boor.,and industrial uses for agricultural products .,Was it possible that as people grow older the nature of time changed ? ?,Certainly it is the most pretentious and elaborate .,-0.21468761563301086,0.015632227063179016,0.41873759031295776,359.65496826171875,1121.8946533203125,1368.39013671875,596.0565795898438,859.7149047851562
261,“Are you sure?” Tess asked softly.,"This gives him the power to form in his mind new image combinations of old memories , ideas and experiences and to project them outside of himself into his environment in new and ever-changing forms .",The bodies must be cleaned and seats wiped off '' .,The girl nodded understandingly .,-0.22148442268371582,0.025600116699934006,0.361250638961792,4728.78662109375,4041.109375,4227.68994140625,4293.25927734375,3631.9501953125
