target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
39,"""There's a lot of stress if you're [part of] a military family, but at the same time, there are lots of things that the military is doing to try to protect you from that stress, to try to make it better,"" says Karney.","['Pony Poindexter , alto sax ; ;', 'Her answer was not in words .', 'The background , which is available in various widths and continuous lengths , is extruded with parallel undercut grooves which grip the flexible letters securely .', ""Rousseau had to admit that though he couldn't agree to a public performance , he would indeed , just for his own private satisfaction , dearly love to know how his work would sound when done by professional musicians and by trained voices ."", 'One consequence is the occurrence of occasional conflicts because private owners of some inholdings object to public programs of use on neighboring National Forest or other Federal land , or because such ownerships are developed for uses that are not compatible with use for the public of neighboring National Forest land .', 'If women replaced people , it would normally have dominant stress .']","[-0.14253206551074982, -0.10256816446781158, -0.0003018416464328766, 0.09951205551624298, 0.19713468849658966, 0.30518412590026855]",79.00891876220703,79.14371490478516,"[78.3104476928711, 76.90044403076172, 81.44132232666016, 77.91024017333984, 87.6680908203125, 80.63279724121094]"
111,"""It appears that those things are paying off.""","[""After selecting a sheet and inspecting it for flaws ( even the best sometimes has foreign ' nubbins ' on its surface ) , I sponge it thoroughly on both sides with clean , cold water ."", 'Secretary Hart had taught Jack , at least partially , to be content with small beginnings in all diplomatic matters ; ;', 'She had a funny little scar on her stomach , on the left side .', 'The rides were tame enough -- mostly we talked .', ""I just hope it doesn't work on Earthmen too ."", 'It was curious how the different visitors took this .']","[-0.16407838463783264, -0.10122381150722504, -0.0004478525370359421, 0.0994773656129837, 0.19729100167751312, 0.32629919052124023]",457.0930480957031,320.2097473144531,"[271.4158020019531, 394.27716064453125, 297.42578125, 288.467041015625, 287.6851501464844, 326.2596435546875]"
91,"Partners who reported patterns of destructive behavior when dealing with conflict in the first year of marriage, for example, were more likely to divorce years later (, 2010).","['He looked at the luminous dial of his wrist watch .', 'CTA regulars already subsidize transportation for school children , policemen , and firemen .', 'One of the children maneuvered out of range of the poking index finger .', 'As R.H. Hodgkin has remarked : `` The critical methods of the nineteenth century shattered most of this picturesque narrative .', ""They would become tagged as men not interested in being purely real estate `` professionals '' but agitators for some kind of `` cause '' or `` reform '' , and this was no longer to be a `` pro '' ."", ""It's inevitable in this case , for the couple will be separated for , at the least , forty years .""]","[-0.16443921625614166, -0.10138596594333649, -0.00032670050859451294, 0.09946335852146149, 0.19705797731876373, 0.340903639793396]",154.1750030517578,123.92108154296875,"[134.1439971923828, 132.0342559814453, 124.93982696533203, 129.22579956054688, 130.17649841308594, 129.6063690185547]"
74,"In the Early Years of Marriage Project, she and her colleagues, including Aron, found that couples reporting boredom in the seventh year of marriage were significantly less likely to be satisfied with the relationship by their 16th anniversary (, 2009).","['We should stand firmly and courageously for our right to free access into Berlin .', 'It can contribute to the development of critical countries and regions .', 'and second , to increase uniformly the allotments to those States whose allotments are below their maximums , with adjustments to prevent the allotment of any State from thereby exceeding its maximum .', 'Victoria was fourteen months younger than Quint , a head taller , and could lick any boy or girl on the beach .', 'His wife had said to him : `` Nellie is in love with Clayton Roy .', ""In a letter to Meynell , which was written in June , less than a month before Katie's wedding , he was highly melodramatic in his despair and once again announced his intention of returning to the life of the streets : ``""]","[-0.16874507069587708, -0.10115277767181396, -0.0002605365589261055, 0.09960828721523285, 0.19595444202423096, 0.3528856039047241]",119.15697479248047,112.42327117919922,"[116.92021179199219, 110.05520629882812, 114.25255584716797, 103.06548309326172, 104.79496002197266, 107.33433532714844]"
41,"""That act of cherishing is something that some couples build.""","['Because of the means of publication -- science-fiction magazines and cheap paperbacks -- and because dystopian science fiction is still appearing in quantity the full range and extent of this phenomenon can hardly be known , though one fact is evident : the science-fiction imagination has been immensely fertile in its extrapolations .', ""The engineer had more than seven years of experience in the firm , was well trained , was considered a hard worker , was respected by his fellow engineers for his technical competence and was regarded as a `` comer '' ."", 'Naturally , Mr. Deller and the other singers in his troupe are most charming and elegant when they are squarely in their tradition and singing music by their countrymen : William Byrd , Thomas Morley and Thomas Tomkins .', 'There can be no doubt , the Boston of that era could be exquisitely cruel in enforcing its canons of behavior .', 'ICBMs have given us a capability which could be used in two different ways .', ""Faced with a gesture like Di Bosis' , I find usually that my sentiments are closer to those of my sculptor friend .""]","[-0.16796833276748657, -0.10170231014490128, -0.00021415622904896736, 0.09944640845060349, 0.1944202035665512, 0.27064481377601624]",372.01043701171875,299.7799377441406,"[289.3542175292969, 498.793212890625, 328.4588928222656, 289.85052490234375, 298.8629150390625, 303.7845153808594]"
