target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
181,It was annoying to be disturbed on such a beautiful rainy day by someone who was obviously ignorant and had no sense of decency for others.,"[['annual members may attend for $16 .'], ['Such loans under Section 104 ( E ) of the Act will be made to United States business firms and branches , subsidiaries , or affiliates of such firms in India for business development and trade expansion in India and to United States firms and to Indian firms for the establishment of facilities for aiding in the utilization , distribution , or otherwise increasing the consumption of and markets for United States agricultural products .'], ['State aid to schools , the continuance of railroad passenger service , the proper uses of surplus funds of the Port of New York Authority , and making New Jersey attractive to new industry .'], ['It was an excellent concert .'], ['The miserable people of China , the largest cast ever conscripted to enact an ideological passion play , cannot themselves resist overtly .'], [""The dialogue is sharp , witty and candid -- typical `` don't eat the daisies '' material -- which has stamped the author throughout her books and plays , and it was obvious that the Theatre-by-the-Sea audience liked it .""]]","[[-0.1995232105255127], [-0.10572567582130432], [-0.001163930632174015], [0.09895586967468262], [0.19746807217597961], [0.32348084449768066]]",109.2761001586914,82.76325225830078,"[85.30180358886719, 127.91323852539062, 92.85823822021484, 81.79735565185547, 87.11024475097656, 80.63606262207031]"
202,"Going to the phone, she looked at the €20, and shuttered as she thought of how timid his wife must be.","[['Roles of various types , within the larger system and within the subgroups 3 .'], [""Have a `` Question Box '' .""], ['Sections of sweet clover stem and root tumors were treated with 1 : 10 solution of Af for 30 minutes , washed in buffered saline for 15 minutes , stained with Af for 30 minutes , and washed for 15 minutes in Aj .'], [""That po'k , it was so full of skippers it would jump and run and not come when you say , hoo-pig .""], ['They were staring at him in the same blank and menacing way that the men outside the gate had stared .'], ['The shelves looked emptier than when Miss Celie had shown her the storeroom , and since the men from the Commissary had called ; ;']]","[[-0.17735978960990906], [-0.10625492036342621], [-0.0010038972832262516], [0.09899431467056274], [0.19664254784584045], [0.33756405115127563]]",130.1174774169922,85.91902923583984,"[105.8490982055664, 88.62454223632812, 93.14965057373047, 90.2606201171875, 85.86091613769531, 92.22431182861328]"
31,"Arrogant Boor, she knew he had probably given her a bad time, and in her condition.","[['Pre-shaped corrugated metal sections or pre-cast concrete can be used for shelters either above or below ground .'], ['The units can be installed in basement , attic , crawlspace , or in a closet located in the living area .'], [""Claude Jannequin's vocal description of a battle ( the French equivalents of tarantara , rum-tum-tum , and boom-boom-boom are very picturesque ) is lots of fun , and the singers get a sense of grace and shape into other chansons by Jannequin and Lassus .""], [""Capt. Michael A. Musmanno , Military governor of the Sorrentine Peninsula , had also seen and felt the `` rain '' .""], ['As we find out at the end , it is not the stool ( symbolizing Doris , therefore the English ) that he is punishing but the piece of Venetian blind .'], ['I wish he was with me now , she thought , and that we were both the ages we are and doing what was once only pretense and acute embarrassment .']]","[[-0.19023893773555756], [-0.10430611670017242], [-0.0010342728346586227], [0.09853272885084152], [0.1975880265235901], [0.36955776810646057]]",117.60523223876953,76.00945281982422,"[91.13626861572266, 88.49848937988281, 111.28938293457031, 94.56192016601562, 75.69601440429688, 75.59284973144531]"
73,And all three laughed at her totally ignoring David as if he were not there.,"[['a middle distance often containing the major motif ; ;'], ['I look for TV sales and production to be approximately equal at 5.7 million sets for the year , but I look for some decline in radios from the high rate in 1961 to more nearly the 1959 level of 15.0 - 15.5 million sets .'], ['I stopped by the counter .'], ['When this proposal was made , Stalin spoke with stronger emotion than at any other time during the Conference .'], ['Duclos , the historian , pointed out to Jean Jacques that this was impossible .'], [""But Sojourner was not easily excited or upset and said quite calmly : `` Let's go and see what it's like '' .""]]","[[-0.19259122014045715], [-0.10407062619924545], [-0.001040654256939888], [0.09883729368448257], [0.19576138257980347], [0.3281588554382324]]",213.1823272705078,153.62637329101562,"[149.14344787597656, 168.3264923095703, 152.44923400878906, 184.00430297851562, 174.47247314453125, 164.05677795410156]"
217,“I love working for Luigi.”,"[['That way was barred on both sides of the road by a high barbed-wire fence .'], ['Two of the fluids showed a high-positive normal pressure when undergoing shear , and two showed small negative pressures which were negligible in comparison with the amount of the positive pressures generated by the other two .'], [""The song , he said , was called `` The Stream's Lullaby '' , and when he sang , `` Gute ruh , Gute ruh , Mach't die augen zu , '' there was such longing and such simple sadness that it frightened me .""], ['to the editor of the New York Times :'], ['The electric toothbrush moves in a vertical direction , the way dentists recommend .'], ['Both turned in top jobs for the second straight game .']]","[[-0.19590513408184052], [-0.10223501920700073], [-0.0010277722030878067], [0.09892746806144714], [0.19062405824661255], [0.2298012673854828]]",185.38035583496094,252.5839080810547,"[286.3481750488281, 353.2892761230469, 212.54916381835938, 161.4107666015625, 241.94418334960938, 268.1551208496094]"
