target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins,local_PPL_all_bins
402,"“I don’t know, Man.","[['Next he addressed himself to our souls .'], ['Simple elongation has been treated in detail .'], ['Wilson stared at her .'], ['This was some freak , two strands of adhesive tape across his nose , like ugly roots from the mass of gauze , suddenly moist over his cheekbones .'], ['( But that is another story .'], ['I was just going .']]","[[-0.1457912027835846], [-0.10126134753227234], [-0.00017891544848680496], [0.09972178936004639], [0.19777557253837585], [0.422902911901474]]",41.246150970458984,15.694841384887695,"[17.450654983520508, 19.41044807434082, 15.650528907775879, 19.93535614013672, 16.86992073059082, 17.111291885375977]","[37.64630889892578, 43.4599609375, 36.462310791015625, 38.29338836669922, 32.44062042236328, 31.626924514770508]"
86,"Speeding to get to her meeting, she ran into a traffic jam and knew that she would never make it in time.","[['In the main stream of historical thinking is a group of scholars , H.M. Chadwick , R.H. Hodgkin , Sir Frank Stenton et al. who are in varying degrees sceptical of the native traditions of the conquest but who defend the catastrophic type of invasion suggested by them .'], ['And the life that I now live in the flesh , I live in the faith of the Son of God , who loved me and gave himself up for me .'], ['Naturally , where one or the other of the effects of an action is uncertain , this has to be taken into account .'], [""Me , I know the mind of an officer works in a strange and unfathomable manner '' .""], ['This was a training ship and the training would continue , but there was an element of frightful absurdity here which Alexander recognized .'], ['One shawl was so tremendous that she could not wear it , so she draped it over the banister on the second floor , and it hung over the stairway .']]","[[-0.15805649757385254], [-0.10050138831138611], [-0.00028920266777276993], [0.09988488256931305], [0.19917337596416473], [0.3632144331932068]]",63.7613410949707,39.811588287353516,"[73.41888427734375, 54.66712951660156, 51.34291076660156, 48.05263900756836, 43.686058044433594, 42.258392333984375]","[114.8214340209961, 71.70169067382812, 83.25060272216797, 68.63909912109375, 57.20772933959961, 49.34090042114258]"
327,"Myra is in the States with the kids, and she would never forgive me if something happens to Luigi.","[['Here are some key areas to examine to make sure your pricing strategy will be on target :'], ['The detection and study of such line spectra would add considerably to present information on interstellar gas clouds and , perhaps , planetary atmospheres .'], ['This fascinating story begins with a sketch , rich in personal detail , of the glancing mutual impact of World War 1 , and the two instalments of the Russian Revolution .'], ['Argiento had been trained so rigorously by the Jesuits that Michelangelo was unable to change his habits : up before dawn to scrub the floors , whether they were dirty or not ; ;'], ['But every time I suggested this to her , Mrs. Wright turned it down and demanded that I go out and punish Mr. Wright .'], ['No , I forget Mrs. Mathias , who had been away visiting a married daughter when it happened .']]","[[-0.14771011471748352], [-0.10170725733041763], [-0.000329088419675827], [0.09971991181373596], [0.1985955834388733], [0.3220069706439972]]",68.28984069824219,39.92518997192383,"[43.8895378112793, 48.05640411376953, 50.00788116455078, 44.51596450805664, 40.1675910949707, 36.951229095458984]","[65.87886047363281, 95.48621368408203, 91.50670623779297, 61.6688232421875, 57.98677444458008, 44.876468658447266]"
249,"“I don’t believe in having sex during engagements either,” Tess said.","[['For the Lo Shu square was a remarkably complete compendium of most of the chief religious and philosophical ideas of its time .'], ['What are the possibilities for operating your cafeteria for a single shift only and relying upon vending machines or prepackaged sandwiches for the second- and third-shift operations ? ?'], ['Yet he remains the fiercest of competitors .'], ['We want the past forgiven , but at the same time we must be willing for God to direct the future .'], [""`` He works for my father '' , the girl said , and then seemed to change her mind .""], [""For it seems that Barco , fancying himself a ladies' man ( and why not , after seven marriages ? ?""]]","[[-0.1501716524362564], [-0.1006392240524292], [-0.0003248453140258789], [0.09979815781116486], [0.19789567589759827], [0.31397688388824463]]",66.8509521484375,29.754802703857422,"[40.039405822753906, 37.72138214111328, 32.294986724853516, 36.22062301635742, 33.70240783691406, 45.20975875854492]","[66.00482177734375, 56.78389358520508, 51.35813903808594, 51.985084533691406, 48.32490539550781, 74.34375]"
95,“Are you sure?” Tess asked softly.,"[[""It cuts the lumber dealer's cost because it takes only one man -- the driver -- to unload it , and because it unloads in a fraction of the time and at a fraction of the cost of hand unloading .""], ['Pueri aquam de silvas ad agricolas portant , a delightful vignette set in the unforgettable epoch of pre-Punic War Rome .'], ['There shall be deducted from the amount of each payment made pursuant to subsection ( C ) of Section 8 , as reimbursement for the expenses incurred by the United States , an amount equal to 5 per centum of such payment .'], ['He saw the child-face grimace as the head was cut ; ;'], ['`` Listen to me , Leigh .'], [""`` Oh , Mr. Davis , are you there '' ? ?""]]","[[-0.15562011301517487], [-0.10118284821510315], [-0.00011236220598220825], [0.0995301827788353], [0.19938623905181885], [0.3671848773956299]]",1484.405517578125,486.8308410644531,"[824.2349853515625, 578.1025390625, 1153.6046142578125, 485.3717041015625, 368.27789306640625, 339.57696533203125]","[2417.396240234375, 1978.32421875, 3298.21337890625, 1574.9488525390625, 1157.3671875, 1258.09912109375]"
