target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,unintrp_PPL,intrp_PPL_all_bins
15,Education also plays a role.,"[[""It was not a hostile gathering but Andy sensed the difference from last night's hero-worshippers .""], [""`` I've never done this before '' , they always said , waiting for the elevator in the hotel corridor .""], [""Roy smiled -- he did have a nice smile -- took off his hat most politely , told her to hop in , and he'd give her a lift to Quinzaine .""], ['She came back the other day to reassure me .'], ['Phil was like that .'], ['And there is light ! !']]","[[-0.21641066670417786], [-0.10157307237386703], [-0.0006899591535329819], [0.09725568443536758], [0.1833181083202362], [0.20983768999576569]]",83.74961853027344,41.94612503051758,"[76.44602966308594, 50.15845489501953, 85.7543716430664, 67.89865112304688, 61.027252197265625, 57.21364974975586]"
106,"That comes as no surprise to Terri Orbuch, PhD, of the University of Michigan and Oakland University, who says arguments over money — how to spend, save and split it — plague even well-off couples.","[['What they are after is the beatific vision .'], ['They were a little late in getting home .'], ['Ventilation is provided in a concrete block basement shelter by vents in the wall and by the open entrance .'], ['Then , he said , `` Unfortunately , only one lamechian linguist exists , and he is too old for this expedition .'], ['The announcement that the city would sue for recovery on the performance bond was made by City Solicitor David Berger at a press conference following a meeting in the morning with Wagner and other officials of the city and the PTC as well as representatives of an engineering firm that was pulled off the El project before its completion in 1959 .'], [""`` Outside '' faculty members want to be considered partners in the academic enterprise and not merely paid employees of a family business .""]]","[[-0.18502824008464813], [-0.10344000905752182], [-0.0008100606501102448], [0.09913840889930725], [0.19611044228076935], [0.2657385766506195]]",186.73875427246094,171.1220245361328,"[167.86080932617188, 175.75210571289062, 185.86788940429688, 167.55380249023438, 195.2280731201172, 173.03672790527344]"
21,"Lower-income groups, however, experienced more problems related to economic and social issues such as drinking or drug abuse (, 2012).","[['The Public Service Commission has ruled that this is not a public utility , subject to their many regulations .'], ['His eyes went back to contemplation of the sea .'], ['`` A stake-out , I suppose .'], ['They do not move to Chicago , they move to the South Side ; ;'], [""This is an issue which boils down to a matter of opinion , depending on whether you're an American or National fan and anti or pro-Yankee .""], ['At the same time that religion exercises a conserving influence , it also energizes and motivates both individuals and groups .']]","[[-0.2027614861726761], [-0.10200046002864838], [-0.0009559355676174164], [0.0981869250535965], [0.1811072677373886], [0.21096721291542053]]",58.519039154052734,45.857330322265625,"[47.04609680175781, 49.9621696472168, 53.01057434082031, 50.029598236083984, 49.89278030395508, 46.89301300048828]"
70,"After a decade, the most striking difference between the couples who had divorced and the ones who stayed together was how they had handled conflict during their first year of marriage.","[['Naturally , he couched the provision in obscure language .'], ['Mr. Blatz was already taking measurements for a shelf above the kitchen sink .'], [""It follows , then , provided the possibilities have been exhausted , that the only real alternative is the general viewpoint of the `` left '' , which has been represented on the Continent by Fritz Buri and , to some extent at least , is found in much that is significant in American and English theology .""], ['In a low voice , almost whispering , the man had asked Phil if he was happy with the way the landlord had been taken off his back .'], ['Casey kept his smile fixed , but some small inner disturbance was working on him as he thought again about Needham , who was eight or ten years older than the girl .'], [""for to attend the dying was something she had never experienced , and certainly had not imagined when she thought of the duties she would have as Bobby Joe's wife .""]]","[[-0.17955921590328217], [-0.10456497967243195], [-0.0008178390562534332], [0.09885452687740326], [0.19346877932548523], [0.30370160937309265]]",68.54901885986328,55.18286895751953,"[55.91762161254883, 60.843441009521484, 62.42247772216797, 55.104957580566406, 54.77077102661133, 56.63727569580078]"
34,If you're an artist you take workshops.,"[['In the care-free indolence of the East he sees the last reflection of the old happy existence , and for that reason he loves it .'], ['One shawl was so tremendous that she could not wear it , so she draped it over the banister on the second floor , and it hung over the stairway .'], [""He drew back his arm to slash the gunbarrel across Jess's face , but didn't finish the motion .""], ['There is no room for error or waste .'], [""you can't very well sidle up to people on the street and ask if they want to buy a hot Bodhisattva .""], ['They were not diplomats or jazz musicians , or even organizers of reading-rooms and photo-montage displays , but rugged capitalist entrepreneurs like Henry Ford , Hugh Cooper , Thomas Campbell , the International Harvester Co. , and David W. Griffith .']]","[[-0.19893918931484222], [-0.10255297273397446], [-0.0008408487774431705], [0.09775584936141968], [0.17874500155448914], [0.22824224829673767]]",390.19036865234375,118.45523834228516,"[139.49400329589844, 156.41543579101562, 152.6929473876953, 118.61299133300781, 112.84552764892578, 159.9919891357422]"
