target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
135,"They still had two weeks to stay with her parents, and he had no idea how he would hold up if Tess had to leave him.","[['There are eight states in which the largest urban vote can be the balance of power in any close election .', ""They are leaving so fast that the president of the West German Employers' Federation issued an appeal this week to factory workers in the West to volunteer for six months' front-line work in factories in West Berlin ."", 'This is the kind of chest that invariably wins contests ; ;', 'This is the kind of chest that invariably wins contests ; ;'], [""An amendment , presumably designed to deal with the problems of newly freed slaves , became a `` laissez-faire '' limitation upon state economic policy ."", 'During the discharge the magnetic forces set up by the passage of current cause the edges of the foil to roll inward toward its center line , thus allowing light to pass into the camera .', 'This program is based on the policy of designing and building efficient machines which will help produce better textile values -- fabrics whose cost in relation to quality , fashion and utility provide the consumer with better textile products for the money .', 'In the autumn of 1959 , the British Broadcasting Corporation presented a series of talks by four scientists competent in cosmology .'], ['In each case , lines of the bundles are transformed by involutions within the pencils they determine with the multiple secant .', 'The clouds bulged downward and burst suddenly into a great black funnel .', 'And since you are made of atoms , you are nothing much but empty space , too .', 'Let us , like the French , have outdoor cafes where we may relax , converse at leisure and enjoy the passing crowd .'], ['or the Love For Three Oranges ( gay as it is ) with the wonderful , imaginative , colorful , and subtle tenderness of the magnificent ballet , The Stone Flower .', ""`` He's that peaked kind '' ."", 'As long ago as 1851 it was pointed out by Niepce ( 1851 ) that there is a connection between the pituitary and the thyroid .', ""Richardson had returned their departing grins with the noncommittal nod that is the security officer's stock in trade .""], [""The lad's once superb body was a mass of scars and welts ."", 'His face was bloated with drugging , redder than normal .', 'Mary was free to marry again , not knowing that the Sturch had secretly given her a divorce , thinking that death had dissolved her marriage .', 'Those of us present , the Perry brothers , Deslonde and the other midshipmen now have the responsibility of the Somers .'], [""Suspicion wasn't new to him at all ."", ""There's no doubt this Tim sneaked back and killed Mrs. Buck ."", 'Ever since the hooch , and the trouble with the Quartet , and Midge and the child .', ""Lucy suspected that Myra would never have come home if Gregg , Myra's husband , hadn't gone out to fetch her .""]]","[[-0.15935781598091125, -0.15926501154899597, -0.15845894813537598, -0.15845894813537598], [-0.10109049826860428, -0.10107569396495819, -0.10100934654474258, -0.10096326470375061], [-0.00041938479989767075, -0.00040977075695991516, -0.00034266896545886993, -0.00030182069167494774], [0.09939134865999222, 0.09946457296609879, 0.09947001934051514, 0.09948251396417618], [0.1979462206363678, 0.19815745949745178, 0.198235422372818, 0.1983121633529663], [0.33530178666114807, 0.33882904052734375, 0.3417741358280182, 0.3432718515396118]]",33.091156005859375,30.12900161743164,"[37.86897277832031, 33.660579681396484, 31.266630172729492, 28.028682708740234, 30.04294776916504, 26.531513214111328]",26.274097442626953,"[33.031864166259766, 30.062013626098633, 27.65330696105957, 26.551692962646484, 27.679401397705078, 25.799829483032227]"
138,She had had to promise Luigi that she would do anything Mr. Donatelli asked her to do to keep her job except do something unethical and immoral.,"[[""But the really controversial aspect of customer-cost imputation arises because of the cost analyst's frequent practice of including , not just those costs that can be definitely earmarked as incurred for the benefit of specific customers but also a substantial fraction of the annual maintenance and capital costs of the secondary ( low-voltage ) distribution system -- a fraction equal to the estimated annual costs of a hypothetical system of minimum capacity ."", ""`` Just be sure to send your two best boys , Tony '' ."", 'not that empty peace the world offers , but a deep , abiding peace which nothing can destroy .', ""Our blessed Lord Jesus Christ , the sinless Son of God , who could not lie , said , `` Amen , amen , I say to thee , unless a man be born again , he cannot see the kingdom of God '' ( St. John 3 : 3 ) .""], ['The world production of familiar seed nuts -- almonds , brazil nuts , filberts , and the English walnuts -- totals about 300 thousand tons annually .', 'The paradox implicit in the whole affair is shown by the demand of the government , after the conviction , that General Electric sign a wide-open consent decree that it would not reduce prices so low as to compete seriously with its fellows .', 'The paradox implicit in the whole affair is shown by the demand of the government , after the conviction , that General Electric sign a wide-open consent decree that it would not reduce prices so low as to compete seriously with its fellows .', 'The interest rate will be similar to those prevailing in India on comparable loans and the maturities will be consistent with the purposes of the financing .'], [""He became particularly interested in graduating and precision measurement during the 1840's , and his thinking along these lines developed considerably during this period ."", 'Wellman Braud , bass , and Minor Hall , drums .', 'A popular belief grew up after the war that the only time during the Civil War that Thomas ever put his horse to a gallop was when he went to hurry up Stanley for this assault .', 'They must be persuaded to adopt the other necessary self-help measures which are described in the preceding section .'], ['Early in the present century , W. H. Stevenson continued the attack with a savage article against Guest .', 'any kind of job was better than brooding .', ""Denny said stupidly , `` Why , you ain't turning Angie down , are you , Mr. Skyros ? ?"", 'Neither Mantle nor Maris , understandably , will predict 60 home runs for himself .'], ['The old man gave the room a stare in leaving ; ;', 'She was listening to other voices , out of the future .', 'She picked her own Middle-Eastern friends from the flock of ardent Egyptians that buzzed around her .', 'My wife died in childbirth after I was sent away .'], ['She wondered , with a baffled feeling of helplessness .', 'she relaxed a little , and some of the tension went out of her .', ""`` He came home unexpectedly '' ."", 'Where were the hardships she had expected ? ?']]","[[-0.16924221813678741, -0.16754436492919922, -0.16638025641441345, -0.16519096493721008], [-0.10131801664829254, -0.10124284029006958, -0.10124284029006958, -0.10102230310440063], [-0.0003705807030200958, -0.0002768300473690033, -0.00026718620210886, -0.00024351850152015686], [0.09945032000541687, 0.09948397427797318, 0.09952989220619202, 0.09957432746887207], [0.1989024579524994, 0.19913643598556519, 0.19915904104709625, 0.19928669929504395], [0.3759710192680359, 0.37773799896240234, 0.3804053068161011, 0.3818734288215637]]",95.04544830322266,78.78341674804688,"[83.40950775146484, 88.36515045166016, 84.30760955810547, 70.76591491699219, 75.45362854003906, 69.5434341430664]",73.6337661743164,"[78.49539947509766, 74.54349517822266, 80.83782958984375, 66.91250610351562, 72.78263854980469, 69.67796325683594]"
341,"Noticing that Tess was in David’s arms, Luigi asked, “Tess, is this true?","[['Russia has showed its intentions by exploding bombs in peace time to try to frighten the world .', 'He took up a white sheet of paper , dark with single-spaced data .', 'Via was in the parking lot when I went outside .', 'The sharp wind slapped at him and his feet felt like ice as the snow penetrated the holes of his shoes , his only ones , now patched with folded parchment .'], ['The 1962 General Assembly has important business to consider .', 'This is followed by a boom in conferences .', 'This is followed by a boom in conferences .', ""The most inscrutable embassies are the Arabs' , and the most inscrutable of the Arabs are the Saudi Arabians .""], [""The single-barrel Stevens 940Y ( under $35 ) is made with a side lever rather than a top-tang lever because many youngsters aren't strong enough to operate a top tang to open a gun -- and the side lever does indeed open very easily ."", ""Appropriately , the emphasis on the home run , at a peak this year , came into being at baseball's lowest moment ."", ""The Jap's propeller flew off in pieces ."", ""Additionally , since you're going to be hors de combat pretty soon with sprue , yaws , Delhi boil , the Granville wilt , liver fluke , bilharziasis , and a host of other complications of the hex you've aroused , you mustn't expect to be lionized socially .""], [""But alas George , when he had written , had only just returned from going to Tuxapoka to Cousin Elec's funeral ."", ""`` That much Latin we remember '' , Gibby said dryly ."", ""Before you use 'em the light company's got to run in a heavy line and you'll need a new fuse box for the extra circuits ."", ""All belong to the collection being given to Wilmington over a period of years by Mrs. Sloan , who has cherished such revelatory items ever since she first studied with Sloan at the Art Students League , New York , in the 1920's .""], [""`` Well , I should find Alma '' -- I began ."", 'If Hal Yarrow had been killed in a crash , he must have wanted it that way .', 'If Hal Yarrow had been killed in a crash , he must have wanted it that way .', 'If Hal Yarrow had been killed in a crash , he must have wanted it that way .'], [""`` We no longer have Tom Moore's and Longfellow's ' heart for any fate ' , either '' , I said ."", 'Or long fat suitcase , for that matter ? ?', ""She's not chubby ."", ""`` All right '' , Pam said .""]]","[[-0.14189904928207397, -0.14159099757671356, -0.14148284494876862, -0.14102251827716827], [-0.10180738568305969, -0.10166020691394806, -0.10166020691394806, -0.10157331824302673], [-0.0001279721036553383, -0.00012393854558467865, -0.00011942535638809204, -0.00011652521789073944], [0.09950987994670868, 0.0995388776063919, 0.09963688254356384, 0.09968500584363937], [0.19644826650619507, 0.19657038152217865, 0.19657038152217865, 0.19657038152217865], [0.2503509223461151, 0.25154152512550354, 0.25390908122062683, 0.25393807888031006]]",37.21892547607422,30.983610153198242,"[24.805639266967773, 55.69637680053711, 33.94888687133789, 28.43765640258789, 22.55549430847168, 24.506628036499023]",25.009552001953125,"[21.808935165405273, 30.014352798461914, 31.580472946166992, 27.816503524780273, 23.706890106201172, 25.55447006225586]"
342,You never told me you knew David Donatelli.”,"[['He is a dreamer of the good society with a plan to put into effect , and he is an individual craftsman with something to make for himself and the people of his time .', 'A well-designed , 1200-square-foot house can be comfortably cooled and heated for as little as $128 a year , or $11 a month .', 'These are particularly suitable for regions where water or rock is close to the surface .', 'For radiosterilization , to destroy all organisms for long-term preservation -- about 4.5 Mrad for nonacid foods of low salt content .'], ['Sometimes , you have a choice of exposure for sites where the topography or trees of the area will provide afternoon shade , morning sun , or whatever may be most desirable for the use intended .', 'There were times now , like this , when she lost control of the time count and moved freely back and forth into three generations .', 'I had mixed emotions about going .', ""Student Prince Lounge on Atlantic Blvd. plotting a month-long `` festival '' throughout October , with special features .""], ['A special grandstand , protected by awnings from the midsummer sun of Illinois , should be erected for occupancy by honored guests , who should include the ambassadors of all those new African nations as yet not quite convinced that the United States is thoroughly civilized .', 'A special grandstand , protected by awnings from the midsummer sun of Illinois , should be erected for occupancy by honored guests , who should include the ambassadors of all those new African nations as yet not quite convinced that the United States is thoroughly civilized .', '( Several times recently I have wondered whether shows were being staged for the sake of the script or just to entertain the audience with the spectacle of scenery being shifted right in front of their eyes .', '( Several times recently I have wondered whether shows were being staged for the sake of the script or just to entertain the audience with the spectacle of scenery being shifted right in front of their eyes .'], ['yet her inflection seemed forced or rehearsed .', 'Chandler , looking to right and left to see how his men were faring , suddenly saw another figure bounding up the hill , hurling grenades and hollering the battle cry as he ran .', ""`` Ring Of Bright Water '' by Gavin Maxwell is just that -- a haunting , warmly personal chronicle of a man , an otter , and a remote cottage in the Scottish West Highlands ."", ""`` Ring Of Bright Water '' by Gavin Maxwell is just that -- a haunting , warmly personal chronicle of a man , an otter , and a remote cottage in the Scottish West Highlands .""], ['It is evident that Lizzie did not tell everything she overheard between her father and her Uncle Morse .', ""`` Oh , Mr. Davis , are you there '' ? ?"", ""But I'm sure the other one was Lou '' ."", 'Was she just naturally sloppy about everything but her physical appearance ? ?'], ['Speaking of his work with Johnny Mercer , Arlen says , `` Our working habits were strange .', ""When informed that there were some persons who did not have their arm go up , she commented , `` I don't see how they can prevent it '' ."", ""As Charles Evans Hughes said , `` Miss Poitrine's limitations as an actress are exceeded only by her logic as a litigant '' ."", ""As Charles Evans Hughes said , `` Miss Poitrine's limitations as an actress are exceeded only by her logic as a litigant '' .""]]","[[-0.1532616913318634, -0.15258800983428955, -0.15229091048240662, -0.1520768404006958], [-0.10142484307289124, -0.10139808058738708, -0.10138043761253357, -0.10131590813398361], [-0.0003656577318906784, -0.0003656577318906784, -0.0003551766276359558, -0.0003551766276359558], [0.09971881657838821, 0.0997309535741806, 0.09977829456329346, 0.09977829456329346], [0.1991634964942932, 0.19927260279655457, 0.19928708672523499, 0.19931088387966156], [0.29515939950942993, 0.2951676845550537, 0.29602235555648804, 0.29602235555648804]]",183.8932647705078,64.96376037597656,"[75.01971435546875, 64.3864517211914, 97.89295959472656, 67.31515502929688, 56.351776123046875, 65.04286193847656]",51.611507415771484,"[76.06424713134766, 57.72034454345703, 96.23493957519531, 58.89693069458008, 53.999908447265625, 59.91531753540039]"
363,"You have a jewel in your arms,” and he went back to his office, with Tess still standing in David’s embrace.","[['Preparations are being made for similar experiments on CH and SH radicals .', 'Enlargement of the City Council and a new method of selecting members will be discussed tomorrow .', 'If the investigation committee spent months digesting the thoughtful food served them at the Laboratory School , they left Helva with a morsel as well .', ""Both Mr. K's have so far continued to speak softly and carry big sticks over Laos .""], ['When that was broken up after the First World War , its name was changed once more .', ""The sections were mounted on cold slides smeared with Haupts' adhesive ( Johansen , 1940 ) in earlier experiments , and in later experiments with a different mixture of the same components reported by Schramm and Rottger ( 1959 ) ."", 'If they do as well as they did in 1960 there can be no complaint .', 'pass word when there was word to pass .'], ['She would weep in private , he was sure , for she loved him in her frigid way , though in public she would be dry-eyed .', ""When several minutes had passed and Curt hadn't emerged from the livery stable , Brenner reentered the hotel and faced Summers across the counter ."", 'The stock was sold in the underwriting at a price of $12.50 a share .', 'I now felt it wiser to keep Baby-dear in school and -- during the summers -- at a camp run by the Society of Friends all year around .'], ['Many of them , moreover , are beginning to complain about the scarcity of Western amusements and to ridicule the old life of the bazaar merchant , the mullah , and the peasant .', 'Mike was slow getting into the box this time .', 'It was silent in the stone alley .', 'It is notably significant that so many Members from both sides of the aisle express their respect and admiration for our beloved Speaker , the Honorable Sam Rayburn .'], [""`` Hey , there , beautiful twin of mine '' , Ronald said ."", 'What a fool he had been to think of his brother ! !', ""Bruckner's Eighth he refers to as `` my travel symphony '' ."", ""`` Aren't you sure '' ? ?""], [""You must've known I'd gone to get the sheriff ."", ""If you're a good ballplayer , you've got to get mad ."", ""That you have refused to drive him into the family business or push him into a profession so you can say at the club , `` Of course David has known since he was twelve he wanted to be an engineer '' -- or a lawyer , or an editor ? ?"", ""That you have refused to drive him into the family business or push him into a profession so you can say at the club , `` Of course David has known since he was twelve he wanted to be an engineer '' -- or a lawyer , or an editor ? ?""]]","[[-0.15784087777137756, -0.15779966115951538, -0.15728715062141418, -0.15673215687274933], [-0.10188117623329163, -0.10167180746793747, -0.10145962238311768, -0.10140553116798401], [-0.00042386259883642197, -0.00041940994560718536, -0.0004086606204509735, -0.000401059165596962], [0.09968895465135574, 0.0996917337179184, 0.09969602525234222, 0.09971588104963303], [0.1959848701953888, 0.1960754543542862, 0.19609418511390686, 0.1962292492389679], [0.28804439306259155, 0.2932395339012146, 0.3010418713092804, 0.3010418713092804]]",41.648094177246094,27.021278381347656,"[23.688997268676758, 26.612462997436523, 26.561050415039062, 22.469043731689453, 24.736751556396484, 29.29836654663086]",25.1546573638916,"[24.85320472717285, 26.242393493652344, 27.398738861083984, 23.31203269958496, 24.961519241333008, 29.539451599121094]"
