target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
100,Age at marriage is also a predictor of marital success: Couples who wed in their teens are more likely to divorce than those who wait to marry.,"[['I crossed the beautifully furnished living room to the pale yellow phone .', ""Except that Kitti wasn't there ."", 'This , in brief , was the historical background out of which Zen emerged .', 'The program came out of the NBC Special Projects department , and was slotted in the Du Pont Show Of The Week series .'], [""Nothing could make it necessary to proclaim it to the whole world '' ."", ""Nothing could make it necessary to proclaim it to the whole world '' ."", 'Mercer never noticed the needle touch his arm .', 'The ultimate trail system will be of value primarily for recreation and wildlife utilization and fire protection .'], ['The difficulty was that each day seemed to produce its quota of details which must be cleaned up immediately .', 'In the first instance , adequate appropriate reading materials and library accommodations must be planned .', 'At 4 p.m. the President left the White House to welcome the young musicians , students from the ages of 12 to 18 who spend six weeks at the Brevard Music Center summer camp , and to greet the 325 crippled , cardiac and blind children from the District area who were special guests at the concert .', 'Wellman Braud , bass , and Minor Hall , drums .'], ['The Congolese were clamoring for their independence , even though most were unsure what it meant ; ;', 'The Congolese were clamoring for their independence , even though most were unsure what it meant ; ;', 'This is especially in evidence among the present generation of the suburban middle class .', 'If you plan to sell fresh vegetables or whole milk , for example , you should be close to a town or city .'], ['Shakespeare is closer to Sophocles than he is to Pope and Voltaire .', 'As it happens the English lady is a good Catholic herself , but of more liberal political persuasion .', ""Having the deepest of maternal instincts , my heart fairly bled when I thought of the darling pink and white `` bundles from heaven '' I would have proudly given my husband ."", ""`` We're getting more ' pro ' letters than ' con ' on horse race betting '' , said Ratcliff .""], [""A Republican survey says Kennedy won the '60 election on the religious issue ."", 'Liberals and conservatives in both parties -- Democratic and Republican -- should divorce themselves and form two independent parties , George H. Reama , nationally known labor-management expert , said here yesterday .', 'that Mrs. Garth would be impeccably suitable as the wife of a rising young lawyer ; ;', 'It should be admitted , too , that there is a good percentage of lapsed or nonchurchgoing Catholics ( one paper writes 50 per cent ) .']]","[[-0.18525996804237366, -0.1845877468585968, -0.1833261102437973, -0.18085400760173798], [-0.10452496260404587, -0.10452496260404587, -0.10445050150156021, -0.10431091487407684], [-0.0008612684905529022, -0.0008200714364647865, -0.000817248597741127, -0.0007881671190261841], [0.09854187071323395, 0.09854187071323395, 0.09855718165636063, 0.09858952462673187], [0.18596705794334412, 0.1860862672328949, 0.18611326813697815, 0.18614254891872406], [0.2510414719581604, 0.25602132081985474, 0.2576584219932556, 0.26258212327957153]]",92.9924545288086,92.9924545288086,"[100.55059051513672, 100.2745132446289, 108.23163604736328, 88.49954223632812, 80.47389221191406, 77.28974914550781]",57.26564407348633,"[84.58234405517578, 78.02099609375, 88.31153106689453, 68.33026885986328, 73.5457992553711, 62.05506896972656]"
79,"""Men don't get it from other people in their lives so they especially need it from their female partners or wives,"" she says.","[[""Under the general heading `` poetry-and-jazz '' widely divergent experiments have been carried out ."", ""The trouble was at least partly Juet's doing ."", 'The 1962 General Assembly has important business to consider .', 'The 1962 General Assembly has important business to consider .'], [""If , at any time during the assignment pass , the compiler finds that there are no more index words available for assignment , the warning message `` No More Index Words Available '' will be placed in the object program listing , the table will be altered to show that index words 1 through 96 are available , and the assignment will continue as before ."", 'A simplified version of the instrumentation for this procedure is shown in Fig. 2 .', 'I found a parking place half a block away , sat in the car and waited .', 'I found a parking place half a block away , sat in the car and waited .'], ['Fair Dealer Humphrey upped the ante , asked cloture power for a mere majority of Senators .', ""a stirring `` Flames Of Paris '' pas de deux by Xenia Ter-Stepanova and Alexandre Pavlovsky , and a lovely version of Fokine's `` Le Cygne '' by Olga Moiseyeva , which had to be repeated ."", 'Rosa , unbelievably , was not yet up and about , reassurance that Rosa was human .', ""`` You go to bed '' , I said curtly .""], ['the later works were conceived to affirm a way of life for fellow citizens .', ""Here the New York Central Railroad , one of the Nation's most important carriers , has alone lost 47.6 percent of its passengers since 1949 ."", ""Here the New York Central Railroad , one of the Nation's most important carriers , has alone lost 47.6 percent of its passengers since 1949 ."", 'He feels very forcibly that the American Kennel Club should take a more active part in encouraging the Junior Division ! !'], [""It may be fostered by frustration , depression , insecurity -- or , in children , simply by the desire to stop an anxious mother's nagging ."", ""`` If asked to choose between a terrible probability and a more terrible possibility , most men will choose the latter '' ."", 'Stars throughout the volume denote dates of marriages during the past year .', 'And so , still wondering and a little perplexed , he grinned at the girl and spoke lightly to make sure that she would know he was kidding .'], ['Anthony Steel , as the husband , is a jealous type who argues against her course and sues for divorce , labeling her action adulterous .', 'it is when I meet someone who was a close friend of the family , and therefore of mine , and they nod to me so coolly and walk away , that it hurts .', 'Mary was free to marry again , not knowing that the Sturch had secretly given her a divorce , thinking that death had dissolved her marriage .', ""A weekly newspaper reported a local romance : `` and the couple were married last Saturday , thus ending a friendship which began in their schooldays '' .""]]","[[-0.18970906734466553, -0.1869589388370514, -0.1847744882106781, -0.1847744882106781], [-0.10395565629005432, -0.10387583076953888, -0.10383407771587372, -0.10383407771587372], [-0.0007074689492583275, -0.0006979638710618019, -0.0006979452446103096, -0.0006921589374542236], [0.09809017181396484, 0.09813576191663742, 0.09813576191663742, 0.09820157289505005], [0.19126015901565552, 0.19151781499385834, 0.19172531366348267, 0.19179430603981018], [0.30867499113082886, 0.30915606021881104, 0.313198447227478, 0.3153552711009979]]",193.71527099609375,193.71527099609375,"[199.77821350097656, 267.46478271484375, 207.59873962402344, 199.39268493652344, 158.24171447753906, 229.10377502441406]",150.53346252441406,"[152.34182739257812, 215.97003173828125, 155.9130096435547, 162.08145141601562, 143.02220153808594, 201.59237670898438]"
62,"The happiest couples also share their hopes, dreams and fears.","[['he had no use any longer for exact time , even had the watch been running .', 'Actually , there was a lot of force in him , which is why I kept on in that class instead of quitting after a week .', 'Traces of oil on green tissue ? ?', ""You must've known I'd gone to get the sheriff .""], [""When several minutes had passed and Curt hadn't emerged from the livery stable , Brenner reentered the hotel and faced Summers across the counter ."", 'The taxpayers of East Greenwich appropriate sums of money , as do other Kent County communities , for the support of the Kent County Memorial Hospital , a regional facility .', 'I had done all I could .', ""In Rourke's car , Shayne drove east to Biscayne Boulevard and north toward Felice Perrin's address which had been given to him by the Peralta governess .""], ['I may settle on some makeshift arrangements for the summer and wait until you return in the fall so we can work out together the best .', 'Religion and the churches were institutions which had been created by man , not God .', 'Production must be adjusted accordingly , at minimum cost and quickly .', 'Or should we argue that if we want adjustment of children to children of different races and that that is impossible in an all-something-or-the-other school , we must at least provide him some opportunity to adjust to people of another race within the school -- namely , to a teacher of another race .'], [""Their childhood would have been quite circumspect without Hetty's flair for drama , especially through the long summers ."", ""he generally heard Freddy's suggestions without interest , being absorbed by his own prospering concerns ."", 'Many belly dancers are married , but Serene is one of the few who will admit it .', ""The study of the St. Louis area's economic prospects prepared for the Construction Industry Joint Conference confirms and reinforces both the findings of the Metropolitan St. Louis Survey of 1957 and the easily observed picture of the Missouri-Illinois countryside .""], ['And the Prokofieff Seventh Sonata had the combination of romanticism and modern bravura that Prokofieff needs .', 'Anthony Steel , as the husband , is a jealous type who argues against her course and sues for divorce , labeling her action adulterous .', ""We can all breathe more easily this morning -- more easily and joyously , too -- because Joshua Logan has turned the stage show , `` Fanny '' , into a delightful and heart-warming film ."", ""Seven years they'd been married .""], ['The two women babbled and crooned at him .', 'The two women babbled and crooned at him .', 'The two women babbled and crooned at him .', ""Check with one of them , go ahead -- there's no professional jealousy here '' .""]]","[[-0.24129337072372437, -0.23937983810901642, -0.22566452622413635, -0.22406265139579773], [-0.10277163982391357, -0.10275861620903015, -0.10274787247180939, -0.10274337232112885], [-0.000698314979672432, -0.0006660837680101395, -0.0006604604423046112, -0.0006601139903068542], [0.09861446917057037, 0.09861554950475693, 0.09863226115703583, 0.09863707423210144], [0.18830375373363495, 0.1883992850780487, 0.18855422735214233, 0.1887437254190445], [0.2469831109046936, 0.2469831109046936, 0.2469831109046936, 0.24712815880775452]]",446.6719055175781,446.6719055175781,"[446.2143859863281, 827.5548095703125, 238.20669555664062, 391.5440673828125, 211.5089111328125, 226.86431884765625]",276.6875915527344,"[284.65545654296875, 530.3740234375, 198.98768615722656, 366.3435974121094, 185.9249725341797, 219.71685791015625]"
103,Those who succumbed to the safer movie-rental routine didn't reap the same benefits.,"[['Humor found many modes of expression .', 'From the curio cabinet on its south wall and the bureaus beneath , you abstracted seventeen ivory , metal , wood , and stone sculptures of Oriental and African origin , two snuffboxes , and a jade-handled magnifying glass .', 'Its clarity and good optical properties are other important factors .', 'This is what we mean when we say this demand must be accepted without condition .'], ['He sized up the situation and shook his head .', 'He sized up the situation and shook his head .', 'Locate the position from Fig. 7 .', ""Seven hundred miles south of York Factory , at `` the Forks '' of the Red and the Assiniboine , twenty-three men located a settlement in August 1812 .""], ['At that point William came into the picture .', ""He : `` Come with me to the Casbah '' ."", 'He forgot the order .', 'But what came in was piling up .'], ['The Ainus were a primitive people , already living on the island before the principal ancestors of the Japanese came from Southern Asia .', 'Neither growth nor a development program can be imposed on a country ; ;', 'Vastly relieved , Summers nodded and started toward the door .', 'To this day the Atomic Energy Commission shies away from discussing the health aspects of fallout .'], [""As for his finances , I was never privileged to know exactly how much money Letch had `` salted away '' ."", 'He at once cancels the celebrations and , buckling on his scimitar , stumbles blindly from the house , where he is hit and killed by a passing oxcart .', 'He at once cancels the celebrations and , buckling on his scimitar , stumbles blindly from the house , where he is hit and killed by a passing oxcart .', 'Eating while angry had given her a slight indigestion .'], [""`` if it didn't prevail mankind would still be given the opportunity of prevailing '' ; ;"", 'a man in whose entourage none was ever safe ; ;', 'No one was ever educated through bull-sessions in anything other than , to quote him again , `` perfumed bullshit .', 'Somehow we old-timers never figured we would ever retire .']]","[[-0.20479148626327515, -0.20217806100845337, -0.19637751579284668, -0.19326366484165192], [-0.1051807701587677, -0.1051807701587677, -0.10500285029411316, -0.10495610535144806], [-0.0013086311519145966, -0.0012790784239768982, -0.0012778472155332565, -0.0012752041220664978], [0.09901342540979385, 0.09903261065483093, 0.09909195452928543, 0.09911683201789856], [0.1959429532289505, 0.1960231512784958, 0.1960231512784958, 0.19606609642505646], [0.2731708288192749, 0.27380114793777466, 0.27413734793663025, 0.2747783660888672]]",522.6298828125,522.6298828125,"[622.5239868164062, 669.426025390625, 607.6739501953125, 484.212890625, 722.8966064453125, 525.7570190429688]",525.72265625,"[739.572265625, 542.1365356445312, 586.7903442382812, 434.862060546875, 657.7054443359375, 493.1915588378906]"
17,"Perhaps the most important lesson relationship research has taught us is that marriage, like any other commitment, takes conscious effort to preserve, says Nicholas Kirsch, PhD, a couples therapist in Bethesda, Md.","[['Layout and equipment were modernized and improved to obtain increased production on an efficient basis .', 'During the year 1960 , this office supplied 954 visitors with information related to foreign and domestic commerce , and made 73 field visits .', 'Such sections showed bright yellow-green specific fluorescence in the cells of the pseudophloem tissue ( Lee and Black , 1955 ) .', 'Start by laying out the six frames and the transom on a level floor .'], [""They'll be in range in a short while '' ."", 'But this was only accomplished by excessive cruelty and extremes of totalitarian despotism .', ""There was nothing in particular on the man's face ."", 'Her voice came shrill .'], ['Half of it dripped down his chin .', 'but why did the Old Chinese postulate five elements , when the Ancient Near East -- which may have initiated the idea that natural elements exerted influence in human life and activities -- recognized only four ? ?', 'These local variations were to become ever sharper in the next century and a half .', 'No sooner were they through and the guards posted , than the whole camp turned in for a night of sound sleep .'], ['Math and the formulas that allow it to be applied to different problems are , therefore , essential to any scientific endeavor .', 'it is also their mathematical mean , since it is equal to half the sum of every opposing pair , all of which equal 10 .', 'Do you insist that unneeded salary employees take their vacations during plant shutdowns ? ?', ""If he was sober , which was doubtful , he'd have him get in touch with Mr. Crombie .""], ['Lewis looked at him and began to cry , and then , saying that he was going to make a promise , he asked Blackman to call the porter and to tell him to take out all the liquor that he did not want .', 'A significant effect discovered during the study is the existence of Prandtl numbers reaching values of more than unity in the nitrogen dissociation region .', ""`` We'll work for our keep '' , the boy said eagerly ."", ""As John T. Westbrook says in his article , `` Twilight Of Southern Regionalism '' ( Southwest Review , Winter 1957 ) : `` The miasmal mausoleum where an Old South , already too minutely autopsied in prose and poetry , should be left to rest in peace , forever dead and ( let us fervently hope ) forever done with '' .""], [""It is the art of relating the finite to the infinite , of doing our best to insure that the particularistic requirements of religious institutions will not thwart God's intent of unity among men more than is minimally necessary ."", 'Both man and wife should be aware of the fact that a lack of climax , and even the absence of the anticipated keen pleasure are not a sign that the wife may be cold or frigid .', 'Too many people think that the primary purpose of a higher education is to help you make a living ; ;', 'that Mrs. Garth would be impeccably suitable as the wife of a rising young lawyer ; ;']]","[[-0.18840903043746948, -0.17913931608200073, -0.17653919756412506, -0.17145881056785583], [-0.10539589077234268, -0.10532112419605255, -0.10528986155986786, -0.10509443283081055], [-0.0008015632629394531, -0.0007936190813779831, -0.0007919576019048691, -0.0007729679346084595], [0.09888546168804169, 0.09892074763774872, 0.09894736111164093, 0.09901932626962662], [0.1945372372865677, 0.19463574886322021, 0.19464325904846191, 0.19490189850330353], [0.2769336402416229, 0.2770821452140808, 0.2780872881412506, 0.27848169207572937]]",145.5843048095703,145.5843048095703,"[155.15150451660156, 140.5779571533203, 127.19934844970703, 112.9740982055664, 122.39071655273438, 110.31932830810547]",109.71582794189453,"[136.31561279296875, 127.06755828857422, 113.5280990600586, 115.39369201660156, 107.03565216064453, 104.77632141113281]"
