target_idx,target_sent,sents_intrp_all_bins,sim_intrp_all_bins,base_PPL,local_unintrp_PPL,local_intrp_PPL_all_bins,global_unintrp_PPL,global_intrp_PPL_all_bins
23,"""Money is the No.","[['We have developed an ingenious method of interlocking these so that you can make the major part of your house in your own workshop , panel by panel , according to plan .', ""Reinforcements came up quickly to take advantage of the opening made by Goulding's platoon ."", 'Morgan was ordered to attack the enemy , who had meantime moved to Edge Hill on the left of the Americans .', 'When , in late afternoon on the last day in June , he saw two people top the ridge to the south and walk toward the house , he quit work immediately and strode to his rifle .'], ['He fled through the door and down the steps , running , and the men grunted and followed , pushing Lester to one side where he backed against the wall with the sleeve of his jacket raised before his eyes to shut out the light .', 'Living in San Francisco I saw them seldom enough to see them with a perspective which was not distorted by exasperation or fatigue .', 'By the time pupils reach the sixth grade , their ethical and moral standards are fairly well developed ; ;', 'Three were doubles , Brooks Robinson getting a pair and Marv Breeding one .'], ['It happened two weeks ago , the night before his father left on a business trip to South America .', ""It is also significant that neither this report nor the hearing officer's notes were furnished to the appeal board ."", ""He oughta be able to build a new house with all them contraptions '' ."", ""He oughta be able to build a new house with all them contraptions '' .""], ['To be passive , to be girlishly shy was palpably absurd .', ""`` What's a ' scene ' '' ? ?"", 'But theirs defied the detectors .', 'But theirs defied the detectors .'], ['Publicly , he denied everything .', 'Is it reaching these goals ? ?', 'The family is largely broken up ; ;', 'Sandburg is in constant demand as an entertainer .'], ['And the boy will need his mother .', 'Not that the picture is superficial .', ""`` Y'all should have let me take that money out '' , Andrus said ."", 'It is a sound investment .']]","[[-0.17304550111293793, -0.17212027311325073, -0.1716754138469696, -0.1710978001356125], [-0.10087846219539642, -0.10081754624843597, -0.10058736801147461, -0.10044684261083603], [-0.00024455785751342773, -0.0002166200429201126, -0.00016836076974868774, -0.00016836076974868774], [0.09968933463096619, 0.09973539412021637, 0.09976818412542343, 0.09976818412542343], [0.19750846922397614, 0.19753438234329224, 0.19772019982337952, 0.19784575700759888], [0.29976052045822144, 0.30000895261764526, 0.30223822593688965, 0.3047928214073181]]",226.324951171875,226.324951171875,"[841.3556518554688, 325.52288818359375, 353.0083923339844, 288.9896545410156, 164.6478271484375, 164.8776397705078]",214.69375610351562,"[576.3343505859375, 283.0506896972656, 264.1299743652344, 207.21788024902344, 121.17472839355469, 113.74805450439453]"
55,"In the Early Years of Marriage Project, Orbuch found that three-fourths of the happy couples reported that their spouses made them feel cared for or special often, while less than half of the unhappy couples reported the same.","[['If you are a party thrower , you may need added capacity .', 'All capabilities must be used to maximum advantage then .', ""`` Mr. Wycoff's car is waiting for you at the east entrance '' ."", ""`` Mr. Wycoff's car is waiting for you at the east entrance '' .""], ['You need tongs to handle meat ; ;', 'In contrast are the vast open stretches of ranch country and oil wells .', 'There should be a task for everyone and these tasks should be rotated .', 'Such is the field for exercising our reverence .'], ['in fact , a freezing autumn dulls the blaze .', 'in fact , a freezing autumn dulls the blaze .', 'When I wheeled about , finned fore and aft , I was the darling of the doormen .', 'He would be in the barn , or riding for the veterinarian ! !'], [""`` Yes , ma'am '' , the children chorused heartily ."", 'The engineer turned works manager had a particular view of life -- and refused to change it .', 'If you are unable to sign the request , because of illness or other good cause , another person who stands in close personal or business relationship to you may sign the request on your behalf , stating the reason why you are unable to sign .', 'There is much truth in both these charges , and not many Bourbons deny them .'], ['Contrary to usual organization-position evaluations , the position to which research-staff members report administratively will not necessarily encompass the duties of the research-staff member , therefore , are not necessarily evaluated as highly .', ""Oldenburg's contributions were soon exhausted and the boys had to turn to a wider circle of the town's learned , such as the pastor , to supplement the simple teaching ."", 'On Sundays , with the permission of Captain Heard , who usually attended with two of his officers , services were held in the double cabin .', ""From next New Year's Day let us keep careful account of each successive fatality on the highways , publicizing it on all media of communication .""], ['He had picked out this pathless trail , instead of the common one , in a moment of romantic fancy , to give them privacy on their honeymoon .', ""Thus , the writer decided to hold one experimental section of the functional preparation for marriage course in the spring semester of 1960 exclusively for persons already married -- that is , prerequisite : `` marriage '' ."", ""A world in which wives have taken a more active role is likely to produce sexual relationships in which wives are more self-assertive , too '' ."", 'More typical is the case of a suburban Long Island housewife described by a marriage counselor .']]","[[-0.1639491617679596, -0.16366992890834808, -0.1632537543773651, -0.1632537543773651], [-0.10063120722770691, -0.10062693059444427, -0.10057448595762253, -0.10054577887058258], [-0.00015239231288433075, -0.00015239231288433075, -0.00015044212341308594, -0.00012868642807006836], [0.09951122850179672, 0.09954100102186203, 0.0995546206831932, 0.09957197308540344], [0.19867369532585144, 0.198714479804039, 0.19920609891414642, 0.19943857192993164], [0.4001077711582184, 0.40991029143333435, 0.41540849208831787, 0.41779500246047974]]",145.22715759277344,145.22715759277344,"[167.17608642578125, 158.7831268310547, 179.74090576171875, 133.25509643554688, 149.1415252685547, 110.49427032470703]",127.42730712890625,"[140.15802001953125, 137.59597778320312, 146.35684204101562, 132.2117919921875, 134.35397338867188, 109.47412872314453]"
57,"These ""positive affirmations"" can be as simple as tucking a nice note in a spouse's wallet or giving a shoulder rub after a long day at work, she adds.","[['everyone was very high on Rome that year .', 'yet he did not stop being human as a result .', 'yet he did not stop being human as a result .', 'The colony had been small until the Spanish Inquisition of 1492 drove many Jews into Rome .'], [""Wheaton stated that the public law was essentially `` limited to the civilized and Christian peoples of Europe or to those of European origin '' ."", '( P. 214 ) anti-trust laws became the greatest protection to uncontrolled business dictatorship .', 'And he will avoid eye-strain in the process .', 'He could hear the footsteps overhead .'], ['Travel allowances are well-regulated and pose little problem in administration and/or audit control .', 'Travel allowances are well-regulated and pose little problem in administration and/or audit control .', ""`` Snakes are ugly and bad , and it might have bitten somebody , and they would have died '' ."", 'The dream of achieving a synthesis between the Sophoclean and the Shakespearean genius inspired the ambitions of poets and composers from the time of Shelley and Victor Hugo to that of Bayreuth .'], ['Codification was followed in all countries by a growing amount of legislation , some changing and adjusting the older law , much dealing with entirely new situations .', 'Humor found many modes of expression .', 'The most striking aspect of the interaction demonstrated is the marked decrement in performance suffered by the highly anxious children in unstructured schools .', ""I hadn't been doing as much work as I used to in Westfield and I felt funny about that and wanted to work harder than ever .""], ['It is a matter of deep personal satisfaction for me to add my voice to the great and distinguished chorus of my colleagues in this paean of praise , respect , and affection for Speaker Sam Rayburn .', 'It is a matter of deep personal satisfaction for me to add my voice to the great and distinguished chorus of my colleagues in this paean of praise , respect , and affection for Speaker Sam Rayburn .', ""The case histories provide some interesting illustrations of ideological diffusion , embodied in the unwed mother's inability to identify independently a given value system or behavior pattern , , and her subsequent disinclination to assume any individual responsibility for her sexual behavior ."", 'By preying on the sick , by playing callously on the hopes of the desperate , by causing the sufferer to delay proper medical care , these medical ghouls create pain and misery by their very activity .'], ['While they were away Blanche came into the office every morning , running things as she had always run them for Stanley , going through the week in a dazed stupor , getting things done automatically , out of habit .', 'Of course On Thursday , Haney mailed the monthly check for separate maintenance to his wife Lolly , and wished the stranger could do something about her', 'In this way , you can arrange his legs and arms in any desired position , with feet , or one foot , barely resting on the pedestal .', 'Rod gave her a warm pat on the shoulder before he replied .']]","[[-0.16870030760765076, -0.1686675250530243, -0.1686675250530243, -0.1680668443441391], [-0.10076025128364563, -0.10075388848781586, -0.10070539265871048, -0.10070490092039108], [-0.00048197805881500244, -0.00048197805881500244, -0.0004490404389798641, -0.0004067346453666687], [0.09952700138092041, 0.09953702986240387, 0.09953955560922623, 0.09954845905303955], [0.19755391776561737, 0.19755391776561737, 0.19769464433193207, 0.19792595505714417], [0.3158673942089081, 0.32453519105911255, 0.32499879598617554, 0.32523614168167114]]",201.5097198486328,201.5097198486328,"[270.6687927246094, 204.0813446044922, 237.90565490722656, 187.8477783203125, 182.93402099609375, 197.17091369628906]",159.00904846191406,"[186.38389587402344, 166.4542999267578, 181.55047607421875, 167.4406280517578, 162.62042236328125, 156.49362182617188]"
66,"""The people who have stable, happy relationships are much gentler with one another than people who have unhappy relationships or break up,"" says Gottman, who's known for his ability to predict which newlyweds will divorce with more than 90 percent accuracy by observing how they communicate (, 1992).","[[""`` Well , I should find Alma '' -- I began ."", 'The funds would be used for equipment , not for land , buildings , or operation .', 'There were a sprinkling of daring bikinis and a preponderance of glorified tank suits .', 'There were a sprinkling of daring bikinis and a preponderance of glorified tank suits .'], ['Its initial expenses will be paid from appropriations currently available for our foreign aid program .', 'All capabilities must be used to maximum advantage then .', '( For details see inset , fig. 5 .', 'From the outside it was an ordinary enough house of the gentry .'], ['Whatever the reasons , Willis and Bryan started expanding Zenith .', 'Kennedy administration policies also have been assailed now from another direction by 70 Harvard , Boston University , Brandeis , and Massachusetts Institute of Technology educators .', 'there is a limit to how much the public will pay for shoddy performance .', ""`` Is his appetite improved '' ? ?""], ['Humor found many modes of expression .', 'Ephesians 2 : 8-10 .', 'As you can count on me to do the same .', ""It makes my work a great deal easier to be able to pray for the Lord's guidance while ministering to the physical needs of my patients .""], ['It helps children grow up with at least a nodding acquaintance with the Bible .', 'The statement was also made that undoubtedly the railroad had received some compensating benefit from the telegraphers , but that it was difficult to imagine what could balance a job for life .', 'But chains of movements are not necessarily communicative , and it is in the realm of communication that the works prove disappointing .', 'The chaplain married them , on the next day .'], ['Mary was free to marry again , not knowing that the Sturch had secretly given her a divorce , thinking that death had dissolved her marriage .', ""Too many husbands , Dr. Schillinger continues , worry about `` how well they're doing '' , and fear that their success depends on some trick or technique of sexual play ."", 'Stars throughout the volume denote dates of marriages during the past year .', 'In their views on dating , courtship , sex , and family life , our students prefer what they are expected to prefer .']]","[[-0.1668792963027954, -0.1663047969341278, -0.1660972386598587, -0.1660972386598587], [-0.10111735761165619, -0.1009344682097435, -0.10062611103057861, -0.10056282579898834], [-0.00020165834575891495, -0.00014676526188850403, -0.00013034045696258545, -0.0001256689429283142], [0.09926258027553558, 0.09926580637693405, 0.09937776625156403, 0.09940773248672485], [0.19722038507461548, 0.1974162757396698, 0.19746758043766022, 0.1977573037147522], [0.3314264118671417, 0.33360686898231506, 0.34323108196258545, 0.3433718681335449]]",166.90223693847656,166.90223693847656,"[183.89422607421875, 204.84423828125, 167.6751251220703, 162.6327362060547, 171.26153564453125, 152.43243408203125]",160.63267517089844,"[175.34796142578125, 165.68641662597656, 153.7614288330078, 152.1352996826172, 158.56060791015625, 159.6932830810547]"
93,"Her theory of hedonic adaptation holds that people are wired to become accustomed to positive changes in their lives, whether that change is a fresh outfit, a new job or a wedding band.","[['( Leave off the ham and you call it Chicken Pontiac , says Ramsey .', 'Riverside residents would go to the Seekonk assembly point .', ""`` Stick to the preaching of the Gospel '' ! !"", 'For this must be the project of the whole American people .'], ['The markings consist of a centrally located 10 inch diameter measuring circle and a 14 inch diameter circle of 20 dots equidistantly spaced ( See Figure 1 ) .', ""ExPe doesn't like anybody mucking up primary evidence '' ."", ""ExPe doesn't like anybody mucking up primary evidence '' ."", ""ExPe doesn't like anybody mucking up primary evidence '' .""], ['high-voltage electrophoresis and paper chromatography were used in preliminary structural studies ; ;', 'Receiving no answer , they set the fire .', 'He fled through the door and down the steps , running , and the men grunted and followed , pushing Lester to one side where he backed against the wall with the sleeve of his jacket raised before his eyes to shut out the light .', 'Barnett is not expected to be able to withstand the pressure .'], ['`` Thrifty of her to use it up .', 'It was the barkeep .', 'The hangover in turn reminded him of his conversation with the weirdy , and he groaned .', 'Toys he has can be made to act as substitutes for family temptations such as refrigerator and gas stove .'], [""The already faded pastel charms of the naive music itself vanish entirely in Fistoulari's melodramatic contrasts between ultravehement brute power and chilly , if suave , sentimentality ."", ""The already faded pastel charms of the naive music itself vanish entirely in Fistoulari's melodramatic contrasts between ultravehement brute power and chilly , if suave , sentimentality ."", 'What we need to realize is that the increasingly great contamination of the atmosphere by the Soviet tests had radically increased our own moral obligations .', 'Since these electrons are moving like planets , you may wonder whether there is an atomic sun at the center of the atom .'], ['And in the wake of the new affluence and the new techniques of processing comes a new American interest in how what people eat affects their health .', 'The replacement of the slide-lock side safety catch will make this lever-action favorite more appealing than ever since the new safety is easier and faster to operate .', 'Men seem almost universally to want a sense of function , that is , a feeling that their existence makes a difference to someone , living or unborn , close and immediate or generalized .', 'Once he has been identified , however , a new melody is used to accompany his narrative , a bleak motif with barren octaves creating a rather ancient effect :']]","[[-0.16611719131469727, -0.1660175919532776, -0.16389788687229156, -0.16288712620735168], [-0.10054221749305725, -0.1004536896944046, -0.1004536896944046, -0.1004536896944046], [-0.0003356821835041046, -0.0002942793071269989, -0.00029370374977588654, -0.0002932189963757992], [0.09965863823890686, 0.09967312216758728, 0.09969326853752136, 0.0997762382030487], [0.19713565707206726, 0.19713565707206726, 0.19720891118049622, 0.19722901284694672], [0.3018362522125244, 0.3029731512069702, 0.30318325757980347, 0.305822491645813]]",142.4644012451172,142.4644012451172,"[142.23158264160156, 148.51028442382812, 155.51206970214844, 142.08651733398438, 150.51034545898438, 115.51618194580078]",131.0388641357422,"[137.76312255859375, 132.4710235595703, 127.46347045898438, 125.95408630371094, 133.84869384765625, 118.17823028564453]"
